key,text,english,notes
version,5.11,5.11,5.11
pdf_title,시각화된 6000년 인류 역사,6000 years human history visualized,2025-10-13
pdf_subject,인류의 타임라인,Timeline of humankind,5.11
wulfila,울필라 성경,Wulfila Bible,2025-09-26
argenteus,코덱스 아르겐테우스 c. 505,Codex Argenteus c. 505,written copy of Wulfila Bible
tran_dynasty,1225 – 1400,1225 – 1400, 
tran_dynasty_c,쩐(Trần) 왕조,Trần dynasty, 
le_dynasty,1428년 – 1527년,1428 – 1527,triều Lê sơ or Vietnamese: nhà Lê sơ
le_dynasty_c,레 왕조,Lê dynasty, 
revival_le_dynasty,1533년부터 1789년까지,1533-1789, 
revival_le_dynasty_c,Trịnh 영주와 Nguyễn 영주,Trịnh lords and Nguyễn lords,"Nhà Lê trung hưng, Revival Lê dynasty"
nguyen_dynasty,1802년 – 1883년,1802 – 1883, 
nguyen_dynasty_c,응우옌,Nguyễn,2025-09-20
edo,1603년 – 1868년,1603 – 1868, 
edo_c,일본의 에도 시대,Edo period in Japan, 
meiji,1868년 – 1912년,1868 – 1912, 
meiji_c,메이지,Meiji,2025-09-20
Ham,햄,Ham,Gen 10:1
Canaan,가나안 땅,Canaan,Gen 10:6
Sidon,시돈,Sidon,Gen 10:15
Heth,헷,Heth,Gen 10:15
Jebusite,여부스 사람,Jebusite,Gen 10:16
Amorite,아모리 사람,Amorite,Gen 10:16
Girgashite,기르가스테,Girgashite,Gen 10:16
Hivite,히위 사람,Hivite,Gen 10:17
Arkite,아르카이트,Arkite,Gen 10:17
Sinite,신나이트,Sinite,Gen 10:17
Arvadite,아르바디테,Arvadite,Gen 10:18
Zemarite,제마라이트,Zemarite,Gen 10:18
Hamathite,하맛 사람,Hamathite,Gen 10:18
Cush,구스,Cush,Gen 10:6
Nimrod,니므롯,Nimrod,Gen 10:8
Mizraim,미스라임,Mizraim,Gen 10:14
Casluh,카슬루,Casluh,1 Chronicles 1:12 (Philistines)
Japheth,야벳,Japheth,Gen 10:3
Asshur,앗수르,Asshur,Gen 10:22
Lud,루드,Lud,Gen 10:22
Aram,아람,Aram,Gen 10:22
Elam,엘람,Elam,Gen 10:22
Joktan,욕탄,Joktan,Gen 10:26
Almodad,알모다드,Almodad,Gen 10:26
Sheleph,셀레프,Sheleph,Gen 10:26
Hazarmareth,하살마렛,Hazarmareth,Gen 10:26
Jerah,예라,Jerah,Gen 10:26
Hadoram,하도람,Hadoram,Gen 10:27
Uzal,우잘,Uzal,Gen 10:27
Diklah_Obal,"디클라, 오발","Diklah, Obal",Gen 10:27
Abimael,아비마엘,Abimael,Gen 10:28
Sheba_Ophir,"스바, 오빌","Sheba, Ophir","Gen 10:28, 29"
Havilah,하윌라,Havilah,Gen 10:29
Jobab,요밥,Jobab,Gen 10:29
Korah_Gatam,"고라, 가탐","Korah, Gatam",303 and 304
Adbeel_Mibsam,"아드벨, 밉삼","Adbeel, Mibsam",311 and 312
Dumah_Massa,"두마, 마사","Dumah, Massa",314 and 315
Ham_fn,1) 애굽인: 시편 105:23,1) Egyptians: Psalms 105:23,2025-09-22
Canaan_fn,2) 가나안 족속: 여호수아 13:3,2) Canaanites: Joshua 13:3,2025-09-22
Aram_fn,3) 아람어: 호세아 12:12,3) Arameans: Hosea 12:12,2025-09-22
Elam_fn,4) 엘람 사람: 에스라 4:9,4) Elamites: Ezra 4:9,2025-09-22
Asshur_fn,5) 아시리아인: 에스겔 27:23,5) Assyrians: Ezekiel 27:23,2025-09-22
Casluh_fn,6) 블레셋 사람들: 역대상 1:12,6) Philistines: 1 Chronicles 1:12,2025-09-22
Cush_fn,7) 에티오피아인[구스인]: 왕하 19:9,7) Ethiopian [Cushite]: 2 Kings 19:9,2025-09-22
Edom_fn,8) 에돔 사람들: 민수기 20:14-17,8) Edomites: Numbers 20:14-17,same as 459
Moab_fn,"9) 모압: 신명기 23:3, 4","9) Moabites: Deuteronomy 23:3, 4",same as 457
Ammon_fn,10) 암몬 족속: 여호수아 12:2,10) Ammonites: Joshua 12:2,same as 458
Midian_fn,"11) 미디안 사람: 민수기 31:2, 3","11) Midianites: Numbers 31:2, 3",same as 456
Amalek_fn,12) 아말렉 족속: 사무엘상 15:2,12) Amalekites: 1 Samuel 15:2,same as 461
Teman_fn,13) 데만 사람들: 욥기 42:7,13) Temanites: Job 42:7,same as 460
Sidon_fn,14) 시돈 사람들: 스가랴 9:2,14) Sidonians: Zechariah 9:2,2025-09-22
Heth_fn,15) 헷 족속: 창세기 15:20,15) Hittites: Genesis 15:20,2025-09-22
Jebusite_fn,16) 여부스 사람: 여호수아 15:63,16) Jebusites: Joshua 15:63,2025-09-22
Judith,주디스?,Judith?,"Genesis 26:34, 35"
Lud_fn,17) 리디아인: 역대상 1:17,17) Lydians: 1 Chronicles 1:17,"Jewish Antiquities, I, 143, 144 [vi, 4]"
Ishmael_fn,18) 이스마엘 사람들: 창세기 37:27,18) Ishmaelites: Genesis 37:27,2025-09-22
Amorite_fn,19) 아모리 족속: 사사기 6:10,19) Amorites: Judges 6:10,2025-09-22
Hivite_fn,"20) 히위족[기브온]: 여호수아 9:3, 7","20) Hivites [Gibeon]: Joshua 9:3, 7",Gibeonites
american_civil_war,미국 남북전쟁 1861-1865,American Civil War 1861-1865,2025-09-26
aleppo_codex,알레포 코덱스 c. 920,Aleppo Codex c. 920,2025-10-03
seljuk_empire,1037 – 1194년,1037 – 1194 C.E.,"Seljuk Empire 1037-1194, part of Seljuk dynasty 1037-1308"
seljuk_empire_c,셀주크 제국,Seljuk empire, 
vandals,반달족과 알란족의 왕국(기원 435년 – 534년),Kingdom of the Vandals and Alans 435 – 534 C.E.,Vandals 435-534 C.E.
vandals_c,파괴자,Vandals, 
francia,"기음. 481/509 – 843 C.E., 메로빙거 왕조는 751년까지, 이후 카롤링거 왕조","c. 481/509 – 843 C.E., Merovingian till 751, then Carolingian",Kingdom of the Franks (Regnum Francorum) c. 481/509-843 treaty of Verdun
francia_c,프랑크 왕국,Kingdom of the Franks, 
lombard,기원 568년 – 774년,568 – 774 C.E.,Kingdom of the Lombards 568-774
lombard_c,롬바드 왕국,Lombard Kingdom,2025-10-13
100_years_war,백년전쟁 1337년 – 1453년,Hundred Years’ War 1337 – 1453,1337–1453
black_death,흑사병 1346-1353,Black death 1346-1353,1346-1353
