key,text,english,notes,checked 
version,6.01,6.01,5.11,
pdf_title,"ประวัติศาสตร์ของมนุษย์ 6,000 ปีถูกมองเห็น",6000 years human history visualized,2025-12-20,FALSE
pdf_subject,เส้นเวลาของมนุษยชาติ,Timeline of humankind,,FALSE
BCE,ก่อนคริสตศักราช,B.C.E.,appendix B9,FALSE
CE,ส.ศ.,C.E.,,FALSE
year,ปี,year,"timespan, age (Adam was 130 years old when Shem was born)",FALSE
years,ปี,years,,FALSE
years_age,ปี,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",FALSE
age_kings,,,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",FALSE
month,เดือน,month,,FALSE
months,เดือน,months,,FALSE
day,วัน,day,,FALSE
days,วัน,days,,FALSE
to,ถึง,to,,FALSE
people,ประชากร,people,,FALSE
judges,ผู้พิพากษา,judges,,FALSE
prophets,ศาสดาพยากรณ์,prophets,,FALSE
kings,กษัตริย์,kings,,FALSE
periods,ระยะเวลา,periods,,FALSE
events,เหตุการณ์ต่างๆ,events,,FALSE
objects,วัตถุหรือรายการ,objects or items,,FALSE
Deluge,น้ำท่วม,Deluge,,FALSE
Adam,อดัม,Adam,Luke 3:38,FALSE
Seth,เซธ,Seth,,FALSE
Enosh,เอโนช,Enosh,,FALSE
Kenan,คีนัน,Kenan,Genesis 5:12,FALSE
Mahalalel,มาฮาลาเลล,Mahalalel,Ma·hala·lel,FALSE
Jared,จาเร็ด,Jared,,FALSE
Enoch,เอโนค,Enoch,,FALSE
Methuselah,เมธูเสลาห์,Methuselah,Luke 3:37,FALSE
Lamech,ลาเมช,Lamech,,FALSE
Noah,โนอาห์,Noah,,FALSE
Shem,เชม,Shem,,FALSE
Arpachshad,อาปาชชาด,Arpachshad,Luke 3:36,FALSE
Shelah,เชลาห์,Shelah,,FALSE
Eber,เอเบอร์,Eber,,FALSE
Peleg,เปเลก,Peleg,,FALSE
Reu,รอย,Reu,,FALSE
Serug,เซรุก,Serug,Luke 3:35,FALSE
Nahor,นาฮอร์,Nahor,Genesis 11:24,FALSE
Terah,เทราห์,Terah,,FALSE
Abraham,อับราฮัม,Abraham,,FALSE
Isaac,ไอแซค,Isaac,,FALSE
Jacob,ยาโคบ,Jacob,Luke 3:34,FALSE
Joseph,โจเซฟ,Joseph,Genesis 37,FALSE
Moses,โมเสส,Moses,,FALSE
Othniel,โอธเนียล,Othniel,Judges 3:9-11,FALSE
Ehud,เอฮุด,Ehud,Judges 3:15-18,FALSE
Shamgar,แชมการ์,Shamgar,Judges 3:31,FALSE
