key,text,notes,english
version,4.5,,4.5
pdf_title,chISqu',,6000 years human history visualized
pdf_subject,puqloD,,Timeline of humankind
BCE,Leon.,,B.C.E.
CE,Leon.,,C.E.
year,DIS,"timespan, age (Adam was 130 years old when Shem was born)",year
years,DIS,,years
years_age,DIS,years when used as age for a person (different word than years in some languages),years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,maqtagh,,month
months,jar,,months
day,jaj,,day
days,jaj,,days
to,ngeH,,to
people,Nuv,,people
judges,noH,,judges
prophets,naD,,prophets
kings,tlha',,kings
periods,Qom,,periods
events,wanI',,events
objects,rut 'oH'eghlaH pagh,,objects or items
Deluge,Degh,,Deluge
Adam,'ampaS,,Adam
Seth,legh,,Seth
Enosh,'enlIl,,Enosh
Kenan,qeylIS,,Kenan
Mahalalel,may',,Mahalalel
Jared,bargh,,Jared
Enoch,yIta'rup,,Enoch
Methuselah,QumwI',,Methuselah
Lamech,qa'rIq,,Lamech
Noah,targh vIDa'Qo,,Noah
Shem,ghaH,,Shem
Arpachshad,chanDal,,Arpachshad
Shelah,toy'wI''a',,Shelah
Eber,'oSrIq,,Eber
Peleg,qoy',,Peleg
Reu,rIymuS,,Reu
Serug,nav,,Serug
Nahor,ghe''or,,Nahor
Terah,vaj,,Terah
Abraham,'aralya',,Abraham
Isaac,qa''a',,Isaac
Jacob,jI'Iq,,Jacob
Joseph,ghopDu' joq,,Joseph
Moses,wa'maHcha',,Moses
Othniel,'ovelya,,Othniel
Ehud,Qoylu',,Ehud
Shamgar,Sar'ghar qutmey,,Shamgar
Barak,barbara',,Barak
Gideon,ghopDaj,,Gideon
Tola,ngat,,Tola
Jair,jIr,,Jair
Jephthah,bIQ'a',,Jephthah
Ibzan,jIyaj,,Ibzan
Elon,tlhegh,,Elon
Abdon,lon,,Abdon
Samson,Separ,,Samson
Samuel,seH,,Samuel
Saul,mach,,Saul
David,"Qo', joH",,David
Solomo,tuj,,Solomo
Rehoboam,polonyuS,first king of southern kingdom of Juda,Rehoboam
Abijah,jubbe'law' QorwI'pu',"3 years, also Abijam",Abijah (Abijam)
Asa,QeH,,Asa
Jehoshaphat,'ovelya,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Qor,,Jehoram
Ahaziah,'atlhav,,Ahaziah
Athaliah,'eltelya,Queen Athaliah,Queen Athaliah
Jehoash,'ovelya,,Jehoash
Amaziah,'amaS,,Amaziah
Uzziah,tera'nganpu'vaD,also Azariah,Uzziah (Azariah)
Jotham,sIbI',,Jotham
Ahaz,'atlhab,,Ahaz
Hezekiah,chaDvay',,Hezekiah
Manasseh,marSe'luS,,Manasseh
Amon,Qel,,Amon
Josiah,'oSrIq,,Josiah
Jehoahaz,'ovelya,Only 3 months,Jehoahaz
Jehoiakim,qelIm,,Jehoiakim
Jehoiachin,vortIb,Only 3 months 10 days,Jehoiachin
Zedekiah,tay,,Zedekiah
Jeroboam,SIbI',first king of northern 10-tribe kingdom,Jeroboam
