key,text
pdf_title,6000 years human history visualized
pdf_subject,Timeline of humankind
BCE,B.C.E.
CE,C.E.
year,year
years,years
years_age,years
age_kings,
month,month
months,months
day,day
days,days
to,to
people,people
judges,judges
prophets,prophets
kings,kings
periods,periods
events,events
objects,objects or items
Deluge,Deluge
Adam,Adam
Seth,Seth
Enosh,Enosh
Kenan,Kenan
Mahalalel,Mahalalel
Jared,Jared
Enoch,Enoch
Methuselah,Methuselah
Lamech,Lamech
Noah,Noah
Shem,Shem
Arpachshad,Arpachshad
Shelah,Shelah
Eber,Eber
Peleg,Peleg
Reu,Reu
Serug,Serug
Nahor,Nahor
Terah,Terah
Abraham,Abraham
Isaac,Isaac
Jacob,Jacob
Joseph,Joseph
Moses,Moses
Othniel,Othniel
Ehud,Ehud
Shamgar,Shamgar
Barak,Barak
Gideon,Gideon
Tola,Tola
Jair,Jair
Jephthah,Jephthah
Ibzan,Ibzan
Elon,Elon
Abdon,Abdon
Samson,Samson
Samuel,Samuel
Saul,Saul
David,David
Solomon,Solomon
Rehoboam,Rehoboam
Abijah,Abijah (Abijam)
Asa,Asa
Jehoshaphat,Jehoshaphat
Jehoram2,Jehoram
Ahaziah,Ahaziah
Athaliah,Queen Athaliah
Jehoash,Jehoash
Amaziah,Amaziah
Uzziah,Uzziah (Azariah)
Jotham,Jotham
Ahaz,Ahaz
Hezekiah,Hezekiah
Manasseh,Manasseh
Amon,Amon
Josiah,Josiah
Jehoahaz,Jehoahaz
Jehoiakim,Jehoiakim
Jehoiachin,Jehoiachin
Zedekiah,Zedekiah
Jeroboam,Jeroboam
Nadab,Nadab
Baasha,Baasha
Elah,Elah
Zimri,Zimri
OmriTibni,Omri and Tibni together
Omri,Omri (alone)
Ahab,Ahab
Jehoram,Jehoram
Jehu,Jehu
Jeoahaz,Jeoahaz
JeoahazJehoash,Jeoahaz and Jehoash
Jehoash2,Jehoash (alone)
Jeroboam2,Jeroboam II
Zechariah,Zechariah
Schallum,Schallum
Menahem,Menahem
Pekahiah,Pekahiah
Pekah,Pekah
Hoshea,Hoshea
Elijah,Elijah
Elisha,Elisha
Jonah,Jonah
Amos,Amos
Joel,Joel
Hosea,Hosea
Isaiah,Isaiah
Micah,Micah
Zephaniah,Zephaniah
Nahum,Nahum
Jeremiah,Jeremiah
Habakuk,Habakuk
Daniel,Daniel
Ezekiel,Ezekiel
Obadiah,Obadiah
Malachi,Malachi
Ruth,Ruth
Ezra,Ezra
Nehemiah,Nehemiah
Esther,Esther
Job,Job
moses2,1593 to 1473 B.C.E. – 120 years
moses3,Moses
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Time of the judges
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 years until the temple construction – 1 Kings 6:1
69weeks,Jesus baptized autumn 29 C.E.
69weeks2,69 weeks to the Messiah – Daniel 9:25
