key,start,start_row,end,end_row,type,notes
a_Terach,3100,22,2700,22,,
1,3100,22,3100,23,,Abraham
2,3000,22,3000,23,,Sarah
3,2850,22,2850,25,,Nahor
4,2700,22,2700,23,,Haran
5,2900,21,2900,22,,Terah
6,3000,23,3000,31,,Isaac
7,3325,23,3325,32,,Ishmael
8,3225,23,3225,25,,Keturah
b_Isaac,3000,32,2900,32,,Esau-Jacob
9,2950,31,2950,32,,
10,3000,32,3000,33,,Esau
11,2900,32,2900,33,,Jacob
c_Laban,2800,32,2700,32,,Leah-Rachel
12,2750,31,2750,32,,
13,2800,32,2800,42,,Leah
14,2700,32,2700,38,,Rachel
15,2600,33,2600,36,,Bilhah
16,2500,33,2500,36,,Zilpah
d_Haran,2750,24,2650,24,,
17,2700,23,2700,24,,
18,2750,24,2750,25,,Milcah
19,2650,24,2650,25,,Lot
e_Nahor,2850,26,2725,26,,
20,2800,25,2800,26,,
21,2850,26,2850,27,,Bethuel
22,2725,26,2725,27,,7 other sons
f_Bethuel,2900,30,2750,30,,
23,2850,27,2850,30,,
24,2900,30,2900,31,,Rebekah
25,2750,30,2750,31,,Laban
g_Lot,2650,26,2600,26,,
26,2650,25,2650,26,,
27,2600,26,2600,27,,
28,2575,25,2575,27,,from Lot’s wife
29,2550,27,2550,29,,to Moab and Ammon
30,2950,25,2950,27,,"Tebach, Gaham, Tahasch, Maacha"
h_Ishmael,3450,32,3200,32,,
31,3450,32,3450,34,,Nebajoth and 11 more
32,3200,32,3200,39,,Basemath
33,3100,33,3100,38,,Adah
34,3325,33,3325,37,,Oholiabamah
35,3000,36,3000,38,,Timna
Abraham,3300,23,3000,23,married,"Sarah, Hagar and Keturah"
Nahor,2950,25,2750,25,married,Reuma and Milka
Lot,2650,25,2500,25,married,Lot’s wife (name unknown)
Isaac,3000,31,2900,31,married,Rebecca
Jacob_Israel,2900,33,2500,33,married,"Leah, Rachel, Bilhah, Zilpah"
Esau,3000,33,3300,33,married,"Basemath, Adah, Oholibamah"
Eliphaz,3000,36,3100,36,married,Timna
