key,R,G,B,C,M,Y,K
Adam,0.342557381954975,0.956419490161352,0.739989723428153,1,1,0,0
Seth,0.369340392877348,0.382726617041044,0.749183218344115,0.9,1,0,0
Enosh,0.880675850785337,0.808917836868204,0.825686671887524,0.8,1,0,0
Kenan,0.877590466639958,0.904571025515907,0.805168686551042,0.7,1,0,0
Mahalalel,0.614239960093983,0.242121434421279,0.0289382362971082,0.6,1,0,0
Jared,0.710628660512157,0.603992960532196,0.793543838546611,0.5,1,0,0
Enoch,0.427017369423993,0.381424043909647,0.793632784276269,0.4,1,0,0
Methuselah,0.17407281009946,0.702284748549573,0.0166553688468412,0.3,1,0,0
Lamech,0.319783163373359,0.0370935735991225,0.28403887769673,0.2,1,0,0
Noah,0.115415979293175,0.77477313822601,0.650625812471844,1,0,1,0.4
Shem,0.840509622474201,0.99954542669002,0.781797326286323,1,0,0.93,0.4
Arpachshad,0.915130151086487,0.709177342359908,0.655467379023321,1,0,0.86,0.4
Shelah,0.866142247687094,0.769348541856743,0.128682420239784,1,0,0.79,0.4
Eber,0.051785905729048,0.288929656031542,0.997734739794396,1,0,0.72,0.4
Peleg,0.638480980065651,0.420616066199727,0.0397003256948665,1,0,0.65,0.4
Reu,0.69386763649527,0.0360047101275995,0.755685015697964,1,0,0.58,0.4
Serug,0.426098014577292,0.678974175476469,0.911893918295391,1,0,0.51,0.4
Nahor,0.426014165743254,0.183654087944888,0.787195568787865,1,0,0.44,0.4
Terah,0.530281434184872,0.254842553171329,0.386958228540607,1,0,0.37,0.4
Abraham,0.787926159915514,0.91252232703846,0.00501490978058428,1,0,0.3,0.4
Isaac,0.858796361018904,0.696063615265302,0.757359755109064,1,0,0.23,0.4
Jacob,0.952587440260686,0.656578201451339,0.204509621602483,1,0,0.16,0.4
Joseph,0.291864987579174,0.594722422887571,0.798668808420189,1,0,0.09,0.4
Moses,0.779749612440355,0.180412350106053,0.0272441745037213,1,0,0.02,0.4
Rehoboam,0.367448417819105,0.657436585403048,0.798965691472404,,,,
Abijah,0.0341545793926343,0.531640733242966,0.617347302963026,,,,
Asa,0.586766790715046,0.224802652257495,0.756028607371263,,,,
Jehoshaphat,0.902461706078611,0.468607579939999,0.129382771789096,,,,
Jehoram2,0.284403891651891,0.889386715251021,0.112443489371799,,,,
Ahaziah,0.299248238676228,0.22649987123441,0.682276876526885,,,,
Athaliah,0.851242171018384,0.355712279560976,0.25105965079274,,,,
Jehoash,0.277030741679482,0.367460006964393,0.734874052344821,,,,
Amaziah,0.0381297793937847,0.972108267131262,0.887938479310833,,,,
Uzziah,0.0948078908259049,0.883918409817852,0.571864229743369,,,,
Jotham,0.374470896902494,0.0310759419808164,0.62142089556437,,,,
Ahaz,0.410643622395583,0.0813796013826504,0.989210685133003,,,,
