key,R,G,B
Adam,0,0,230
Seth,15,0,225
Enosh,31,0,220
Kenan,46,0,215
Mahalalel,61,0,210
Jared,77,0,205
Enoch,92,0,200
Methuselah,108,0,195
Lamech,123,0,189
Noah,0,154,0
Shem,0,148,10
Arpachshad,0,143,20
Shelah,0,138,31
Eber,0,133,41
Peleg,0,128,51
Reu,0,123,61
Serug,0,118,72
Nahor,0,113,82
Terah,0,108,92
Abraham,0,102,102
Isaac,0,97,113
Jacob,0,92,123
Joseph,0,87,133
Moses,0,82,143
Rehoboam,230,128,0
Abijah,228,125,3
Asa,225,123,5
Jehoshaphat,223,120,8
Jehoram2,220,118,10
Ahaziah,218,115,13
Athaliah,215,113,15
Jehoash,212,110,18
Amaziah,210,108,20
Uzziah,207,105,23
Jotham,205,102,26
Ahaz,202,100,28
Hezekiah,200,97,31
Manasseh,197,95,33
Amon,195,92,36
Josiah,192,90,38
Jehoahaz,189,87,41
Jehoiakim,187,84,44
Jehoiachin,184,82,46
Zedekiah,182,79,49
Jeroboam,205,0,0
Nadab,202,0,3
Baasha,200,0,5
Elah,197,0,8
Zimri,195,0,10
OmriTibni,192,0,13
Omri,189,0,15
Ahab,187,0,18
Ahaziah,184,0,20
Jehoram,182,0,23
Jehu,179,0,26
Jeoahaz,177,0,28
JeoahazJehoash,174,0,31
Jehoash2,172,0,33
Jeroboam2,169,0,36
Zechariah,166,0,38
Schallum,164,0,41
Menahem,161,0,44
Pekahiah,159,0,46
Pekah,156,0,49
Hoshea,154,0,51
Saul,230,128,0
David,230,128,0
Solomon,230,128,0
moses2,0,82,143
wilderness,200,0,5
judges,0,92,123
timespan_judges,0,92,123
oppression,255,230,230
temple1,154,0,205
jesus_life,0,154,0
jesus_service,0,154,0
69weeks,77,128,128
exile,102,26,128
7times,89,57,135
ww1,179,0,26
ww2,179,0,26
30_year_war,179,0,26
joshua,0,108,92
caleb,0,118,72
prophets,0,143,20
missionary1,0,92,123
missionary2,0,87,133
missionary3,0,82,143
caesars,154,0,0
books,0,0,154
circumcision,0,92,123
rome1,0,92,123
rome2,0,92,123
caesarea,0,92,123
covid19,179,0,26
cold_war,179,0,26
john,0,87,133
buddha,46,0,215
mohammed,46,0,215
confucius,46,0,215
persia,108,0,195
king_north_light,248,230,230
king_north,205,0,0
king_north2,205,0,0
king_north4,205,0,0
king_north5,205,0,0
king_south_light,230,230,248
king_south,46,0,215
king_south2,46,0,215
time_of_end,179,0,26
suryavaman2,200,97,31
notre-dame,26,113,159
Babylon2,209,179,46
Medopersia,174,179,191
Greece,209,93,50
Rome,97,78,72
daniel2_iron,243,230,225
Angloamerica2,97,78,72
infliction2,174,179,191
people,90,0,159
objects,169,26,36
terah_blue,3,5,154
terah_red,154,3,5
daniel2,105,2,3
qing-dynasty,80,166,65
ming-dynasty,65,150,50
yuan-dynasty,50,134,40
southern-song,35,118,29
northern-song,20,101,19
western-xia,35,118,29
shang-dynasty,65,150,50
western-zhou,35,118,29
eastern-zhou,65,150,50
qin-dynasty,35,118,29
western-han,20,101,19
eastern-han,20,101,19
three-kingdoms,20,101,19
sixteen-kingdoms,20,101,19
northern-dynasties,35,118,29
southern-dynasties,65,150,50
tang-dynasty1,50,134,40
tang-dynasty2,50,134,40
wu-zhou,65,150,50
gonghe,35,118,29
siloam-tunnel,20,101,19
tribulation1,158,31,184
tribulation2,130,14,153
tribulation3,94,1,112
millenium,65,150,50
world_population,77,5,128
khmer_empire,195,92,36
byzantine_empire,179,0,26
ottoman_empire,0,97,113
holy_roman_empire,179,26,179
holy_roman_empire2,179,26,179
mongol_empire,26,51,205
inca_empire,0,92,123
maya_classic,147,34,189
maya_postclassic,129,28,168
gupta_empire,189,79,11
Teotihuacan,129,28,168
Umayyad,0,87,133
Abbasid,0,97,113
Mamluk,0,108,92
430years,102,26,128
xia-dynasty2,179,179,179
tran_dynasty,218,64,26
le_dynasty,205,51,26
revival_le_dynasty,192,38,26
nguyen_dynasty,179,26,26
edo,13,13,128
meiji,102,102,218
american_civil_war,179,0,26
seljuk_empire,8,64,136
vandals,0,128,102
francia,51,0,205
lombard,192,26,51
100_years_war,179,0,26
black_death,0,0,0
sui_dynasty,20,101,19
