key,text,notes,english
version,4.5,,4.5
pdf_title,6000 বছৰমানৱ ইতিহাস কল্পনা কৰা হৈছে,,6000 years human history visualized
pdf_subject,মানৱজাতিৰ সময়ৰেখা,,Timeline of humankind
BCE,বি.চি.ই.,,B.C.E.
CE,চি.ই.,,C.E.
year,বছৰ,"timespan, age (Adam was 130 years old when Shem was born)",year
years,বছৰ,,years
years_age,বছৰ,years when used as age for a person (different word than years in some languages),years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,মাহ,,month
months,মাহ,,months
day,দিন,,day
days,দিনসমূহ,,days
to,লৈ,,to
people,লোক,,people
judges,বিচাৰক,,judges
prophets,ভৱিষ্যতবক্তা,,prophets
kings,ৰজাসকল,,kings
periods,সময়,,periods
events,ঘটনাসমূহ,,events
objects,বস্তু বা বস্তু,,objects or items
Deluge,জলপ্লাৱন,,Deluge
Adam,আদম,,Adam
Seth,শেঠ,,Seth
Enosh,এনছ,,Enosh
Kenan,কেনান,,Kenan
Mahalalel,মহালালেল,,Mahalalel
Jared,জেৰেড,,Jared
Enoch,হনোক,,Enoch
Methuselah,মেথুচেলাহ,,Methuselah
Lamech,লেমেচ,,Lamech
Noah,নোহ,,Noah
Shem,শেম,,Shem
Arpachshad,আৰ্পাচশাদ,,Arpachshad
Shelah,শেলাহ,,Shelah
Eber,এবাৰ,,Eber
Peleg,পেলেগ,,Peleg
Reu,ৰিউ,,Reu
Serug,চেৰুগ,,Serug
Nahor,নাহোৰ,,Nahor
Terah,তেৰাহ,,Terah
Abraham,অব্ৰাহাম,,Abraham
Isaac,আইজাক,,Isaac
Jacob,জেকব,,Jacob
Joseph,যোচেফ,,Joseph
Moses,মোচি,,Moses
Othniel,ওথনিয়েল,,Othniel
Ehud,এহুদ,,Ehud
Shamgar,শামগাৰ,,Shamgar
Barak,বৰাক,,Barak
Gideon,গিডিয়ন,,Gideon
Tola,টোলা,,Tola
Jair,জাইৰ,,Jair
Jephthah,জেফথা,,Jephthah
Ibzan,ইবজান,,Ibzan
Elon,এলন,,Elon
Abdon,আব্দন,,Abdon
Samson,চেমচন,,Samson
Samuel,চেমুৱেল,,Samuel
Saul,চাউল,,Saul
David,ডেভিদ,,David
Solomo,চলোমো,,Solomo
Rehoboam,ৰেহোবোয়াম,first king of southern kingdom of Juda,Rehoboam
Abijah,আবিজাহ (আবিজাম),"3 years, also Abijam",Abijah (Abijam)
Asa,আছা,,Asa
Jehoshaphat,যিহোশাফাট,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,জেহৰাম,,Jehoram
Ahaziah,আহাজিয়া,,Ahaziah
Athaliah,ৰাণী আথালিয়াহ,Queen Athaliah,Queen Athaliah
Jehoash,জেহোয়াছ,,Jehoash
Amaziah,আমাজিয়া,,Amaziah
Uzziah,উজ্জিয়াহ (আজৰিয়াহ),also Azariah,Uzziah (Azariah)
Jotham,জোথাম,,Jotham
Ahaz,আহাজ,,Ahaz
Hezekiah,হিজকিয়া,,Hezekiah
Manasseh,মানসেহ,,Manasseh
Amon,আমন,,Amon
Josiah,যোচিয়া,,Josiah
Jehoahaz,জেহোয়াহাজ,Only 3 months,Jehoahaz
Jehoiakim,জেহোয়াকিম,,Jehoiakim
Jehoiachin,জেহোয়াচিন,Only 3 months 10 days,Jehoiachin
Zedekiah,জেদেকিয়াহ,,Zedekiah
Jeroboam,জেৰোবোয়াম,first king of northern 10-tribe kingdom,Jeroboam
Nadab,নাদাব,less than 2,Nadab
Baasha,বাশা,,Baasha
Elah,এলাহ,,Elah
Zimri,জিমৰি,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,ওমৰি আৰু তিবনি একেলগে,4 years Omri and Tibni,Omri and Tibni together
Omri,ওমৰি (অকলে),from 947 Omri alone,Omri (alone)
Ahab,আহাব,,Ahab
Ahaziah,আহাজিয়া,,Ahaziah
Jehoram,জেহৰাম,,Jehoram
Jehu,জেহু,,Jehu
Jeoahaz,জেওহাজ,,Jeoahaz
JeoahazJehoash,জেওয়াহাজ আৰু জেহোয়াছ,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,জেহোয়াছ (অকলে),Jehoash (alone),Jehoash (alone)
Jeroboam2,জেৰোবোয়াম দ্বিতীয়,,Jeroboam II
Zechariah,জেচৰিয়াহ,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,শ্বালাম,only one month,Schallum
Menahem,মেনাহেম,,Menahem
Pekahiah,পেকাহিয়াহ,,Pekahiah
Pekah,পেকাহ,,Pekah
Hoshea,হোচিয়া,9 years from c. 748,Hoshea
Elijah,এলিয়া,,Elijah
Elisha,এলিছা,,Elisha
Jonah,যোনা,,Jonah
Amos,আমোচ,,Amos
Joel,জোৱেল,,Joel
Hosea,হোচেয়া,,Hosea
Isaiah,যিচয়া,,Isaiah
Micah,মীখা,,Micah
Zephaniah,চফনিয়াহ,,Zephaniah
Nahum,নাহুম,,Nahum
Jeremiah,যিৰিমিয়া,,Jeremiah
Habakuk,হাবাকুক,,Habakuk
Daniel,ডেনিয়েল,,Daniel
Ezekiel,যিহিষ্কেল,,Ezekiel
Obadiah,ওবাদিয়া,,Obadiah
Malachi,মালাচি,,Malachi
Ruth,ৰুথ,,Ruth
Ezra,এজৰা,,Ezra
Nehemiah,নেহেমিয়া,,Nehemiah
Esther,এষ্টাৰ,,Esther
Job,চাকৰি,,Job
moses2,1593 ৰ পৰা 1473 খ্ৰীষ্টাব্দ – 120 বছৰ,,1593 to 1473 B.C.E. – 120 years
moses3,মোচি,,Moses
wilderness,১৫১৩ চনৰ পৰা ১৪৭৩ খ্ৰীষ্টাব্দলৈ অৰণ্যত থকা ইস্ৰায়েল – ৪০ বছৰ,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 ৰ পৰা 1117 খ্ৰীষ্টাব্দ – 356 বছৰ,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,বিচাৰকসকলৰ সময়,,Time of the judges
temple1,নিচান ১৫১৩ খ্ৰীৰীৰ পৰা জিভ ১০৩৪ খ্ৰীষ্টাব্দ।,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,মন্দিৰ নিৰ্মাণলৈকে ৪৭৯ বছৰ – ১ ৰজা ৬: ১,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,যীচুৱে ২৯ খ্ৰীষ্টপূৰ্বত শৰৎ কালক বাপ্তিষ্মা দিছিল।,,Jesus baptized autumn 29 C.E.
69weeks2,মচীহলৈ ৬৯ সপ্তাহ – দানিয়েল ৯: ২৫,,69 weeks to the Messiah – Daniel 9:25
