key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"৬,০০০ বছরের মানব ইতিহাস — একটি কালরেখা","6,000 Years of Human History — A Timeline",2026-09-06,text,False, , , ,"মানব ইতিহাসের ৬,০০০ বছর — একটি সময়রেখা","৬,০০০ বছরের মানব ইতিহাস — একটি কালরেখা","মানব ইতিহাসের ৬,০০০ বছর — একটি সময়রেখা","মানব ইতিহাসের ৬,০০০ বছর — একটি টাইমলাইন","৬,০০০ বছরের মানব ইতিহাস — একটি সময়রেখা"
pdf_subject,খ্রিস্টপূর্ব ৪০০০ থেকে বর্তমান পর্যন্ত মানব ইতিহাসের কালরেখা,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , ,খ্রিস্টপূর্ব ৪০০০ অব্দ থেকে বর্তমান পর্যন্ত মানব ইতিহাসের সময়রেখা,খ্রিস্টপূর্ব ৪০০০ থেকে বর্তমান পর্যন্ত মানব ইতিহাসের কালরেখা,৪০০০ খ্রিষ্টপূর্ব থেকে বর্তমান পর্যন্ত মানব ইতিহাসের সময়রেখা,৪০০০ খ্রিস্টপূর্বাব্দ থেকে বর্তমান পর্যন্ত মানব ইতিহাসের টাইমলাইন,খ্রিস্টপূর্ব ৪০০০ থেকে বর্তমান পর্যন্ত মানব ইতিহাসের সময়রেখা
BCE,খ্রিষ্টপূর্ব,B.C.E.,appendix B9,B9,False, , , ,খ্রিস্টপূর্বাব্দ।, ,খ্রিষ্টপূর্ব (B.C.E.),খ্রিস্টপূর্বাব্দ, 
CE,খ্রিষ্টাব্দ,C.E., ,B9,False, , , ,খ্রিস্টাব্দ, ,খ্রিষ্টাব্দ (C.E.),খ্রিস্টাব্দ, 
month,মাস,month, ,text,False, , , ,মাস,মাস,মাস,মাস,মাস
months,মাস,months, ,text,False, , , ,মাস,মাস,মাস,মাস,মাস
day,দিন,day, ,text,False, , , ,দিন,দিন,দিন,দিন,দিন
days,দিন,days, ,text,False, , , ,দিন,দিন,দিন,দিন,দিন
to,পর্যন্ত,to, ,text,False, , , ,থেকে,পর্যন্ত,পর্যন্ত,থেকে,একে
Deluge,মহাপ্লাবন,Deluge, ,text,False, , , ,প্লাবন,মহাপ্লাবন,মহাপ্লাবন,জলপ্লাবন,মহাপ্লাবন
moses2,১৫৯৩ থেকে ১৪৭৩ খ্রিস্টপূর্বাব্দ – ১২০ বছর,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,১৫৯৩ থেকে ১৪৭৩ খ্রিস্টপূর্বাব্দ – ১২০ বছর,১৫৯৩ থেকে ১৪৭৩ খ্রিস্টপূর্বাব্দ – ১২০ বছর,১৫৯৩ থেকে ১৪৭৩ খ্রিষ্টপূর্ব – ১২০ বছর,১৫৯৩ থেকে ১৪৭৩ খ্রিস্টপূর্বাব্দ – ১২০ বছর,খ্রিস্টপূর্ব ১৫৯৩ থেকে ১৪৭৩ – ১২০ বছর
temple1,নিসান ১৫১৩ খ্রিস্টপূর্বাব্দ থেকে যিভ ১০৩৪ খ্রিস্টপূর্বাব্দ,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,নিসান ১৫১৩ খ্রিস্টপূর্বাব্দ থেকে জিভ ১০৩৪ খ্রিস্টপূর্বাব্দ পর্যন্ত,নিসান ১৫১৩ খ্রিস্টপূর্বাব্দ থেকে যিভ ১০৩৪ খ্রিস্টপূর্বাব্দ,নিশান ১৫১৩ খ্রিষ্টপূর্ব থেকে সিব ১০৩৪ খ্রিষ্টপূর্ব,নিসান ১৫১৩ খ্রিস্টপূর্বাব্দ থেকে সিব ১০৩৪ খ্রিস্টপূর্বাব্দ,নিসান ১५১৩ খ্রিস্টপূর্বাব্দ থেকে জিভ ১০৩৪ খ্রিস্টপূর্বাব্দ
69weeks,যিশুকে বাপ্তিস্ম দেওয়া হয়েছিল ২৯ খ্রিস্টাব্দের শরৎকালে,Jesus baptized autumn 29 C.E., ,text,False, , , ,যিশু ২৯ খ্রিস্টাব্দের শরৎকালে বাপ্তিস্ম গ্রহণ করেছিলেন।,যিশুকে বাপ্তিস্ম দেওয়া হয়েছিল ২৯ খ্রিস্টাব্দের শরৎকালে,যিশু ২৯ খ্রিষ্টাব্দের শরৎকালে বাপ্তাইজ হন,যিশু ২৯ খ্রিস্টাব্দের শরৎকালে বাপ্তাইজিত হন,যিশু খ্রিস্টাব্দ ২৯ সালের শরতে বাপ্তিস্ম গ্রহণ করেছিলেন।
year,বছর,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , ,বছর,বছর,বছর,বছর,বছর
years,বছর,years, ,text,False, , , ,বছর,বছর,বছর,বছর,বছর
years_age,বছর,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , ,বছর,বছর,বছর,বছর,বছর
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , ,#VALUE!, ,,, 
