key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 Jahre Menschheitsgeschichte visualisiert,"6,000 Years of Human History — A Timeline",2026-08-26,text,True,Matthias,2026-08-26, ,"6,000 Years of Human History — A Timeline",6000 Jahre Menschheitsgeschichte – Eine Zeitleiste,6.000 Jahre Menschheitsgeschichte – Eine Zeitleiste, ,6.000 Jahre Menschheitsgeschichte – Eine Zeitleiste
pdf_subject,Chronik der Menschheitsgeschichte von 4000 v. Chr. bis zur Gegenwart,Timeline of human history from 4000 BCE to present, ,text,True,Matthias,2026-08-26, ,Timeline of human history from 4000 BCE to present,Zeitleiste der Menschheitsgeschichte von 4000 v. Chr. bis heute,Zeitleiste der Menschheitsgeschichte von 4000 v. u. Z. bis heute, ,Zeitleiste der Menschheitsgeschichte von 4000 v. Chr. bis heute
BCE,v.u.Z.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,u.Z.,C.E., ,B9,True, , , , , , , , 
month,Monat,month, ,text,True, , , , ,Monat,Monat, ,Monat
months,Monate,months, ,text,True, , , , ,Monate,Monate, ,Monate
day,Tag,day, ,text,True, , , , ,Tag,Tag, ,Tag
days,Tage,days, ,text,True, , , , ,Tage,Tage, ,Tage
to,bis,to, ,text,True, , , , ,bis,bis, ,zu
Deluge,Sintflut,Deluge, ,text,True, , , , ,Sintflut,Sintflut, ,Sintflut
moses2,1593 bis 1473 v.u.Z. – 120 Jahre,1593 to 1473 B.C.E. – 120 years, ,text,True, , , , ,1593 bis 1473 v. Chr. – 120 Jahre,1593 bis 1473 v. u. Z. – 120 Jahre, ,1593 bis 1473 v. Chr. – 120 Jahre
temple1,Nisan 1513 v.u.Z bis Ziv 1034 v.u.Z.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,True, , , , ,Nisan 1513 v. Chr. bis Siw 1034 v. Chr.,Nisan 1513 v. u. Z. bis Siw 1034 v. u. Z., ,1513 v. u. Z. (Nisan) bis 1034 v. u. Z. (Ziv)
69weeks,Jesus getauft im Herbst 29 u.Z,Jesus baptized autumn 29 C.E., ,text,True, , , , ,Jesus im Herbst 29 u. Z. getauft,Jesus getauft im Herbst 29 u. Z., ,Jesus taufte im Herbst des Jahres 29 n. Chr.
year,Jahr,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , ,Jahr,Jahr, ,Jahr
years,Jahre,years, ,text,True, , , , ,Jahre,Jahre, ,Jahre
years_age,Jahre,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True, , , , ,Jahre,Jahre, ,Jahre
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True, , , , , , , , 
