key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 years human history visualized,"6,000 Years of Human History — A Timeline",2026-08-26,text,False,Matthias,2026-04-20, , , , , , 
pdf_subject,Timeline of humankind,Timeline of human history from 4000 BCE to present, ,text,False,Matthias,2026-04-20, , , , , , 
BCE,B.C.E.,B.C.E.,appendix B9,B9,True,Matthias,2026-04-20, , , , , , 
CE,C.E.,C.E., ,B9,True,Matthias,2026-04-20, , , , , , 
month,month,month, ,text,True,Matthias,2026-04-20, , , , , , 
months,months,months, ,text,True,Matthias,2026-04-20, , , , , , 
day,day,day, ,text,True,Matthias,2026-04-20, , , , , , 
days,days,days, ,text,True,Matthias,2026-04-20, , , , , , 
to,to,to, ,text,True,Matthias,2026-04-20, , , , , , 
Deluge,Deluge,Deluge, ,text,True,Matthias,2026-04-20, , , , , , 
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,True,Matthias,2026-04-20, , , , , , 
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,True,Matthias,2026-04-20, , , , , , 
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,True,Matthias,2026-04-20, , , , , , 
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True,Matthias,2026-04-20, , , , , , 
years,years,years, ,text,True,Matthias,2026-04-20, , , , , , 
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True,Matthias,2026-04-20, , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True,Matthias,2026-04-20, , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,True,Matthias,2026-04-20, , , , , , 
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,True,Matthias,2026-04-20, , , , , , 
timespan_judges2,Time of the judges,Time of the judges, ,text,True,Matthias,2026-04-20, , , , , , 
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,True,Matthias,2026-04-20, , , , , , 
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,True,Matthias,2026-04-20, , , , , , 
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,True,Matthias,2026-04-20, , , , , , 
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,True,Matthias,2026-04-20, , , , , , 
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,True,Matthias,2026-04-20, , , , , , 
exile2,Exile,Exile, ,text,True,Matthias,2026-04-20, , , , , , 
7times2,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,True,Matthias,2026-04-20, , , , , , 
ww1,World War I – 1914–1918,World War I – 1914–1918, ,text,True,Matthias,2026-04-20, , , , , , 
ww2,World War II – 1939–1945,World War II – 1939–1945, ,text,True,Matthias,2026-04-20, , , , , , 
30_year_war,Thirty Years' War in Europe 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,True,Matthias,2026-04-20, , , , , , 
joshua,110 years,110 years, ,text,True,Matthias,2026-04-20, , , , , , 
caleb,more than 85 years,more than 85 years, ,text,True,Matthias,2026-04-20, , , , , , 
missionary1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,True,Matthias,2026-04-20, , , , , , 
circumcision,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,True,Matthias,2026-04-20, , , , , , 
missionary2,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,True,Matthias,2026-04-20, , , , , , 
missionary3,Third Missionary Journey c. 52-56 C.E.,Third Missionary Journey c. 52-56 C.E., ,text,True,Matthias,2026-04-20, , , , , , 
