key	text	alternative
year	year	
BCE	BCE	
CE	CE	
Adam	Adam	
Seth	Seth	
Enosh	Enosh	Eʹnosh
Kenan	Kenan	Keʹnan
Mahalalel	Ma·hala·lel	Ma·halʹa·lel
Jared	Jared	Jaʹred
Enoch	Enoch	Eʹnoch
Methuselah	Me·thuse·lah	Me·thuʹse·lah
Lamech	Lamech	Laʹmech
Noah	Noah	
Shem	Shem	
Arpachshad	Ar·pachshad	Ar·pachʹshad
Shelah	Shelah	Sheʹlah
Eber	Eber	Eʹber
Peleg	Peleg	Peʹleg
Reu	Reu	Reʹu
Serug	Serug	Seʹrug
Nahor	Nahor	Naʹhor
Terah	Terah	Teʹrah
Abraham	Abraham	
Isaac	Isaac	
Jacob	Jacob	
Joseph	Joseph	
Moses	Moses	
Rehoboam	Rehoboam	first king of southern kingdom of Juda
Abijah	Abijah (Abijam)	3 years, also Abijam
Asa	Asa	
Jehoshaphat	Jehoshaphat	bce_float = -y+1 - (12-m)/12 – (31-d)/360
Jehoram2	Jehoram	
Ahaziah	Ahaziah	
Athaliah	Queen Athaliah	Queen Athaliah
Jehoash	Jehoash	
Amaziah	Amaziah	
Uzziah	Uzziah (Azariah)	also Azariah
Jotham	Jotham	
Ahaz	Ahaz	
Hezekiah	Hezekiah	
Manasseh	Manasseh	
Amon	Amon	
Josiah	Josiah	
Jehoahaz	Jehoahaz	Only 3 months
Jehoiakim	Jehoiakim	
Jehoiachin	Jehoiachin	Only 3 months 10 days
Zedekia	Zedekia	
Jeroboam	Jeroboam	first king of northern 10-tribe kingdom
Nadab	Nadab	less than 2
Baasha	Baasha	
Elah	Elah	
Zimri	Zimri	Only 7 days in ca. 751 BCE
OmriTibni	Omri and Tibni together	4 years Omri and Tibni
Omri	Omri (alone)	from 947 Omri alone
Ahab	Ahab	
Ahaziah	Ahaziah	
Jehoram	Jehoram	
Jehu	Jehu	
Jeoahaz	Jeoahaz	
JeoahazJehoash	Jeoahaz and Jehoash	For 3 years Jeoahaz and Jeoash reigned together
Jehoash2	Jehoash (alone)	Jehoash (alone)
Jeroboam2	Jeroboam2	
Zechariah	Zechariah	reign only recorded 6 months, probably only established 792 BCE
Schallum	Schallum	only one month
Menahem	Menahem	
Pekahiah	Pekahiah	
Pekah	Pekah	
Hoshea	Hoshea	9 years from c. 748
Saul	Saul	
David	David	
Solomo	Solomo	
moses2	Moses	
moses2_l	1593 to 1473 BCE – 120 years	
moses2_r	 	
wilderness	 	
wilderness_l	Israel in the wilderness 1513 to 1473 BCE – 40 years	
wilderness_r	 	
judges	Time of the judges	
judges_l	1473 to 1117 BCE – 356 years	
judges_r	 	
temple	479 years until the temple construction – 1 Kings 6:1	
temple_l	Nisan 1513 BCE to Ziv 1034 BCE	
temple_r	 	1034 BCE
jesus_life	 	
jesus_life_l	Jesus born 2 BCE	
jesus_life_r	Executed Nisan 14th, 33 CE	
jesus_service	 	
jesus_service_l	Jesus baptized autumn 29 CE	
jesus_service_r	3.5 years of Jesus service	
69weeks	69 weeks to the Messiah – Daniel 9:25	
69weeks_l	rebuild Jerusalem 455 BCE	
69weeks_r	Jesus baptized	
exile	exile	
exile_l	 	
exile_r	607 to 537 BCE – 70 years (Jeremiah 25:11)	
7times	7 times – 2520 years to the Messianic Kingdom 1914 CE (Daniel 4:23)	
7times_l	 	
7times_r	 	
ww1	 	
ww1_l	World War I – 1914–1918 CE	
ww1_r	 	
ww2	 	
ww2_l	World War II – 1939–1945 CE	
ww2_r	 	
30_year_war	 	
30_year_war_l	30 year war in Europe 1618-1648 CE	
30_year_war_r	 	
joshua	Joshua	
joshua_l	110 years	
joshua_r	 	
caleb	Caleb	
caleb_l	more than 85 years	
caleb_r	 	
exodus	Exodus from Egypt on Nisan 14th, 1513 BCE	
missionary1	 	
missionary1_l	 	
missionary1_r	First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark	
missionary2	 	
missionary2_l	 	
missionary2_r	Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)	
missionary3	 	
missionary3_l	 	
missionary3_r	Third Missionary Journey c. 52-56 C.E. then arrested and imprisoned in Rome 58 C.E.	
