key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 años de historia humana visualizados,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , , , , ,6.000 años de historia de la humanidad: una línea temporal
pdf_subject,Cronología de la humanidad,Timeline of human history from 4000 BCE to present, ,text,False, , , , , , , ,Cronología de la historia de la humanidad desde el 4000 a. C. hasta la actualidad
BCE,a.e.c.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,e.c.,C.E., ,B9,True, , , , , , , , 
month,mes,month, ,text,True, , , , , , , ,mes
months,meses,months, ,text,True, , , , , , , ,meses
day,día,day, ,text,True, , , , , , , ,día
days,días,days, ,text,True, , , , , , , ,días
to,a,to, ,text,True, , , , , , , ,a
Deluge,Diluvio,Deluge, ,text,True, , , , , , , ,Diluvio
moses2,1593 a 1473 a.e.c. – 120 años,1593 to 1473 B.C.E. – 120 years, ,text,True, , , , , , , ,Del 1593 al 1473 a. e. c. – 120 años
temple1,Nisán 1513 a.e.c. a Ziv 1034 a.e.c.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,True, , , , , , , ,Del 15 de Nisán del 1513 a. C. al 10 de Ziv del 1034 a. C.
69weeks,Jesús bautizó en el otoño de 29 e.c.,Jesus baptized autumn 29 C.E., ,text,True, , , , , , , ,Jesús fue bautizado en otoño del año 29 d. C.
year,año,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , , , , ,año
years,años,years, ,text,True, , , , , , , ,años
years_age,años,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True, , , , , , , ,años
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True, , , , , , , , 
wilderness,Israel en el desierto 1513 a 1473 a.e.c. - 40 años,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,True, , , , , , , ,"Israel en el desierto, del 1513 al 1473 a. e. c. – 40 años"
timespan_judges,1473 a 1117 a.e.c. – 356 años,1473 to 1117 B.C.E. – 356 years, ,text,True, , , , , , , ,1473 a 1117 a. e. c. – 356 años
timespan_judges2,La hora de los jueces,Time of the judges, ,text,True, , , , , , , ,La época de los jueces
temple2,479 años hasta la construcción del templo – 1 Reyes 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,True, , , , , , , ,Faltan 479 años para la construcción del templo – 1 Reyes 6:1
69weeks2,69 semanas para el Mesías – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,True, , , , , , , ,69 semanas hasta la llegada del Mesías – Daniel 9:25
jesus_service,"Tres años y medio de servicio a Jesús, ejecutado el 14 de Nisán de 33 E.C.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,True, , , , , , , ,"3,5 años de ministerio de Jesús, ejecutado el 14 de Nisán del año 33 d. C."
jesus_life,Jesús nació en el año 2 a.e.c.,Jesus born 2 B.C.E., ,text,True, , , , , , , ,Jesús nació en el año 2 a. e. c.
exile,607 al 537 a.e.c. – 70 años (Jeremías 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,True, , , , , , , ,Del 607 al 537 a. e. c. – 70 años (Jeremías 25:11)
exile2,Exilio,Exile, ,text,True, , , , , , , ,Exilio
7times2,7 veces – 2520 años hasta el Reino Mesiánico 1914 e.c. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,True, , , , , , , ,"7 veces: 2520 años hasta el Reino Mesiánico, 1914 d. C. (Daniel 4:23)"
ww1,Primera Guerra Mundial – 1914–18,World War I – 1914–1918, ,text,True, , , , , , , ,Primera Guerra Mundial – 1914-1918
ww2,Segunda Guerra Mundial – 1939–45,World War II – 1939–1945, ,text,True, , , , , , , ,Segunda Guerra Mundial – 1939-1945
30_year_war,Guerra de los Treinta Años en Europa 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,True, , , , , , , ,"La Guerra de los Treinta Años en Europa, 1618-1648"
joshua,110 años,110 years, ,text,True, , , , , , , ,110 años
caleb,más de 85 años,more than 85 years, ,text,True, , , , , , , ,más de 85 años
missionary1,"Primer viaje misionero de Pablo, c. 47-48 e.c. con Bernabé y Juan Marcos","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,True, , , , , , , ,"Primer viaje misionero de Pablo, hacia los años 47-48 d. C., junto con Bernabé y Juan Marcos"
circumcision,"Cuestión de circuncisión en Antioquía, conferencia en Jerusalén c. 49 e.c.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,True, , , , , , , ,"La cuestión de la circuncisión en Antioquía; el concilio de Jerusalén, hacia el año 49 d. C."
missionary2,Segundo viaje misionero c. 49-52 e.c. con Silas (Silvano),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,True, , , , , , , ,"Segundo viaje misionero, hacia los años 49-52 d. C., con Silas (Silvano)"
missionary3,Tercer viaje misionero c. 52-56 e.c.,Third Missionary Journey c. 52-56 C.E., ,text,True, , , , , , , ,"Tercer viaje misionero, hacia los años 52-56 d. C."
caesarea,Pablo bajo custodia en Cesarea c. 56-58 e.c.,Paul in custody in Caesarea c. 56-58 C.E., ,text,True, , , , , , , ,"Pablo bajo custodia en Cesarea, hacia los años 56-58 d. C."
