key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,6000 vuoden ihmiskunnan historia visualisoituna,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , ,"6,000 Years of Human History — A Timeline",6 000 vuotta ihmiskunnan historiaa — aikajana, , ,6 000 vuotta ihmiskunnan historiaa — aikajana
pdf_subject,Ihmiskunnan aikajana,Timeline of human history from 4000 BCE to present, ,text,False, , , ,Timeline of human history from 4000 BCE to present,Ihmiskunnan historian aikajana vuodesta 4000 eaa. nykypäivään, , ,Ihmiskunnan historian aikajana vuodesta 4000 eKr. nykypäivään
BCE,eaa.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,jaa.,C.E., ,B9,True, , , , , , , , 
month,kuukausi,month, ,text,False, , , ,month,kuukausi, , ,kuukausi
months,kuukautta,months, ,text,False, , , ,months,kuukaudet, , ,kuukautta
day,päivä,day, ,text,False, , , ,day,päivä, , ,päivä
days,päivää,days, ,text,False, , , ,days,päivät, , ,päivää
to,-,to, ,text,False, , , ,to,–, , ,...
Deluge,Hukuttaa,Deluge, ,text,False, , , ,Deluge,Vedenpaisumus, , ,Tulva
moses2,1593 - 1473 eaa. – 120 vuotta,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,1593 to 1473 B.C.E. – 120 years,1593–1473 eaa. – 120 vuotta, , ,1593–1473 eKr. – 120 vuotta
temple1,Nisan 1513 eaa. Ziviin vuoteen 1034 eaa.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 eaa. – Siv 1034 eaa., , ,Nisan 1513 eaa. – Ziv 1034 eaa.
69weeks,Jeesus kastoi syksyllä 29 jKr.,Jesus baptized autumn 29 C.E., ,text,False, , , ,Jesus baptized autumn 29 C.E.,Jeesus kastettu syksyllä 29 jaa., , ,Jeesus kastettiin syksyllä vuonna 29 jKr.
year,vuosi,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , ,year,vuosi, , ,vuosi
years,vuotta,years, ,text,False, , , ,years,vuotta, , ,vuotta
years_age,vuotta,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , ,years,vuosia, , ,vuotta
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel erämaassa 1513–1473 eaa. – 40 vuotta,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , ,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel erämaassa 1513–1473 eaa. – 40 vuotta, , ,Israel erämaassa 1513–1473 eKr. – 40 vuotta
timespan_judges,1473 - 1117 eaa. – 356 vuotta,1473 to 1117 B.C.E. – 356 years, ,text,False, , , ,1473 to 1117 B.C.E. – 356 years,1473–1117 eaa. – 356 vuotta, , ,1473–1117 eKr. – 356 vuotta
timespan_judges2,Tuomareiden aika,Time of the judges, ,text,False, , , ,Time of the judges,Tuomarien aika, , ,Tuomareiden aika
temple2,479 vuotta temppelin rakentamiseen – 1. Kun. 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , ,479 years until the temple construction – 1 Kings 6:1,479 vuotta temppelin rakentamiseen – 1. Kun. 6:1, , ,479 vuotta temppelin rakentamiseen – 1. Kuningasten kirja 6:1
69weeks2,69 viikkoa Messiaaseen – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , ,69 weeks to the Messiah – Daniel 9:25,69 viikkoa Messiakseen – Daniel 9:25, , ,69 viikkoa Messiaan saapumiseen – Daniel 9:25
jesus_service,"3,5 vuotta Jeesuksen palvelusta, teloitettiin nisanina 14., 33 jKr.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , ,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3,5 vuotta Jeesuksen palvelusta, teloitettu Nisan 14. päivänä 33 jaa.", , ,"3,5 vuotta Jeesuksen palvelutyötä; teloitettiin 14. nisanina vuonna 33 jKr."
jesus_life,Jeesus syntyi 2 eaa.,Jesus born 2 B.C.E., ,text,False, , , ,Jesus born 2 B.C.E.,Jeesus syntynyt 2 eaa., , ,Jeesus syntyi vuonna 2 eKr.
exile,607 - 537 eaa. – 70 vuotta (Jeremia 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , ,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607–537 eaa. – 70 vuotta (Jeremia 25:11), , ,607–537 eKr. – 70 vuotta (Jeremia 25:11)
exile2,maanpako,Exile, ,text,False, , , ,Exile,Pakkosiirtolaisuus, , ,Maanpako
7times2,7 kertaa – 2520 vuotta messiaaniseen valtakuntaan 1914 eaa. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , ,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),7 aikaa – 2520 vuotta messiaaniseen valtakuntaan 1914 jaa. (Daniel 4:23), , ,7 kertaa – 2520 vuotta Messiaaniseen valtakuntaan vuonna 1914 jKr. (Daniel 4:23)
ww1,Ensimmäinen maailmansota – 1914–1918 jKr.,World War I – 1914–1918, ,text,False, , , ,World War I – 1914–1918,Ensimmäinen maailmansota 1914–1918, , ,Ensimmäinen maailmansota – 1914–1918
ww2,Toinen maailmansota – 1939–1945,World War II – 1939–1945, ,text,False, , , ,World War II – 1939–1945,Toinen maailmansota 1939–1945, , ,Toinen maailmansota – 1939–1945
30_year_war,Kolmikymmenvuotinen sota Euroopassa 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , ,Thirty Years' War in Europe 1618-1648,Kolmikymmenvuotinen sota Euroopassa 1618–1648, , ,Euroopan kolmekymmentävuotinen sota 1618–1648
joshua,110 vuotta,110 years, ,text,False, , , ,110 years,110 vuotta, , ,110 vuotta
caleb,yli 85 vuotta,more than 85 years, ,text,False, , , ,more than 85 years,yli 85 vuotta, , ,yli 85 vuotta
missionary1,"Paavalin ensimmäinen lähetysmatka, n. 47-48 Barnabaan ja Johannes Markuksen kanssa","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , ,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",Paavalin ensimmäinen lähetysmatka noin 47–48 jaa. Barnabaan ja Johannes Markuksen kanssa, , ,"Paavalin ensimmäinen lähetysmatka, n. 47–48 jKr., yhdessä Barnabaan ja Johannes Markuksen kanssa"
circumcision,"Ympärileikkausasia Antiokiassa, konferenssi Jerusalemissa c. 49 jKr.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , ,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.","Ympärileikkauskysymys Antiokiassa, kokous Jerusalemissa noin 49 jaa.", , ,"Ympärileikkauskysymys Antiokiassa, konferenssi Jerusalemissa n. vuonna 49 jKr."
missionary2,Toinen lähetystyömatka c. 49-52 jKr Silasin (Silvanuksen) kanssa,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , ,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),Paavalin toinen lähetysmatka noin 49–52 jaa. Silaksen (Silvanuksen) kanssa, , ,Toinen lähetysmatka n. 49–52 jKr. Silaksen (Silvanuksen) kanssa
missionary3,Kolmas lähetystyömatka c. 52-56 jKr.,Third Missionary Journey c. 52-56 C.E., ,text,False, , , ,Third Missionary Journey c. 52-56 C.E.,Paavalin kolmas lähetysmatka noin 52–56 jaa., , ,Kolmas lähetysmatka n. 52–56 jKr.
caesarea,Paavali vangittuna Kesareassa n. 56-58 jKr.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , ,Paul in custody in Caesarea c. 56-58 C.E.,Paavali vangittuna Caesareassa noin 56–58 jaa., , ,Paavali pidätettynä Kesareassa noin vuosina 56–58 jKr.
rome1,Paavalin ensimmäinen vankeus Roomassa n. 59-61 jKr.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , ,Paul’s first imprisonment in Rome c. 59-61 C.E.,Paavalin ensimmäinen vankeus Roomassa noin 59–61 jaa., , ,Paavalin ensimmäinen vankeus Roomassa n. 59–61 jKr.
rome2,"Paavalin toinen vankeus Roomassa n. 65 jKr., 2. Timoteukselle kirjoitettu, Paavali teloitettiin","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False, , , ,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed","Paavalin toinen vankeus Roomassa noin 65 jaa., 2. Timoteukselle kirjoitettu, Paavali teloitettu", , ,"Paavalin toinen vankeus Roomassa n. vuonna 65 jKr., 2. Timoteuksen kirjeen kirjoittaminen, Paavalin teloitus"
event_exodus,Exodus Egyptistä nisanin 14. päivänä 1513 eaa.,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False, , , ,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.",Lähtö Egyptistä Nisan 14. päivänä 1513 eaa., , ,Egyptistä lähtö 14. nisanina vuonna 1513 eaa.
event_division_kingdom,Israelin jako 997 eaa,Division of Israel 997 BCE, ,text,False, , , ,Division of Israel 997 BCE,Israelin valtakunnan jakautuminen 997 eaa., , ,Israelin jakautuminen 997 eKr.
event_destruction_samaria,Samarian tuho 740 eaa. Assyrian toimesta,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False, , , ,Destruction of Samaria 740 B.C.E. by Assyria,Samarian tuho 740 eaa. Assyrian toimesta, , ,Assyrian tuhoama Samaria vuonna 740 eKr.
