key,text,english,notes,tag,checked
version,4.5,6.02, ,float,True
pdf_title,6000 na yabaki ni itukutuku ni kawatamata e raitayaloyalotaki,6000 years human history visualized,2026-02-11,text,False
pdf_subject,iTuvatuva ni kawatamata,Timeline of humankind, ,text,False
BCE,B.K.E.,B.C.E., ,B9,False
CE,C.E.,C.E., ,B9,False
month,vula,month, ,text,False
months,Veivula,months, ,text,False
day,siga,day, ,text,False
days,siga,days, ,text,False
to,ki na,to, ,text,False
Deluge,Waluvu,Deluge, ,text,False
moses2,1593 ki na 1473 B.K.K. – 120 na yabaki,1593 to 1473 B.C.E. – 120 years, ,text,False
temple1,Nisan 1513 B.S.K. ki na Ziv 1034 B.S.K.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False
69weeks,A papitaisotaka o Jisu na vulaibatabata 29 S.K.,Jesus baptized autumn 29 C.E., ,text,False
year,yabaki,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False
years,veiyabaki,years, ,text,False
years_age,veiyabaki,years,years when used as age for a person (different word than years in some languages),text,False
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False
wilderness,Isireli ena lekutu 1513 ki na 1473 S.K.K. – 40 na yabaki,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False
timespan_judges,1473 ki na 1117 B.K.K. – 356 na yabaki,1473 to 1117 B.C.E. – 356 years, ,text,False
timespan_judges2,Nodra gauna na turaganilewa,Time of the judges, ,text,False
temple2,479 na yabaki me yacova na tara ni valetabu – 1 Tui 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False
69weeks2,69 na macawa vua na Mesaia - Taniela 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False
jesus_service,"3.5 na yabaki ni veiqaravi nei Jisu, a vakamatei Nisani ena ika 14, 33 S.K.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False
jesus_life,Sucu o Jisu ena 2 B.S.K.,Jesus born 2 B.C.E., ,text,False
exile,607 ki na 537 B.S.K. – 70 na yabaki (Jeremaia 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False
exile2,kau vakavesu,Exile, ,text,False
7times2,7 vaka - 2520 na yabaki ki na Matanitu vaka-Mesaia 1914 S.K. (Taniela 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False
ww1,iKarua ni iValu Levu – 1914–1918 S.K.,World War I – 1914–1918, ,text,False
ww2,iKarua ni iValu Levu – 1939–1945 S.K.,World War II – 1939–1945, ,text,False
30_year_war,Tolusagavulu na Yabaki ni iValu e Iurope 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False
joshua,110 na yabaki,110 years, ,text,False
caleb,sivia na 85 na yabaki,more than 85 years, ,text,False
missionary1,"iMatai ni iLakolako ni Kaulotu nei Paula, c. 47-48 S.K. kei Panapasa kei Joni Marika","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False
circumcision,"Na cili e Anitioki, koniferedi e Jerusalemi c. 49 S.K.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False
missionary2,iKarua ni iLakolako ni Kaulotu c. 49-52 S.K kei Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False
missionary3,iKatolu ni iLakolako ni Kaulotu c. 52-56 S.K.,Third Missionary Journey c. 52-56 C.E., ,text,False
caesarea,Paula ena vesu e Sisaria c. 56-58 S.K.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False
rome1,Na imatai ni nona vesu o Paula e Roma c. 59-61 S.K.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False
rome2,"iKarua ni vesu nei Paula mai Roma c. 65 CE, 2 Timoci vola, a vakamatei o Paula","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False
event_exodus,"Na Lako Tani mai Ijipita ena ika 14 ni Niisani, 1513 B.S.K.","Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False
event_division_kingdom,Tabana ni Isireli 997 B.S.K.,Division of Israel 997 BCE, ,text,False
event_destruction_samaria,Vakarusai mai Samaria 740 B.S.K. mai vei Asiria,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False
event_destruction_jerusalem1,"Vakarusai kei Jerusalemi 607 B.S.K. mai vei Papiloni, ni oti e 390 na yabaki mai na wasei ni matanitu (Isikeli 4:5)","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False
event_temple_rebuilt,Tara tale na Valetabu e Jerusalemi ena 515 B.S.K.,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False
event_jerusalem_rebuilt,Tara tale na bai kei Jerusalemi na 455 B.S.K.,Jerusalem wall rebuilt 455 B.C.E., ,text,False
event_destruction_jerusalem2,Vakarusai o Jerusalemi 70 S.K. mai Roma ena ruku ni veiliutaki nei Taito,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False
event_1914,"Ni sa cava na gauna ni veimatanitu, sa tekivu me veiliutaki na matanitu ni Kalou mai lomalagi 1914 S.K. ","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.", ,text,False
became_king,yaco me tui ni sa yabaki,becomes king at age, ,text,False
vulgate,A vakacavara o Jerome (vakadewataka vakalatina ni ivolatabu) c. 405 S.K.,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False
gutenberg,iVolatabu a tabaka o Gutenberg 1455,Gutenberg Bible printed 1455, ,text,False
erasmus,iVolatabu Vakirisi Vakirisi Vakarisito tabaka o Desiderius Erasmus mai Rotterdam 1516,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False
luther,Vakadewa ni iVolatabu ni Luther ena Sepiteba 1522,Luther Bible translation in September 1522, ,text,False
tyndale,iVakadewa ni iVolatabu Vakavalagi mai vei Tyndale 1536,English Bible translation by Tyndale 1536, ,text,False
king_james,King James Bible 1611,King James Bible 1611, ,text,False
69weeks3,"Tekivuna o Jisu na nona veiqaravi 29 CE (Luke 3:1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False
ransom,"ena lomadonu ni macawa ""na solibula me mudu"" Taniela 9:27",Middle of week “sacrifice to cease” Daniel 9:27, ,text,False
cornelius,A papitaiso o Konilio ni sa cava e 70 na macawa (Taniela 9:24) ena 36 S.K.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False
columbus,mua ni gauna ni bera na Columbian ena Amerika 1492,End of the pre-columbian period in the Americas 1492, ,text,False
declaration_independence,vakaraitaki ni bula vakataki koya e 13 na vanua vakaitikotiko e Amerika 1776,Declaration of independence of 13 colonies in America 1776, ,text,False
tischendorf,E kunea o Tischendorf na Codex Sinaiticus mai na ika 4 ni senitiuri ena 1844,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False
dead_sea_scrolls,Volai na iVolavivigi ni Wasawasa Mate,Dead Sea Scrolls written, ,text,False
septuagint,Vakadewataki na Septuagint LXX,Septuagint LXX translated, ,text,False
watchtower,"Na imatai ni ilavelave ni ""Zion's Watch Tower and Herald of Christ's Presence"" e tabaki ena 1879",The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False
jehovahs_witnesses,"Era a taura na Gonevuli ni iVolatabu e dua na yaca vou – iVakadinadina i Jiova. Mai Columbus, Ohio, 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931", ,text,False
gilead_school,"A tekivu ena Moniti, 1 Feperueri, 1943, a tekivu na Koronivuli ni iVolatabu e Kiliati ena Moniti, 1 Feperueri, 1943","Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False
new_world_translation1,"""New World Translation of the Holy Scriptures"" ka soli mai Manchester, Igiladi ena ika 18 ni June, 1960","“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible", ,text,False
new_world_translation2,"Vakavoui ni ""New World Translation of the Holy Scriptures"" ka soli ena soqoni vakayabaki ni 2013","Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online", ,text,False
cold_war,"Na ituvaki ni bula vakapolitiki e vakatokai me ""iValu Batabata"" 1945-1991",Geopolitical situation labeled “Cold War” 1945-1991, ,text,False
timeline_created,"Na gauna oqo a tauyavutaki ena 2023, na yabaki katakata duadua ena itukutuku ni kawatamata kei na 125,000 na yabaki sa oti","This timeline is created in 2023, the hottest year in human history and the last 125,000 years", ,text,False
codex_sinaiticus,Vola o Codex Sinaiticus,Codex Sinaiticus written, ,text,False
codex_vaticanus,Vola o Codex Vaticanus,Codex Vaticanus written, ,text,False
leningrad_codex,Leningrad Codex volai e Cairo AD 1008,Leningrad Codex written in Cairo AD 1008, ,text,False
john,"Vola o Joni na ""ivakatakila"" ni tiko vakavesu ena Patmos 96-98 S.K.",John writes “revelation” while exiled on Patmos 96-98 C.E., ,text,False
buddha,Na Buddha - Siddhartha Gautama c.563-c.483 B.K.E,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, ,text,False
buddha2,Buddha me kena isosomi c. 480-400 B.K.,Buddha alternatively c. 480-400 B.C.E., ,text,False
mohammed,Mohammed c. 570-632 S.K.,Mohammed c. 570-632, ,text,False
confucius,Confucius c.551-c.479 B.K.E.,Confucius c.551-c.479 B.C.E., ,text,False
hijrah,Hijrah - iLakolako Mecca ki Medina 16 Julai 622,Hijrah - Journey Mecca to Medina 16 July 622, ,text,False
moses_escape,"1553 B.S.K. Sa dodonu me dro tani mai Ijipita o Mosese – Lako Yani 2:15, Cakacaka 7:23","1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23", ,text,False
10plagues,1513 B.S.K.E Sotava e Ijipita e 10 na mate veitauvi,1513 B.C.E Egypt receives 10 plagues, ,text,False
joseph_sold,Volitaki koya o Josefa me bobula ni sa yabaki 17 – Nai Vakatekivu 37:2,Joseph sold as slave at the age of 17 – Gen 37:2, ,text,False
infliction,400 na yabaki ni kena vakayacori (Cakacaka 7:6) – Isimeli 1913 B.S.K.,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E, ,text,False
Alexander,Alexander na Cecere (Taniela 11:3),Alexander the Great (Daniel 11:3), ,text,False
persia,"Sairusi na Ka Levu, Cambyses II, Taraiase I 490 BCE, Xerxes I 480 BCE (wati Esiteri, Taniela 11:2)","Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)", ,text,False
king_north,"Seleucus I Nicator (v5) Siria ki Antiochus III (v10) kei Seleucus IV (v18, 19) sobu vei Octavian (v20) kei Tiberius (v21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)", ,text,False
king_north1,Tui ni Vualiku,King of the North, ,text,False
king_south,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) ki na Actium ni ivalu 31 B.K.E.","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.", ,text,False
king_south1,Tui ni Ceva,King of the South, ,text,False
king_south2,"British empire 1870, na kaukauwa ni vuravura ni Anglo-American me tekivu mai na 1914","British Empire 1870, Anglo-American World Power since 1914", ,text,False
king_south3,Tui ni Ceva,King of the South, ,text,False
king_north2,"Jamani kei Empara William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)","Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)", ,text,False
king_north3,Vualiku,North, ,text,False
