key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 वर्ष के मानव इतिहास की कल्पना की गई,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , , , , , 
pdf_subject,मानव जाति की समयरेखा,Timeline of human history from 4000 BCE to present, ,text,False, , , , , , , , 
BCE,ईसा पूर्व,B.C.E., ,B9,False, , , , , , , , 
CE,सी.ई.,C.E., ,B9,False, , , , , , , , 
month,महीना,month, ,text,False, , , , , , , , 
months,महीने,months, ,text,False, , , , , , , , 
day,दिन,day, ,text,False, , , , , , , , 
days,दिन,days, ,text,False, , , , , , , , 
to,को,to, ,text,False, , , , , , , , 
Deluge,बाढ़,Deluge, ,text,False, , , , , , , , 
moses2,1593 से 1473 ई.पू. – 120 वर्ष,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , , , , , 
temple1,निसान 1513 ई.पू. ज़िव से 1034 ई.पू.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , , , , , 
69weeks,यीशु ने सा.यु. 29 की शरद ऋतु में बपतिस्मा लिया।,Jesus baptized autumn 29 C.E., ,text,False, , , , , , , , 
year,वर्ष,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , , , , , 
years,वर्ष,years, ,text,False, , , , , , , , 
years_age,साल,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",text,False, , , , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,जंगल में इज़राइल 1513 से 1473 ई.पू. - 40 साल,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , , , , , 
timespan_judges,1473 से 1117 ई.पू. – 356 वर्ष,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , , , , , 
timespan_judges2,जजों का समय,Time of the judges, ,text,False, , , , , , , , 
temple2,मंदिर के निर्माण तक 479 वर्ष - 1 राजा 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , , , , , 
69weeks2,मसीहा को 69 सप्ताह - दानिय्येल 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , , , , , 
jesus_service,"यीशु की सेवा के 3.5 वर्ष, निसान 14वीं, 33 ई.पू. को निष्पादित किए गए।","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , , , , , 
jesus_life,यीशु का जन्म 2 ई.पू.,Jesus born 2 B.C.E., ,text,False, , , , , , , , 
exile,607 से 537 ई.पू. – 70 वर्ष (यिर्मयाह 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , , , , , 
exile2,निर्वासन,Exile, ,text,False, , , , , , , , 
7times2,7 बार - 2520 वर्ष मसीहाई साम्राज्य 1914 सी.ई. (डैनियल 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , , , , , 
ww1,प्रथम विश्व युद्ध - 1914-1918 ई.,World War I – 1914–1918, ,text,False, , , , , , , , 
ww2,द्वितीय विश्व युद्ध - 1939-1945 ई.पू.,World War II – 1939–1945, ,text,False, , , , , , , , 
30_year_war,यूरोप में तीस साल का युद्ध 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , , , , , , 
joshua,110 वर्ष,110 years, ,text,False, , , , , , , , 
caleb,85 वर्ष से अधिक,more than 85 years, ,text,False, , , , , , , , 
missionary1,"पॉल की पहली मिशनरी यात्रा, सी. 47-48 ई.पू. बरनबास और जॉन मार्क के साथ","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , , , , , , 
circumcision,"अन्ताकिया में खतना का मुद्दा, यरूशलेम में सम्मेलन c. 49 ई.पू.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , , , , , , 
missionary2,दूसरी मिशनरी यात्रा सी. 49-52 ई.पू सिलास (सिलवानस) के साथ,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , , , , , , 
missionary3,तीसरी मिशनरी यात्रा सी. 52-56 ई.पू.,Third Missionary Journey c. 52-56 C.E., ,text,False, , , , , , , , 
caesarea,पॉल कैसरिया में हिरासत में सी. 56-58 ई.पू.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , , , , , , 
rome1,रोम में पॉल की पहली कैद सी. 59-61 ई.पू.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , , , , , , 
rome2,"रोम में पॉल की दूसरी कैद सी. 65 ई., 2 तीमुथियुस ने लिखा, पॉल को फाँसी दी गई","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False, , , , , , , , 
event_exodus,"निसान 14, 1513 ईसा पूर्व को मिस्र से पलायन","Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False, , , , , , , , 
event_division_kingdom,इज़राइल का विभाजन 997 ईसा पूर्व,Division of Israel 997 BCE, ,text,False, , , , , , , , 
event_destruction_samaria,सामरिया का विनाश 740 ई.पू. असीरिया द्वारा,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False, , , , , , , , 
