key,text,notes,english
version,4.5,,4.5
pdf_title,6000 afọ mmadụ akụkọ ihe mere eme visualized,,6000 years human history visualized
pdf_subject,Oge nke ihe a kpọrọ mmadụ,,Timeline of humankind
BCE,B.C.E.,,B.C.E.
CE,C.E.,,C.E.
year,afọ,"timespan, age (Adam was 130 years old when Shem was born)",year
years,afọ,,years
years_age,afọ,years when used as age for a person (different word than years in some languages),years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,ọnwa,,month
months,ọnwa,,months
day,ụbọchị,,day
days,ụbọchị,,days
to,na,,to
people,ndị mmadụ,,people
judges,ndị ikpe,,judges
prophets,ndị amụma,,prophets
kings,ndị eze,,kings
periods,oge,,periods
events,ihe omume,,events
objects,ihe ma ọ bụ ihe,,objects or items
Deluge,Iju Mmiri,,Deluge
Adam,Adam,,Adam
Seth,Seth,,Seth
Enosh,Enosh,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoch,,Enoch
Methuselah,Methuselah,,Methuselah
Lamech,Lamech,,Lamech
Noah,Noa,,Noah
Shem,Shem,,Shem
Arpachshad,Arpachshad,,Arpachshad
Shelah,Shelah,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,,Serug
Nahor,Nahor,,Nahor
Terah,Tira,,Terah
Abraham,Abraham,,Abraham
Isaac,Isaac,,Isaac
Jacob,Jekọb,,Jacob
Joseph,Joseph,,Joseph
Moses,Mozis,,Moses
Othniel,Othniel,,Othniel
Ehud,Ehud,,Ehud
Shamgar,Shamgar,,Shamgar
Barak,Barak,,Barak
Gideon,Gideon,,Gideon
Tola,Tola,,Tola
Jair,Jair,,Jair
Jephthah,Jefta,,Jephthah
Ibzan,Ibzan,,Ibzan
Elon,Elon,,Elon
Abdon,Abdon,,Abdon
Samson,Samson,,Samson
Samuel,Samuel,,Samuel
Saul,Sọl,,Saul
David,David,,David
Solomo,Solomo,,Solomo
Rehoboam,Rehoboam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abijah (Abijam),"3 years, also Abijam",Abijah (Abijam)
Asa,Asa,,Asa
Jehoshaphat,Jehoshaphat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Jehoram,,Jehoram
Ahaziah,Ahaziah,,Ahaziah
Athaliah,Queen Athaliah,Queen Athaliah,Queen Athaliah
Jehoash,Jehoash,,Jehoash
Amaziah,Amaziah,,Amaziah
Uzziah,Uzziah (Azaraia),also Azariah,Uzziah (Azariah)
Jotham,Jotham,,Jotham
Ahaz,Ahaz,,Ahaz
Hezekiah,Hezekiah,,Hezekiah
Manasseh,Manase,,Manasseh
Amon,Amon,,Amon
Josiah,Josaya,,Josiah
Jehoahaz,Jehoahaz,Only 3 months,Jehoahaz
Jehoiakim,Jehoiakim,,Jehoiakim
Jehoiachin,Jehoiachin,Only 3 months 10 days,Jehoiachin
Zedekiah,Zedekaya,,Zedekiah
Jeroboam,Jeroboam,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Baasha,,Baasha
Elah,Elah,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri na Tibni ọnụ,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (naanị),from 947 Omri alone,Omri (alone)
Ahab,Ehab,,Ahab
Ahaziah,Ahaziah,,Ahaziah
Jehoram,Jehoram,,Jehoram
Jehu,Jihu,,Jehu
Jeoahaz,Jeoahaz,,Jeoahaz
JeoahazJehoash,Jeoahaz na Jehoash,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Jehoash (naanị),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jeroboam nke Abụọ,,Jeroboam II
Zechariah,Zekaraya,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Menahem,,Menahem
Pekahiah,Pekahiah,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hoshea,9 years from c. 748,Hoshea
Elijah,Ịlaịja,,Elijah
Elisha,Elisha,,Elisha
Jonah,Jona,,Jonah
Amos,Amos,,Amos
Joel,Joel,,Joel
Hosea,Hosea,,Hosea
Isaiah,Aịzaya,,Isaiah
Micah,Maịka,,Micah
Zephaniah,Zefanaya,,Zephaniah
Nahum,Nahum,,Nahum
Jeremiah,Jeremaya,,Jeremiah
Habakuk,Habakuk,,Habakuk
Daniel,Daniel,,Daniel
Ezekiel,Ezikiel,,Ezekiel
Obadiah,Obadiah,,Obadiah
Malachi,Malakaị,,Malachi
Ruth,Ruth,,Ruth
Ezra,Ezra,,Ezra
Nehemiah,Nehemaịa,,Nehemiah
Esther,Esther,,Esther
Job,Job,,Job
moses2,1593 ruo 1473 T.O.A. - afọ 120,,1593 to 1473 B.C.E. – 120 years
moses3,Mozis,,Moses
wilderness,Israel nọ n'ọhịa 1513 ruo 1473 T.O.A. - afọ 40,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 ruo 1117 T.O.A. - afọ 356,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Oge ndị ikpe,,Time of the judges
temple1,Nisan 1513 T.O.A. to Ziv 1034 T.O.A.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
