key	text	english
pdf_title	人類6000年の歴史を可視化	6000 years human history visualized 
pdf_subject	人類の年表	Timeline of humankind 
BCE	西暦前	B.C.E.
CE	共通する時代	C.E.
year	年	year
years	年	years
years_age	の歳	years
age_kings		 
month	月	month
months	月	months
day	日	day
days	日々	days
to	に	to
persons	人	persons
judges	判定	judges
prophets	預言者	prophets
kings	王たち	kings
periods	期間	periods
events	イベント	events
Deluge	大洪水	Deluge
Adam	アダム 	Adam
Seth	セツ 	Seth
Enosh	エノシュ 	Enosh
Kenan	カイナン 	Kenan
Mahalalel	マハラルエル 	Ma·hala·lel
Jared	ヤレド 	Jared
Enoch	エノク 	Enoch
Methuselah	メトセラ 	Me·thuse·lah
Lamech	レメク 	Lamech
Noah	ノア 	Noah
Shem	セム 	Shem
Arpachshad	アルパクシャド 	Ar·pachshad
Shelah	シェラハ 	Shelah
Eber	エベル 	Eber
Peleg	ペレグ 	Peleg
Reu	レウ 	Reu
Serug	セルグ 	Serug
Nahor	ナホル 	Nahor
Terah	テラ 	Terah
Abraham	アブラハム 	Abraham
Isaac	イサク 	Isaac
Jacob	ヤコブ 	Jacob
Joseph	ジョセフ	Joseph
Moses	モーセ	Moses
Othniel	オテニエル	Othniel
Ehud	エフド	Ehud
Shamgar	シャムガル	Shamgar
Barak	バラク 	Barak
Gideon	ギデオン 	Gideon
Tola	トラ 	Tola
Jair	ヤイル 	Jair
Jephthah	エフタ 	Jephthah
Ibzan	イブツァン 	Ibzan
Elon	エロン 	Elon
Abdon	アブドン 	Abdon
Samson	サムソン 	Samson
Samuel	サムエル 	Samuel
Saul	サウル 	Saul
David	ダビデ	David
Solomo	ソロモン	Solomo
Rehoboam	レハベアム 	Rehoboam
Abijah	アビヤ（アビヤム） 	Abijah (Abijam)
Asa	アサ 	Asa
Jehoshaphat	エホシャファト 	Jehoshaphat
Jehoram2	エホラム 	Jehoram
Ahaziah	アハジヤ 	Ahaziah
Athaliah	アタリヤ女王 	Queen Athaliah
Jehoash	エホアシュ 	Jehoash
Amaziah	アマジヤ 	Amaziah
Uzziah	ウジヤ（アザリヤ） 	Uzziah (Azariah)
Jotham	ヨタム 	Jotham
Ahaz	アハズ 	Ahaz
Hezekiah	ヒゼキヤ 	Hezekiah
Manasseh	マナセ 	Manasseh
Amon	アモン 	Amon
Josiah	ヨシヤ 	Josiah
Jehoahaz	エホアハズ 	Jehoahaz
Jehoiakim	エホヤキム 	Jehoiakim
Jehoiachin	エホヤキン 	Jehoiachin
Zedekia	ゼデキヤ 	Zedekia
Jeroboam	ヤラベアム 	Jeroboam
Nadab	ナダブ 	Nadab
Baasha	バアシャ 	Baasha
Elah	エラ 	Elah
Zimri	ジムリ 	Zimri
OmriTibni	オムリとティブニ 	Omri and Tibni together
Omri	オムリ（単独） 	Omri (alone)
Ahab	アハブ 	Ahab
Ahaziah	アハジヤ 	Ahaziah
Jehoram	エホラム 	Jehoram
Jehu	エヒウ 	Jehu
Jeoahaz	エホアハズ 	Jeoahaz
JeoahazJehoash	エホアハズとエホアシュ 	Jeoahaz and Jehoash
Jehoash2	エホアシュ（単独） 	Jehoash (alone)
Jeroboam2	ヤラベアム2世 	Jeroboam II
Zechariah	ゼカリヤ 	Zechariah
Schallum	シャルム 	Schallum
Menahem	メナヘム 	Menahem
Pekahiah	ペカフヤ 	Pekahiah
Pekah	ペカハ 	Pekah
Hoshea	ホシェア 	Hoshea
Elijah	エリヤ	Elijah
Elisha	エリシャ	Elisha
Jonah	ヨナ	Jonah
Amos	アモス	Amos
Joel	ヨエル	Joel
Hosea	ホセア	Hosea
Isaiah	イザヤ	Isaiah
Micah	ミカ	Micah
Zephaniah	ゼパニヤ	Zephaniah
Nahum	ナホム	Nahum
Jeremiah	エレミヤ	Jeremiah
Habakuk	ハバクク	Habakuk
Daniel	ダニエル	Daniel
Ezekiel	エゼキエル	Ezekiel
Obadiah	オバデヤ	Obadiah
Malachi	Malachi	Malachi
Ruth	Ruth	Ruth
Ezra	Ezra	Ezra
Nehemiah	Nehemiah	Nehemiah
Esther	Esther	Esther
Job	Job	Job
moses2	西暦前1593年から1473年 – 120年	1593 to 1473 B.C.E. – 120 years
moses3	モーセ	Moses
wilderness	荒野のイスラエル 西暦前1513年から1473年 – 40年	Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges	西暦前1473年から1117年 – 356年	1473 to 1117 B.C.E. – 356 years
timespan_judges2	審査員の時間	Time of the judges
temple1	ニサン 西暦前1513年 西暦前1034年ジウへ	Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2	神殿建設まで479年 – 列王上6:1	479 years until the temple construction – 1 Kings 6:1
69weeks	イエスは西暦29年の秋にバプテスマを施しました。	Jesus baptized autumn 29 C.E.
69weeks2	メシアまであと69週間 – ダニエル9:25	69 weeks to the Messiah – Daniel 9:25
jesus_service	3年半のイエスの奉仕、西暦33年ニサン14日に処刑される。	3.5 years of Jesus service, executed Nisan 14th, 33 C.E.
jesus_life	イエスは西暦前2年に生まれました。	Jesus born 2 B.C.E.
exile	西暦前607年から537年 – 70年（エレミヤ25:11）	607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2	亡命	exile
7times	黙示録 12:9	Revelation 12:9
7times2	7 回 – 西暦 1914 年のメシアの王国まで 2520 年 (ダニエル 4:23)	7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1	第一次世界大戦 – 西暦 1914 ～ 1918 年	World War I – 1914–1918 C.E.
ww2	第二次世界大戦 – 西暦 1939 ～ 1945 年	World War II – 1939–1945 C.E.
30_year_war	ヨーロッパにおける三十年戦争 1618 ～ 1648 年	Thirty Years' War in Europe 1618-1648
joshua	110年	110 years
joshua2		Joshua
caleb	85年以上	more than 85 years
caleb2	ケイレブ	Caleb
missionary1	パウロの最初の宣教旅行、c. 西暦47年から48年、バルナバとジョン・マークと	First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark
circumcision	アンティオキアにおける割礼の問題、エルサレムでの会議 c． 西暦49年	Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.
missionary2	第二回伝道旅行 c． 西暦49～52年、サイラス（シルヴァヌス）と	Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3	第 3 回伝道旅行 c． 西暦52年から56年	Third Missionary Journey c. 52-56 C.E.
caesarea	カイサリアで拘留中のパウロ c． 西暦56年から58年	Paul in custody in Caesarea c. 56-58 C.E.
rome1	パウロのローマでの最初の投獄 c． 西暦59年から61年	Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2	パウロのローマでの二度目の投獄 c． 西暦65年、テモテ第二書が書かれ、パウロが処刑される	Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed
Julius	Julius	Julius
Augustus	Augustus	Augustus
Tiberius	Tiberius	Tiberius
Caligula	Caligula	Caligula
Claudius	Claudius	Claudius
Nero	Nero	Nero
Galba-Otho-Vitellius	ガルバ、オト、ウィテリウス (四皇の年)	Galba, Otho and Vitellius (Year of the Four Emperors)
Vespasian	Vespasian	Vespasian
event_exodus	西暦前1513年ニサン14日にエジプトから出エジプト。	Exodus from Egypt on Nisan 14th, 1513 B.C.E.
event_division_kingdom	イスラエルの分裂 紀元前997年	Division of Israel 997 BCE
event_destruction_samaria	サマリアの滅亡 西暦前740年 アッシリアによって	Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2	西暦前740年 アッシリアによって	740 B.C.E. by Assyria
event_destruction_jerusalem1	エルサレムの破壊 西暦前607年 王国分裂から390年後のバビロンによる（エゼキエル4:5）	Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)
event_temple_rebuilt	エルサレムの神殿は西暦前515年に再建されました。	Temple in Jerusalem rebuilt 515 B.C.E.
