key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , ,6.000 Taun Sajarah Manungsa — Garis Wektu, , ,6.000 Taun Sajarah Manungsa — Garis Wektu
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , ,Garis wektu sajarah manungsa saka 4000 BCE nganti saiki, , ,Garis wektu sajarah manungsa wiwit taun 4000 SM nganti saiki
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , ,sasi, , ,sasi
months,months,months, ,text,False, , , , ,sasi-sasi, , ,wulan
day,day,day, ,text,False, , , , ,dina, , ,dina
days,days,days, ,text,False, , , , ,dina-dina, , ,dina-dina
to,to,to, ,text,False, , , , ,nganti, , ,kanggo
Deluge,Deluge,Deluge, ,text,False, , , , ,Banjir Bandhang, , ,Banjir gedhe
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,1593 nganti 1473 B.C.E. – 120 taun, , ,1593 nganti 1473 SM – 120 taun
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,Nisan 1513 B.C.E. nganti Ziv 1034 B.C.E., , ,Nisan 1513 SM nganti Ziv 1034 SM
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,Yesiku dibaptis ing musim gugur 29 C.E., , ,Yesus dibaptis ing mangsa gugur taun 29 Masehi.
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,taun, , ,taun
years,years,years, ,text,False, , , , ,taun-taun, , ,taun-taun
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,taun-taun, , ,taun-taun
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,Israil ing ara-ara samun 1513 nganti 1473 B.C.E. – 40 taun, , ,Israel ing ara-ara samun 1513 nganti 1473 SM – 40 taun
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,1473 nganti 1117 B.C.E. – 356 taun, , ,1473 nganti 1117 S.M. – 356 taun
timespan_judges2,Time of the judges,Time of the judges, ,text,False, , , , ,Jaman para hakim, , ,Wektu para hakim
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , ,479 taun nganti pembangunan bait suci – 1 Raja-raja 6:1, , ,479 taun nganti pambangunan candhi – 1 Raja-raja 6:1
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , ,69 minggu nganti Mesias – Daniel 9:25, , ,69 minggu nganti Sang Mesias – Daniel 9:25
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , ,"3,5 taun pelayanan Yesiku, dipukum mati Nisan 14, 33 C.E.", , ,"3,5 taun pelayanané Yesus, dipateni tanggal 14 Nisan, taun 33 Masehi."
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , , ,Yesiku lahir 2 B.C.E., , ,Yesus lair taun 2 SM.
