key,text,notes,english
version,4.4,,4.4
pdf_title,6000 წლიანი კაცობრიობის ისტორია ვიზუალურად,,6000 years human history visualized
pdf_subject,კაცობრიობის ვადები,,Timeline of humankind
BCE,ძვ.წ.,,B.C.E.
CE,C.E.,,C.E.
year,წელიწადი,"timespan, age (Adam was 130 years old when Shem was born)",year
years,წლები,,years
years_age,წლები,years when used as age for a person (different word than years in some languages),years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,თვე,,month
months,თვეების,,months
day,დღეს,,day
days,დღეები,,days
to,რომ,,to
people,ხალხი,,people
judges,მოსამართლეები,,judges
prophets,წინასწარმეტყველები,,prophets
kings,მეფეები,,kings
periods,პერიოდები,,periods
events,ივენთი,,events
objects,საგნები ან ნივთები,,objects or items
Deluge,წარღვნა,,Deluge
Adam,ადამ,,Adam
Seth,სეთი,,Seth
Enosh,ენოში,,Enosh
Kenan,ქენანი,,Kenan
Mahalalel,მაჰალალელი,,Mahalalel
Jared,ჯარედი,,Jared
Enoch,ენოქი,,Enoch
Methuselah,მეთუშალა,,Methuselah
Lamech,ლამეხი,,Lamech
Noah,ნოე,,Noah
Shem,სემ,,Shem
Arpachshad,არფაჩშადი,,Arpachshad
Shelah,შელა,,Shelah
Eber,ებერი,,Eber
Peleg,პელეგი,,Peleg
Reu,რეუ,,Reu
Serug,სერუგი,,Serug
Nahor,ნაჰორი,,Nahor
Terah,ტერაჰ,,Terah
Abraham,აბრაამი,,Abraham
Isaac,ისააკი,,Isaac
Jacob,იაკობი,,Jacob
Joseph,იოსები,,Joseph
Moses,მოსე,,Moses
Othniel,ოთნიელი,,Othniel
Ehud,ეჰუდ,,Ehud
Shamgar,შამგარი,,Shamgar
Barak,ბარაკ,,Barak
Gideon,გედეონი,,Gideon
Tola,ტოლა,,Tola
Jair,ჯაირი,,Jair
Jephthah,იფთახი,,Jephthah
Ibzan,იბზანი,,Ibzan
Elon,ილონ,,Elon
Abdon,აბდონი,,Abdon
Samson,სამსონი,,Samson
Samuel,სამუელი,,Samuel
Saul,საული,,Saul
David,დავითი,,David
Solomo,სოლომო,,Solomo
Rehoboam,რობოამი,first king of southern kingdom of Juda,Rehoboam
Abijah,აბიჯა (აბიჯამი),"3 years, also Abijam",Abijah (Abijam)
Asa,Როგორც,,Asa
Jehoshaphat,იოშაფატი,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,იეჰორამი,,Jehoram
Ahaziah,ახაზია,,Ahaziah
Athaliah,დედოფალი ათალია,Queen Athaliah,Queen Athaliah
Jehoash,იეჰოაშ,,Jehoash
Amaziah,ამაზია,,Amaziah
Uzziah,უზია (აზარია),also Azariah,Uzziah (Azariah)
Jotham,იოთამი,,Jotham
Ahaz,ახაზი,,Ahaz
Hezekiah,ხიზკია,,Hezekiah
Manasseh,მანასე,,Manasseh
Amon,ამონი,,Amon
Josiah,იოშია,,Josiah
Jehoahaz,იეჰოაჰაზი,Only 3 months,Jehoahaz
Jehoiakim,იეჰოიაკიმი,,Jehoiakim
Jehoiachin,იეჰოიაჩინი,Only 3 months 10 days,Jehoiachin
Zedekiah,ციდკია,,Zedekiah
Jeroboam,იერობოამი,first king of northern 10-tribe kingdom,Jeroboam
Nadab,ნადაბი,less than 2,Nadab
Baasha,ბააშა,,Baasha
Elah,ელაჰ,,Elah
Zimri,ზიმრი,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,ომრი და ტიბნი ერთად,4 years Omri and Tibni,Omri and Tibni together
Omri,ომრი (მარტო),from 947 Omri alone,Omri (alone)
Ahab,ახაბ,,Ahab
Ahaziah,ახაზია,,Ahaziah
Jehoram,იეჰორამი,,Jehoram
Jehu,იეჰუ,,Jehu
Jeoahaz,იეოაჰაზი,,Jeoahaz
JeoahazJehoash,იოაახაზი და იეჰოაში,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,იეჰოაში (მარტო),Jehoash (alone),Jehoash (alone)
Jeroboam2,იერობოამ II,,Jeroboam II
Zechariah,ზაქარია,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,შალუმი,only one month,Schallum
Menahem,მენაჰემ,,Menahem
Pekahiah,პეკაჰია,,Pekahiah
