key,text,english,notes
version,5.8,5.8,5.8
pdf_title,Bamvula 6000 ya disolo ya bantu kemonanaka,6000 years human history visualized,2025-08-20
pdf_subject,Ntangu ya bantu,Timeline of humankind,5.8
BCE,N.T.B.,B.C.E.,appendix B9
CE,T.B.,C.E.,
year,mvula,year,"timespan, age (Adam was 130 years old when Shem was born)"
years,bamvula,years,
years_age,bamvula,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old"
age_kings,,,"if the word ""year"" appears after the numeral, like ""at the age of 35 years"""
month,ngonda,month,
months,bangonda,months,
day,kilumbu,day,
days,bilumbu,days,
to,na,to,
people,bantu,people,
judges,bazuzi,judges,
prophets,baprofete,prophets,
kings,bantotila,kings,
periods,bantangu,periods,
events,mambu,events,
objects,bima to bima,objects or items,
Deluge,Mvula ya Ngolo,Deluge,
Adam,Adami,Adam,Luke 3:38
Seth,Seti,Seth,
Enosh,Enose ,Enosh,
Kenan,Kenani,Kenan,Genesis 5:12
Mahalalel,Malalale ,Mahalalel,Genesis 5:15
Jared,Yarede ,Jared,
Enoch,Enoke ,Enoch,
Methuselah,Metusela ,Methuselah,Luke 3:37
Lamech,Lameke ,Lamech,
Noah,Noa ,Noah,
Shem,Seme ,Shem,
Arpachshad,Ampakesade ,Arpachshad,Luke 3:36
Shelah,Sela ,Shelah,
Eber,Ebe ,Eber,
Peleg,Pelenge ,Peleg,
Reu,Reu ,Reu,
Serug,Serunge ,Serug,Luke 3:35
Nahor,Nako ,Nahor,Genesis 11:24
Terah,Tera ,Terah,
Abraham,Abarayama ,Abraham,
Isaac,Isaki ,Isaac,
Jacob,Yakobo ,Jacob,Luke 3:34
Joseph,Joseph,Joseph,Genesis 37
Moses,Musa,Moses,
Othniel,Othniel,Othniel,Judges 3:9-11
Ehud,Ehud,Ehud,Judges 3:15-18
Shamgar,Shamgar,Shamgar,Judges 3:31
Barak,Barak,Barak,Judges 4:6
Gideon,Gideon,Gideon,Judges 7:1
Tola,Tola,Tola,Judges 10:1
Jair,Jair,Jair,Judges 10:3
Jephthah,Jephthah,Jephthah,Judges 11:1
Ibzan,Ibzan,Ibzan,Judges 12:8
Elon,Elon,Elon,Judges 12:11
Abdon,Abdon,Abdon,Judges 12:13
Samson,Samson,Samson,Judges 13:24
Samuel,Samweli,Samuel,1 Samuel 1:20
Saul,Sauli,Saul,1 Samuel 9:2
David,David,David,1 Samuel 16:13
Solomon,Sulemani,Solomon,1 Kings 2:1
Rehoboam,Rehoboam,Rehoboam,first king of southern kingdom of Juda
Abijah,Abijah (Abijam),Abijah (Abijam),"3 years, also Abijam"
Asa,ASA,Asa,A6-A
Jehoshaphat,Jehoshaphat,Jehoshaphat,
Jehoram2,Yehoramu,Jehoram,
Ahaziah,Ahazia,Ahaziah,
Athaliah,Malkia Athaliah,Queen Athaliah,Queen Athaliah
Jehoash,Yehoash,Jehoash,
Amaziah,Amasiah,Amaziah,
Uzziah,Uzziah (Azaria),Uzziah (Azariah),also Azariah
Jotham,Jothamu,Jotham,A6-B
Ahaz,Ahaz,Ahaz,
Hezekiah,Hezekia,Hezekiah,
Manasseh,Manase,Manasseh,
Amon,Amon,Amon,
Josiah,Yosia,Josiah,
Jehoahaz,Yehoahaz,Jehoahaz,Only 3 months
Jehoiakim,Jehoiakim,Jehoiakim,
Jehoiachin,Jehoiachin,Jehoiachin,Only 3 months 10 days
Zedekiah,Zedekiah,Zedekiah,
Jeroboam,Jeroboam,Jeroboam,first king of northern 10-tribe kingdom
Nadab,Nadab,Nadab,less than 2
Baasha,Baasha,Baasha,
Elah,Elah,Elah,
Zimri,Zimri,Zimri,Only 7 days in ca. 751 BCE
OmriTibni,Omri na Tibni pamoja,Omri and Tibni together,4 years Omri and Tibni
Omri,Omri (peke yake),Omri (alone),from 947 Omri alone
Ahab,Ahabu,Ahab,
Jehoram,Yehoramu,Jehoram,
Jehu,Yehu,Jehu,
Jeoahaz,Jeoahaz,Jeoahaz,
JeoahazJehoash,Jeoahaz na Yehoash,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together
Jehoash2,Yehoash (peke yake),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jeroboam II,Jeroboam II,
Zechariah,Zekaria,Zechariah,"reign only recorded 6 months, probably only established 792 BCE"
Schallum,Schallum,Schallum,only one month
Menahem,Menahem,Menahem,
Pekahiah,Pekahiah,Pekahiah,
Pekah,Pekah,Pekah,
Hoshea,Hoshea,Hoshea,9 years from c. 748
Elijah,Eliya,Elijah,
Elisha,Elisha,Elisha,
Jonah,Yona,Jonah,
Amos,AMOS,Amos,
Joel,Joel,Joel,
Hosea,Hosea,Hosea,
Isaiah,Isaya,Isaiah,
Micah,Mika,Micah,
Zephaniah,Zephania,Zephaniah,
Nahum,Nahum,Nahum,
Jeremiah,Jeremiah,Jeremiah,
Habakuk,Habakuk,Habakuk,
Daniel,Daniel,Daniel,
Ezekiel,Ezekiel,Ezekiel,
Obadiah,Obadiah,Obadiah,
Malachi,Malaki,Malachi,
Ruth,Ruthu,Ruth,
Ezra,Ezra,Ezra,
Nehemiah,Nehemia,Nehemiah,
Esther,Esther,Esther,
Job,Kazi,Job,
moses2,1593 hadi 1473 B.C.E. - miaka 120,1593 to 1473 B.C.E. – 120 years,
moses3,Musa,Moses,
wilderness,Israeli katika Jangwa 1513 hadi 1473 B.C.E. - miaka 40,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,
timespan_judges,1473 hadi 1117 B.C.E. - miaka 356,1473 to 1117 B.C.E. – 356 years,
timespan_judges2,Wakati wa majaji,Time of the judges,
temple1,Nisan 1513 B.C.E. kwa ZIV 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,
temple2,Miaka 479 hadi ujenzi wa hekalu - 1 Wafalme 6: 1,479 years until the temple construction – 1 Kings 6:1,1034 BCE
69weeks,Yesu alibatiza vuli 29 C.E.,Jesus baptized autumn 29 C.E.,
69weeks2,Wiki 69 kwa Masihi - Danieli 9:25,69 weeks to the Messiah – Daniel 9:25,
jesus_service,"Miaka 3.5 ya huduma ya Yesu, aliuawa Nisan 14, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",
jesus_life,Yesu alizaliwa 2 B.C.E.,Jesus born 2 B.C.E.,
exile,607 hadi 537 B.C.E. - Miaka 70 (Jeremia 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),
exile2,Uhamishaji,Exile,
7times,Ufunuo 12: 9,Revelation 12:9,
7times2,Mara 7 - miaka 2520 kwa Ufalme wa Masihi 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),
ww1,Vita vya Kwanza vya Ulimwengu - 1914-1918 C.E.,World War I – 1914–1918 C.E.,
ww2,Vita vya Kidunia vya pili - 1939-1945 C.E.,World War II – 1939–1945 C.E.,
30_year_war,Vita vya miaka thelathini huko Ulaya 1618-1648,Thirty Years' War in Europe 1618-1648,
joshua,Miaka 110,110 years,
joshua2,Joshua,Joshua,
caleb,zaidi ya miaka 85,more than 85 years,
caleb2,Kalebu,Caleb,
missionary1,"Safari ya kwanza ya umishonari ya Paul, c. 47-48 C.E. na Barnaba na John Mark","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",
circumcision,"Suala la kutahiriwa huko Antiokia, Mkutano huko Yerusalemu c. 49 C.E.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",
missionary2,Safari ya Pili ya Wamishonari c. 49-52 C.E na Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),
missionary3,Safari ya Tatu ya Wamishonari c. 52-56 C.E.,Third Missionary Journey c. 52-56 C.E.,
caesarea,Paulo aliyefungwa katika Kaisaria c. 56-58 C.E.,Paul in custody in Caesarea c. 56-58 C.E.,
rome1,Kufungwa kwa kwanza kwa Paul huko Roma c. 59-61 C.E.,Paul’s first imprisonment in Rome c. 59-61 C.E.,
rome2,"Kufungwa kwa pili kwa Paul huko Roma c. 65 CE, 2 Timothy Imeandikwa, Paul aliuawa","Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed",
Julius,Julius,Julius,
Augustus,Augustus,Augustus,Luke 2:1
Tiberius,Tiberius,Tiberius,Luke 3:1
Caligula,Caligula,Caligula,
Claudius,Claudius,Claudius,Acts 11:28
Nero,Nero,Nero,
Galba-Otho-Vitellius,"Galba, Otho na Vitellius (Mwaka wa Watawala wanne)","Galba, Otho and Vitellius (Year of the Four Emperors)",
Vespasian,Vespasian,Vespasian,
