key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08,5.5,float,True, , , , , , , , 
pdf_title,ប្រវត្តិសាស្ត្រមនុស្សជាតិ អំឡុងពេល ៦០០០ឆ្នាំ,6000 years human history visualized,2026-07-01,text,False, , , , , , , , 
pdf_subject,ការកំណត់ពេលវេលារបស់មនុស្ស,Timeline of humankind,Timeline of humankind,text,False, , , , , , , , 
BCE,B.C.E.,B.C.E.,B.C.E.,B9,False, , , , , , , , 
CE,C.E.,C.E.,C.E.,B9,False, , , , , , , , 
month,ខែ,month,month,text,True, , , , , , , , 
months,ខែ,months,months,text,False, , , , , , , , 
day,ថ្ងៃ,day,day,text,False, , , , , , , , 
days,ថ្ងៃ,days,days,text,False, , , , , , , , 
to,ទៅ,to,to,text,False, , , , , , , , 
Deluge,ទឹកជំនន់,Deluge,Deluge,text,False, , , , , , , , 
moses2,១៥៩៣ ដល់ ១៤៧៣ មុនគ.ស. - ១២០ ឆ្នាំ។,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years,text,False, , , , , , , , 
temple1,ខែ​ណែសាន ឆ្នាំ ១៥១៣ មុន គ.ស. ទៅ ស៊ីវ ១០៣៤ មុនគ។,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,text,False, , , , , , , , 
69weeks,ព្រះ​យេស៊ូ​បាន​ធ្វើ​បុណ្យ​ជ្រមុជ​ទឹក​នៅ​រដូវ​ស្លឹក​ឈើ​ជ្រុះ ឆ្នាំ ២៩ គ.ស.,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E.,text,False, , , , , , , , 
year,ឆ្នាំ,year,year,text,False, , , , , , , , 
years,ឆ្នាំ,years,years,text,False, , , , , , , , 
years_age,ឆ្នាំ,years,years,text,False, , , , , , , , 
age_kings, , , ,text,False, , , , , , , , 
wilderness,អ៊ីស្រាអែលនៅទីរហោស្ថានពីឆ្នាំ ១៥១៣ ដល់ ១៤៧៣ មុនគ. - ៤០ ឆ្នាំ។,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,text,False, , , , , , , , 
timespan_judges,១៤៧៣ ដល់ ១១១៧ មុនគ.ស -- ៣៥៦ឆ្នាំ,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years,text,False, , , , , , , , 
timespan_judges2,ចន្លោះពេលវេលានៃចៅក្រម,Time of the judges,Time of the judges,text,False, , , , , , , , 
temple2,៤៧៩ ឆ្នាំ​រហូត​ដល់​ការ​សាងសង់​ព្រះវិហារ​បរិសុទ្ធ — ពង្សាវតារក្សត្រ​ទី ១៦:១,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,text,False, , , , , , , , 
69weeks2,៦៩ សប្តាហ៍ដល់ព្រះមេស្ស៊ី - ដានីយ៉ែល ៩: ២៥,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25,text,False, , , , , , , , 
jesus_service,៣.៥ ឆ្នាំ​នៃ​ការ​បម្រើ​ព្រះ​យេស៊ូ ត្រូវ​ប្រហារ​ជីវិត​ថ្ងៃ​ទី ១៤ ខែ​ណែសាន ឆ្នាំ ៣៣ គ.ស.,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",text,False, , , , , , , , 
jesus_life,ព្រះយេស៊ូវ​បាន​ប្រសូត​នៅ​ឆ្នាំ ២ មុនគ.ស.,Jesus born 2 B.C.E.,Jesus born 2 B.C.E.,text,False, , , , , , , , 
exile,៦០៧ ដល់ ៥៣៧ មុនគ.ស. — ៧០ ឆ្នាំ (យេរេមា ២៥:១១),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11),text,False, , , , , , , , 
exile2,និរទេសខ្លួន,Exile,Exile,text,False, , , , , , , , 
