key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,ប្រវត្តិសាស្រ្តមនុស្សជាតិ 6000 ឆ្នាំត្រូវបានមើលឃើញ,6000 years human history visualized,2026-07-01,text,True, , , , , , , , 
pdf_subject,ការកំណត់ពេលវេលារបស់មនុស្ស,Timeline of humankind, ,text,False, , , , , , , , 
BCE,មុន​គ.ស.,B.C.E., ,B9,True, , , , , , , , 
CE,គ.ស.,C.E., ,B9,True, , , , , , , , 
month,ខែ,month, ,text,False, , , , , , , , 
months,ខែ,months, ,text,False, , , , , , , , 
day,ថ្ងៃ,day, ,text,False, , , , , , , , 
days,ថ្ងៃ,days, ,text,False, , , , , , , , 
to,ទៅ,to, ,text,False, , , , , , , , 
Deluge,ទឹកជំនន់,Deluge, ,text,False, , , , , , , , 
moses2,1593 ដល់ 1473 មុនគ.ស. - 120 ឆ្នាំ។,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , , , , , 
temple1,ខែ​ណែសាន ឆ្នាំ 1513 មុន គ.ស. ទៅ ស៊ីវ 1034 មុនគ។,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , , , , , 
69weeks,ព្រះ​យេស៊ូ​បាន​ធ្វើ​បុណ្យ​ជ្រមុជ​ទឹក​នៅ​រដូវ​ស្លឹក​ឈើ​ជ្រុះ ឆ្នាំ 29 គ.ស.,Jesus baptized autumn 29 C.E., ,text,False, , , , , , , , 
year,ឆ្នាំ,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , , , , , 
years,ឆ្នាំ,years, ,text,False, , , , , , , , 
years_age,ឆ្នាំ,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,អ៊ីស្រាអែលនៅទីរហោស្ថានពីឆ្នាំ 1513 ដល់ 1473 មុនគ. - 40 ឆ្នាំ។,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , , , , , 
timespan_judges,1473 ដល់ 1117 មុនគ.ស. - 356 ឆ្នាំ។,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , , , , , 
timespan_judges2,ពេលវេលារបស់ចៅក្រម,Time of the judges, ,text,False, , , , , , , , 
temple2,479 ឆ្នាំ​រហូត​ដល់​ការ​សាងសង់​ព្រះវិហារ​បរិសុទ្ធ — ពង្សាវតារក្សត្រ​ទី 1 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , , , , , 
69weeks2,69 សប្តាហ៍ដល់ព្រះមេស្ស៊ី - ដានីយ៉ែល 9: 25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , , , , , 
jesus_service,3.5 ឆ្នាំ​នៃ​ការ​បម្រើ​ព្រះ​យេស៊ូ ត្រូវ​ប្រហារ​ជីវិត​ថ្ងៃ​ទី 14 ខែ​ណែសាន ឆ្នាំ 33 គ.ស.,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , , , , , 
jesus_life,ព្រះយេស៊ូវ​បាន​ប្រសូត​នៅ​ឆ្នាំ 2 មុនគ.ស.,Jesus born 2 B.C.E., ,text,False, , , , , , , , 
exile,607 ដល់ 537 មុនគ.ស. — 70 ឆ្នាំ (យេរេមា 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , , , , , 
exile2,និរទេសខ្លួន,Exile, ,text,False, , , , , , , , 
7times2,7 ដង – 2520 ឆ្នាំ​ដល់​រាជាណាចក្រ​មេស្ស៊ី ឆ្នាំ 1914 គ.ស. (ដានីយ៉ែល 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , , , , , 
ww1,សង្គ្រាមលោកលើកទី 1 - 1914-1918 គ.,World War I – 1914–1918, ,text,False, , , , , , , , 
ww2,សង្គ្រាមលោកលើកទី 2 - 1939-1945 គ.,World War II – 1939–1945, ,text,False, , , , , , , , 
30_year_war,សង្គ្រាមសាមសិបឆ្នាំនៅអឺរ៉ុប 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , , , , , , 
joshua,110 ឆ្នាំ។,110 years, ,text,False, , , , , , , , 
caleb,ជាង 85 ឆ្នាំ។,more than 85 years, ,text,False, , , , , , , , 
missionary1,ដំណើរផ្សងព្រេងដំបូងរបស់ប៉ុល គ. 47–48 គ.ស. ជាមួយ​បាណាបាស និង​យ៉ូហាន ម៉ាកុស,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , , , , , , 
circumcision,បញ្ហាកាត់ស្បែកនៅក្រុងអាន់ទីយ៉ូក សន្និសីទនៅទីក្រុងយេរូសាឡឹម គ. 49 គ.ស.,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , , , , , , 
missionary2,ដំណើរផ្សងព្រេងទីពីរ គ. 49-52 គ.ស. ជាមួយស៊ីឡាស (ស៊ីលវ៉ានុស),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , , , , , , 
missionary3,ដំណើរផ្សងព្រេងទីបី គ. 52-56 គ.ស.,Third Missionary Journey c. 52-56 C.E., ,text,False, , , , , , , , 
caesarea,ប៉ូល​ដែល​ជាប់​ឃុំឃាំង​នៅ​សេសារា គ. 56-58 គ.ស.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , , , , , , 
