key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , , , , , 
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , , , , , 
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , , , , , 
months,months,months, ,text,False, , , , , , , , 
day,day,day, ,text,False, , , , , , , , 
days,days,days, ,text,False, , , , , , , , 
to,to,to, ,text,False, , , , , , , , 
Deluge,Deluge,Deluge, ,text,False, , , , , , , , 
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , , , , , 
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , , , , , 
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , , , , , 
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , , , , , 
years,years,years, ,text,False, , , , , , , , 
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , , , , , 
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , , , , , 
timespan_judges2,Time of the judges,Time of the judges, ,text,False, , , , , , , , 
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , , , , , 
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , , , , , 
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , , , , , 
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , , , , , , 
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , , , , , 
