key	text	english
pdf_title	시각화된 6000년 인류 역사	6000 years human history visualized 
pdf_subject	인류의 타임라인	Timeline of humankind 
BCE	기원전	B.C.E.
CE	있습니다.	C.E.
year	년	year
years	년	years
years_age	 	at the age of
age_kings	세에	
month	개월	month
months	개월	months
day	낮	day
days	일	days
to	에서	to
persons	명	persons
judges	판사	judges
prophets	선지자	prophets
kings	왕	kings
periods	기간	periods
events	이벤트	events
Deluge	대홍수	Deluge
Adam	아담	Adam
Seth	셋	Seth
Enosh	에노스	Enosh
Kenan	게난	Kenan
Mahalalel	마할랄레엘	Ma·hala·lel
Jared	야렛	Jared
Enoch	에녹	Enoch
Methuselah	므두셀라	Me·thuse·lah
Lamech	라멕	Lamech
Noah	노아	Noah
Shem	셈	Shem
Arpachshad	아르박삿	Ar·pachshad
Shelah	셸라	Shelah
Eber	에벨	Eber
Peleg	벨렉	Peleg
Reu	르우	Reu
Serug	스룩	Serug
Nahor	나홀	Nahor
Terah	데라	Terah
Abraham	아브라함	Abraham
Isaac	이삭	Isaac
Jacob	야곱	Jacob
Joseph	요셉	Joseph
Moses	모세	Moses
Othniel	옷니엘	Othniel
Ehud	에훗	Ehud
Shamgar	삼갈	Shamgar
Barak	바락	Barak
Gideon	기드온	Gideon
Tola	돌라와	Tola
Jair	야일	Jair
Jephthah	입다	Jephthah
Ibzan	입산과	Ibzan
Elon	엘론	Elon
Abdon	압돈	Abdon
Samson	삼손	Samson
Samuel	사무엘	Samuel
Saul	사울	Saul
David	다윗	David
Solomo	솔로몬	Solomo
Rehoboam	르호보암	Rehoboam
Abijah	아비야(아비얌)	Abijah (Abijam)
Asa	아사	Asa
Jehoshaphat	여호사밧	Jehoshaphat
Jehoram2	여호람	Jehoram
Ahaziah	아하시야	Ahaziah
Athaliah	아달랴 여왕	Queen Athaliah
Jehoash	여호아스	Jehoash
Amaziah	아마샤	Amaziah
Uzziah	웃시야(아사랴)	Uzziah (Azariah)
Jotham	요담	Jotham
Ahaz	아하스	Ahaz
Hezekiah	히스기야	Hezekiah
Manasseh	므낫세	Manasseh
Amon	아몬	Amon
Josiah	요시야	Josiah
Jehoahaz	여호아하스	Jehoahaz
Jehoiakim	여호야김	Jehoiakim
Jehoiachin	여호야긴	Jehoiachin
Zedekia	시드기야	Zedekia
Jeroboam	여로보암	Jeroboam
Nadab	나답	Nadab
Baasha	바아사	Baasha
Elah	엘라	Elah
Zimri	지므리	Zimri
OmriTibni	오므리와 디브니	Omri and Tibni together
Omri	오므리 (단독으로)	Omri (alone)
Ahab	아합	Ahab
Ahaziah	아하시야	Ahaziah
Jehoram	여호람	Jehoram
Jehu	예후	Jehu
Jeoahaz	여호아하스	Jeoahaz
JeoahazJehoash	여호아하스와 여호아스	Jeoahaz and Jehoash
Jehoash2	여호아스 (단독으로)	Jehoash (alone)
Jeroboam2	여로보암 2세	Jeroboam II
Zechariah	스가랴	Zechariah
Schallum	살룸	Schallum
Menahem	므나헴	Menahem
Pekahiah	브가히야	Pekahiah
Pekah	베가	Pekah
Hoshea	호셰아	Hoshea
Elijah	엘리야	Elijah
Elisha	엘리사	Elisha
Jonah	요나	Jonah
Amos	아모스	Amos
Joel	요엘	Joel
Hosea	호세아	Hosea
Isaiah	이사야	Isaiah
Micah	미가	Micah
Zephaniah	스바냐	Zephaniah
Nahum	나훔	Nahum
