key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , ,"മനുഷ്യചരിത്രത്തിന്റെ 6,000 വർഷങ്ങൾ — ഒരു കാലഗണന", , ,"മനുഷ്യചരിത്രത്തിലെ 6,000 വർഷങ്ങൾ — ഒരു കാലരേഖ"
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , ,ബി.സി.ഇ. 4000 മുതൽ ഇന്ന് വരെയുള്ള മനുഷ്യചരിത്രത്തിന്റെ കാലഗണന, , ,ബി.സി. 4000 മുതൽ ഇന്നുവരെ മാനവചരിത്രത്തിന്റെ കാലരേഖ
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , ,മാസം, , ,മാസം
months,months,months, ,text,False, , , , ,മാസങ്ങൾ, , ,മാസങ്ങൾ
day,day,day, ,text,False, , , , ,ദിവസം, , ,ദിവസം
days,days,days, ,text,False, , , , ,ദിവസങ്ങൾ, , ,ദിവസങ്ങൾ
to,to,to, ,text,False, , , , ,മുതൽ, , ,നേരെ
Deluge,Deluge,Deluge, ,text,False, , , , ,പ്രളയം, , ,പ്രളയം
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,ബി.സി.ഇ. 1593 മുതൽ 1473 വരെ – 120 വർഷം, , ,ക്രി.മു. 1593 മുതൽ 1473 വരെ – 120 വർഷങ്ങൾ
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,ബി.സി.ഇ. 1513 നിസാൻ മുതൽ ബി.സി.ഇ. 1034 സിവ് വരെ, , ,ബി.സി.ഇ.യിലെ നിസാൻ 1513 മുതൽ ബി.സി.ഇ.യിലെ സിവ 1034 വരെ
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,യേശു സ്നാനം സ്വീകരിച്ചത് ക്രി.വ. 29 ശരത്കാലം, , ,യേശു ക്രി.വ. 29-ലെ ശരത്കാലത്ത് ജ്ഞാനസ്നാനം നൽകി.
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,വർഷം, , ,വർഷം
years,years,years, ,text,False, , , , ,വർഷങ്ങൾ, , ,വർഷങ്ങൾ
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,വർഷങ്ങൾ, , ,വർഷങ്ങൾ
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,ബി.സി.ഇ. 1513 മുതൽ 1473 വരെ മരുഭൂമിയിലെ ഇസ്രായേൽ – 40 വർഷം, , ,പുൽമേടുകളിലെ ഇസ്രായേൽ 1513 മുതൽ 1473 ബി.സി.ഇ. – 40 വർഷം
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,ബി.സി.ഇ. 1473 മുതൽ 1117 വരെ – 356 വർഷം, , ,ക്രി.മു. 1473 മുതൽ ക്രി.മു. 1117 വരെ – 356 വർഷങ്ങൾ
timespan_judges2,Time of the judges,Time of the judges, ,text,False, , , , ,ന്യായാധിപന്മാരുടെ കാലം, , ,ന്യായാധിപന്മാരുടെ കാലം
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , ,ക്ഷേത്രനിർമ്മാണം വരെ 479 വർഷം – 1 രാജാക്കന്മാർ 6:1, , ,ക്ഷേത്രനിർമ്മാണത്തിന് 479 വർഷങ്ങൾക്ക് മുമ്പ് – 1 രാജാക്കന്മാർ 6:1
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , ,മെസ്സിയയ്ക്ക് 69 ആഴ്ചകൾ – ദാനീയേൽ 9:25, , ,മിശിഹായിലേക്ക് 69 ആഴ്ചകൾ – ദാനിയേൽ 9:25
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , ,"യേശുവിന്റെ സേവനത്തിന്റെ 3.5 വർഷം, ക്രി.വ. 33 നിസാൻ 14-ന് വധിക്കപ്പെട്ടു", , ,"യേശുവിൻ്റെ 3.5 വർഷത്തെ ശുശ്രൂഷ, 33 എ.ഡി. നിസാൻ 14-ന് വധിക്കപ്പെട്ടു."
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , , ,യേശു ജനിച്ചത് ബി.സി.ഇ. 2, , ,യേശു ജനനം കൃ.മു. 2-ൽ
