key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , ,"६,००० वर्षांचा मानवी इतिहास — एक टाइमलाइन", , ,"मानव इतिहासाची ६,००० वर्षांची कालरेषा"
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , ,ई.स.पू. ४००० ते आजपर्यंत मानवी इतिहासाची टाइमलाइन, , ,ई.पू. ४००० पासून आजपर्यंतचा मानवी इतिहासाचा कालक्रम
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , ,महिना, , ,महिना
months,months,months, ,text,False, , , , ,महिने, , ,महिने
day,day,day, ,text,False, , , , ,दिवस, , ,दिवस
days,days,days, ,text,False, , , , ,दिवस, , ,दिवस
to,to,to, ,text,False, , , , ,ते, , ,करण्यासाठी
Deluge,Deluge,Deluge, ,text,False, , , , ,महापूर, , ,प्रलय
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,ई.स.पू. १५९३ ते १४७३ – १२० वर्षे, , ,ई.पू. १५९३ ते १४७३ – १२० वर्षे
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,ई.स.पू. निसान १५१३ ते झिव १०३४, , ,ई.पू. १५१३ निसान ते ई.पू. १०३४ शिव
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,"ख्रिस्ताचा बाप्तिस्मा, शरद ऋतू, इ.स. २९", , ,येशूने इ.स. 29 च्या शरद ऋतूत बाप्तिस्मा दिला.
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,वर्ष, , ,वर्ष
years,years,years, ,text,False, , , , ,वर्ष, , ,वर्षे
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,वर्षे, , ,वर्षे
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,वाळवंटात इस्राएल १५१३ ते १४७३ ई.स.पू. – ४० वर्षे, , ,वाळवंटातील इस्राएल १५१३ ते १४७३ ई.पू. – ४० वर्षे
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,१४७३ ते १११७ ई.स.पू. – ३५६ वर्षे, , ,ई.पू. १४७३ ते १११७ – ३५६ वर्षे
timespan_judges2,Time of the judges,Time of the judges, ,text,False, , , , ,न्यायाधीशांचा काळ, , ,न्यायाधीशांचा काळ
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , ,मंदिर बांधण्यापर्यंत ४७९ वर्षे – १ राजे ६:१, , ,मंदीर बांधणीपर्यंत ४७९ वर्षे – १ राजा ६:१
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , ,मशियाहापर्यंत ६९ सप्ताह – दानिएल ९:२५, , ,मसीहापर्यंत ६९ आठवडे – दानियेल ९:२५
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , ,"ख्रिस्ताच्या सेवेची ३.५ वर्षे, क्रूसावर चढवले निसान १४, इ.स. ३३", , ,"येशूची सेवा ३.५ वर्षे, ३३ ई.स.च्या निसान १४ तारखेला फाशी देण्यात आली."
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , , ,ख्रिस्ताचा जन्म ई.स.पू. २, , ,येशू ख्रिस्तापूर्वी २ साली जन्मला.
exile,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , ,इ.स.पू. ६०७ ते ५३७ – ७० वर्षे (यिर्मया २५:११), , ,ई.पू. ६०७ ते ५३७ – ७० वर्षे (यिर्मयाह २५:११)
exile2,Exile,Exile, ,text,False, , , , ,बंदीवास, , ,निर्वासन
7times2,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , ,७ काळ – मशियाही राज्यापर्यंत २५२० वर्षे इ.स. १९१४ (दानिएल ४:२३), , ,७ वेळा – मेसियाई राज्यापर्यंत २५२० वर्षे १८९४ ई.स. (दानिएल ४:२३)
ww1,World War I – 1914–1918,World War I – 1914–1918, ,text,False, , , , ,पहिले महायुद्ध – १९१४–१९१८, , ,पहिल्या महायुद्ध – १९१४–१९१८
ww2,World War II – 1939–1945,World War II – 1939–1945, ,text,False, , , , ,द्वितीय महायुद्ध – १९३९–१९४५, , ,दुसरे महायुद्ध – १९३९–१९४५
30_year_war,Thirty Years' War in Europe 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , , ,युरोपमधील तीस वर्षांचे युद्ध १६१८-१६४८, , ,युरोपमधील तीस वर्षांचा युद्ध १६१८–१६४८
joshua,110 years,110 years, ,text,False, , , , ,११० वर्षे, , ,११० वर्षे
caleb,more than 85 years,more than 85 years, ,text,False, , , , ,८५ वर्षांहून अधिक, , ,८५ वर्षांपेक्षा जास्त
missionary1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , , ,"पौलाचा पहिला प्रचार प्रवास, इ.स. ४७-४८ च्या सुमारास, बर्नबास व योहान मार्कासह", , ,"पॉल यांचा पहिला धर्मप्रचारक प्रवास, सुमारे ४७–४८ ई.स., बर्नबास आणि जॉन मार्क यांच्यासह"
circumcision,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , , ,"अंतिओक येथे सुंता विधीचा प्रश्न, इ.स. ४९ च्या सुमारास यरूशलेम येथे परिषद", , ,"अँटिओक येथील खतनाचा प्रश्न, सुमारे इ.स. ४९ मध्ये जेरुसलेम येथे परिषद"
