key,text,english,notes,tag,checked
version,4.6,6.01, ,float,True
pdf_title,6000 år menneskelig historie visualisert,6000 years human history visualized,2026-01-16,text,True
pdf_subject,Tidslinje for menneskeheten,Timeline of humankind, ,text,False
BCE,B.C.E.,B.C.E., ,B9,False
CE,C.E.,C.E., ,B9,False
month,måned,month, ,text,False
months,måneder,months, ,text,False
day,dag,day, ,text,False
days,dager,days, ,text,False
to,til,to, ,text,False
Deluge,Syndflod,Deluge, ,text,True
moses2,1593 til 1473 f.Kr. – 120 år,1593 to 1473 B.C.E. – 120 years, ,text,False
temple1,Nisan 1513 f.Kr. til Ziv 1034 f.Kr.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False
69weeks,Jesus døpte høsten 29 e.v.t.,Jesus baptized autumn 29 C.E., ,text,False
year,år,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False
years,år,years, ,text,False
years_age,år,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False
age_kings,, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False
wilderness,Israel i villmarken 1513 til 1473 f.Kr. – 40 år,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False
timespan_judges,1473 til 1117 f.Kr. – 356 år,1473 to 1117 B.C.E. – 356 years, ,text,False
timespan_judges2,Dommernes tid,Time of the judges, ,text,False
temple2,479 år til tempelbyggingen – 1 Kongebok 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False
69weeks2,69 uker til Messias – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False
jesus_service,"3,5 års tjeneste for Jesus, henrettet 14. nisan, 33 e.v.t.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False
jesus_life,Jesus født 2 B.C.E.,Jesus born 2 B.C.E., ,text,False
exile,607 til 537 f.Kr. – 70 år (Jeremia 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False
exile2,eksil,Exile, ,text,False
7times2,7 ganger – 2520 år til det messianske riket 1914 C.E. (Daniel 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False
ww1,Første verdenskrig – 1914–1918 e.Kr.,World War I – 1914–1918, ,text,False
ww2,Andre verdenskrig – 1939–1945 e.Kr.,World War II – 1939–1945, ,text,False
30_year_war,Tretti års krig i Europa 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False
joshua,110 år,110 years, ,text,False
caleb,mer enn 85 år,more than 85 years, ,text,False
missionary1,"Pauls første misjonsreise, ca. 47–48 e.Kr. med Barnabas og Johannes Markus","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False
circumcision,"Omskjæringsspørsmål i Antiokia, konferanse i Jerusalem ca. 49 e.Kr.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False
missionary2,Andre misjonsreise c. 49–52 e.Kr. med Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False
missionary3,Tredje misjonsreise c. 52–56 e.Kr.,Third Missionary Journey c. 52-56 C.E., ,text,False
caesarea,Paulus i varetekt i Cæsarea ca. 56–58 e.Kr.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False
rome1,Paulus første fengsling i Roma ca. 59-61 e.Kr.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False
rome2,"Paulus' andre fengsling i Roma ca. 65 e.Kr., 2 Timoteus skrevet, Paulus henrettet","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False
event_exodus,"Utvandring fra Egypt den 14. nisan, 1513 f.v.t.","Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False
event_division_kingdom,Delingen av Israel 997 fvt,Division of Israel 997 BCE, ,text,False
event_destruction_samaria,Ødeleggelsen av Samaria 740 f.Kr. av Assyria,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False
event_destruction_jerusalem1,"Ødeleggelsen av Jerusalem 607 f.Kr. av Babylon, 390 år etter delingen av riket (Esekiel 4:5)","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False
event_temple_rebuilt,Tempel i Jerusalem gjenoppbygd 515 f.Kr.,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False
event_jerusalem_rebuilt,Jerusalems mur gjenoppbygd 455 f.Kr.,Jerusalem wall rebuilt 455 B.C.E., ,text,False
event_destruction_jerusalem2,Ødeleggelsen av Jerusalem 70 e.v.t. av Roma under Titus,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False
event_1914,"Slutten på nasjonenes tid (Luk 21:24), Guds rike begynner å herske i himmelen 1914 e.v.t.","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,False
became_king,ble konge i en alder,becomes king at age, ,text,False
vulgate,Vulgata fullført av Hieronymus (latinsk oversettelse av bibelen) ca. 405 e.Kr.,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False
gutenberg,Gutenberg-bibelen trykt 1455,Gutenberg Bible printed 1455, ,text,False
erasmus,Gresk tekst til kristne greske skrifter utgitt av Desiderius Erasmus fra Rotterdam 1516,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False
luther,Luther bibeloversettelse i september 1522,Luther Bible translation in September 1522, ,text,False
tyndale,Engelsk bibeloversettelse av Tyndale 1536,English Bible translation by Tyndale 1536, ,text,False
king_james,King James Bible 1611,King James Bible 1611, ,text,False
69weeks3,"Jesus starter sin tjeneste år 29 e.Kr. (Luk 3:1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False
ransom,"midten av uken ""offer for å opphøre"" Daniel 9:27",Middle of week “sacrifice to cease” Daniel 9:27, ,text,False
cornelius,Cornelius døpte etter 70 uker (Daniel 9:24) i år 36 e.v.t.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False
columbus,slutten av den før-columbianske perioden i Amerika 1492,End of the pre-columbian period in the Americas 1492, ,text,False
declaration_independence,uavhengighetserklæring av 13 kolonier i Amerika 1776,Declaration of independence of 13 colonies in America 1776, ,text,False
tischendorf,Tischendorf oppdager Codex Sinaiticus fra det 4. århundre i 1844,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False
dead_sea_scrolls,Dødehavsruller skrevet,Dead Sea Scrolls written, ,text,False
septuagint,Septuaginta LXX oversatt,Septuagint LXX translated, ,text,False
watchtower,Den første utgaven av «Zions Watch Tower and Herald of Christ’s Presence» ble utgitt i 1879,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False
jehovahs_witnesses,"Bibelstudentene tok i bruk et nytt navn – Jehovas vitner (Jesaja 43:10, 12) i Columbus, Ohio, 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,text,False
gilead_school,Watchtower Bible School of Gilead begynte mandag 1. februar 1943,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False
