key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08,5.9,float,True, , , , , , , , 
pdf_title,6000 ਸਾਲ ਦੇ ਮਨੁੱਖੀ ਇਤਿਹਾਸ ਦੀ ਕਲਪਨਾ ਕੀਤੀ,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , , , , , 
pdf_subject,ਮਨੁੱਖਜਾਤੀ ਦੀ ਸਮਾਂ ਰੇਖਾ,Timeline of human history from 4000 BCE to present,5.9,text,False, , , , , , , , 
BCE,ਬੀ.ਸੀ.ਈ.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,ਸੀ.ਈ.,C.E., ,B9,False, , , , , , , , 
month,ਮਹੀਨਾ,month, ,text,False, , , , , , , , 
months,ਮਹੀਨੇ,months, ,text,False, , , , , , , , 
day,ਦਿਨ,day, ,text,False, , , , , , , , 
days,ਦਿਨ,days, ,text,False, , , , , , , , 
to,ਨੂੰ,to, ,text,False, , , , , , , , 
Deluge,ਜਲ-ਪਰਲੋ,Deluge, ,text,False, , , , , , , , 
moses2,1593 ਤੋਂ 1473 ਬੀ.ਸੀ.. - 120 ਸਾਲ,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , , , , , 
temple1,NISAN 1513 B.c.e. ZIV 1034 B.c.e.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , , , , , 
69weeks,ਯਿਸੂ ਨੇ ਪਤਝੜ 29 ਸੀ.ਈ.,Jesus baptized autumn 29 C.E., ,text,False, , , , , , , , 
year,ਸਾਲ,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , , , , , 
years,ਸਾਲ,years, ,text,False, , , , , , , , 
years_age,ਸਾਲ,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,ਉਜਾੜ ਵਿੱਚ ਇਜ਼ਰਾਈਲ 1513 ਤੋਂ 1473 ਬੀ.ਸੀ.. - 40 ਸਾਲ,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , , , , , 
timespan_judges,1473 ਤੋਂ 1117 ਬੀ.ਸੀ. - 356 ਸਾਲ,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , , , , , 
timespan_judges2,ਜੱਜਾਂ ਦਾ ਸਮਾਂ,Time of the judges, ,text,False, , , , , , , , 
temple2,479 ਸਾਲ ਜਦ ਤਕ ਮੰਦਰ ਦੀ ਉਸਾਰੀ ਤਕ - 1 ਰਾਜਿਆਂ 6: 1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , , , , , 
69weeks2,ਮਸੀਹਾ ਨੂੰ 69 ਹਫ਼ਤੇ ਵਿਚ 69 ਹਫ਼ਤੇ - ਦਾਨੀਏਲ 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , , , , , 
jesus_service,"3.5 ਸਾਲਾਂ ਦੀ ਯਿਸੂ ਸੇਵਾ, 14 ਸੀ.ਈ.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , , , , , 
jesus_life,ਯਿਸੂ ਦਾ ਜਨਮ 2 ਬੀ.ਸੀ..,Jesus born 2 B.C.E., ,text,False, , , , , , , , 
exile,607 ਤੋਂ 537 ਬੀ.ਸੀ.. - 70 ਸਾਲ (ਯਿਰਮਿਯਾਹ 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , , , , , 
exile2,ਜਲਾਵਤਵੀ,Exile, ,text,False, , , , , , , , 
7times2,1914 ਦੇ 1914 ਦੇ ਰਾਜ ਦੇ 2520 ਸਾਲ 2520 ਸਾਲ 2520 ਸਾਲ ਸੀ. (ਦਾਨੀਏਲ 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , , , , , 
ww1,ਵਿਸ਼ਵ ਯੁੱਧ I - 1914-1918 C.e.,World War I – 1914–1918, ,text,False, , , , , , , , 
ww2,ਦੂਸਰਾ ਵਿਸ਼ਵ ਯੁੱਧ - 1939-1945 ਸੀ.ਈ.,World War II – 1939–1945, ,text,False, , , , , , , , 
