key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , ,6 000 lat historii ludzkości — Oś czasu, , ,6 000 lat historii ludzkości — oś czasu
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , ,Oś czasu historii ludzkości od 4000 p.n.e. do współczesności, , ,Kalendarium historii ludzkości od 4000 r. p.n.e. do współczesności
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , ,miesiąc, , ,miesiąc
months,months,months, ,text,False, , , , ,miesiące, , ,miesiące
day,day,day, ,text,False, , , , ,dzień, , ,dzień
days,days,days, ,text,False, , , , ,dni, , ,dni
to,to,to, ,text,False, , , , ,do, , ,do
Deluge,Deluge,Deluge, ,text,False, , , , ,Potop, , ,Potop
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,1593 do 1473 p.n.e. – 120 lat, , ,1593–1473 p.n.e. – 120 lat
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,Nisan 1513 p.n.e. do Ziw 1034 p.n.e., , ,Od nisanu 1513 r. p.n.e. do zivu 1034 r. p.n.e.
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,Jezus ochrzczony jesienią 29 r. n.e., , ,Jezus przyjął chrzest jesienią 29 roku n.e.
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,rok, , ,rok
years,years,years, ,text,False, , , , ,lata, , ,lata
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,lat, , ,lata
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,Izrael na pustyni 1513 do 1473 p.n.e. – 40 lat, , ,Izrael na pustyni w latach 1513–1473 p.n.e. – 40 lat
timespan_judges,1473 to 1117 B.C.E. – 356 years,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,1473 do 1117 p.n.e. – 356 lat, , ,1473–1117 p.n.e. – 356 lat
timespan_judges2,Time of the judges,Time of the judges, ,text,False, , , , ,Czas sędziów, , ,Czas sędziów
temple2,479 years until the temple construction – 1 Kings 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , ,479 lat do budowy świątyni – 1 Królewska 6:1, , ,479 lat do rozpoczęcia budowy świątyni – 1 Król. 6:1
69weeks2,69 weeks to the Messiah – Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , ,69 tygodni do Mesjasza – Daniela 9:25, , ,69 tygodni do nadejścia Mesjasza – Księga Daniela 9:25
jesus_service,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , ,"3,5 roku służby Jezusa, stracony 14 nisana, 33 r. n.e.", , ,"3,5 roku służby Jezusa, stracony 14 nisanu 33 r. n.e."
jesus_life,Jesus born 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , , ,Jezus urodzony 2 p.n.e., , ,Jezus urodził się w 2 r. p.n.e.
