key,version,english,notes,tag,link
version,3.1,6.02,,float,
pdf_title,3.1,6000 years human history visualized,2026-02-12,text,
pdf_subject,3.1,Timeline of humankind,,text,
BCE,3.1,B.C.E.,appendix B9,B9,
CE,3.1,C.E.,,B9,
month,3.1,month,,text,
months,3.1,months,,text,
day,3.1,day,,text,
days,3.1,days,,text,
to,3.1,to,,text,
Deluge,4.1,Deluge,,text,
moses2,4.1,1593 to 1473 B.C.E. – 120 years,,text,
temple1,4.1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,,text,
69weeks,4.1,Jesus baptized autumn 29 C.E.,,text,
year,3.1,year,"timespan, age (Adam was 130 years old when Shem was born)",text,
years,3.1,years,,text,
years_age,3.1,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,
age_kings,4.1,,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,
wilderness,4.1,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,,text,
timespan_judges,4.1,1473 to 1117 B.C.E. – 356 years,,text,
timespan_judges2,4.1,Time of the judges,,text,
temple2,4.1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,
69weeks2,4.1,69 weeks to the Messiah – Daniel 9:25,,text,
jesus_service,4.1,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.",,text,
jesus_life,4.1,Jesus born 2 B.C.E.,,text,
exile,4.1,607 to 537 B.C.E. – 70 years (Jeremiah 25:11),,text,
exile2,4.1,Exile,,text,
7times2,4.1,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23),,text,
ww1,4.1,World War I – 1914–1918,,text,
ww2,4.1,World War II – 1939–1945,,text,
30_year_war,4.1,Thirty Years' War in Europe 1618-1648,,text,
joshua,4.1,110 years,,text,
caleb,4.1,more than 85 years,,text,
missionary1,4.1,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",,text,
circumcision,4.1,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",,text,
missionary2,4.1,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),,text,
missionary3,4.1,Third Missionary Journey c. 52-56 C.E.,,text,
caesarea,4.1,Paul in custody in Caesarea c. 56-58 C.E.,,text,
rome1,4.1,Paul’s first imprisonment in Rome c. 59-61 C.E.,,text,
rome2,4.1,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed",,text,
event_exodus,4.1,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.",,text,
event_division_kingdom,4.1,Division of Israel 997 BCE,,text,
event_destruction_samaria,4.1,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,
event_destruction_jerusalem1,4.1,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)",,text,
event_temple_rebuilt,4.1,Temple in Jerusalem rebuilt 515 B.C.E.,,text,
event_jerusalem_rebuilt,4.1,Jerusalem wall rebuilt 455 B.C.E.,,text,
event_destruction_jerusalem2,4.1,Destruction of Jerusalem 70 C.E. by Rome under Titus,,text,
event_1914,4.5,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,
became_king,4.1,becomes king at age,2025-04-14,text,
vulgate,4.1,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,,text,
gutenberg,4.1,Gutenberg Bible printed 1455,,text,
erasmus,4.1,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,,text,
luther,4.1,Luther Bible translation in September 1522,,text,
tyndale,4.1,English Bible translation by Tyndale 1536,,text,
king_james,4.1,King James Bible 1611,,text,
69weeks3,4.1,"Jesus starts his service 29 CE (Luke 3:1, 21)",,text,
ransom,4.1,Middle of week “sacrifice to cease” Daniel 9:27,,text,
cornelius,4.1,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,,text,
columbus,4.1,End of the pre-columbian period in the Americas 1492,,text,
declaration_independence,4.1,Declaration of independence of 13 colonies in America 1776,,text,
tischendorf,4.1,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,,text,
dead_sea_scrolls,4.1,Dead Sea Scrolls written,,text,
septuagint,4.1,Septuagint LXX translated,,text,
watchtower,4.1,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,,text,
jehovahs_witnesses,4.5,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,text,
gilead_school,4.1,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943",,text,
new_world_translation1,4.5,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name,text,
new_world_translation2,4.5,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind,text,
cold_war,4.1,Geopolitical situation labeled “Cold War” 1945-1991,,text,
timeline_created,4.1,"This timeline is created in 2023, the hottest year in human history and the last 125,000 years",,text,
codex_sinaiticus,4.1,Codex Sinaiticus written,,text,
codex_vaticanus,4.1,Codex Vaticanus written,,text,
leningrad_codex,4.1,Leningrad Codex written in Cairo AD 1008,,text,
john,4.1,John writes “revelation” while exiled on Patmos 96-98 C.E.,,text,
buddha,4.1,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,,text,
buddha2,4.1,Buddha alternatively c. 480-400 B.C.E.,,text,
mohammed,4.1,Mohammed c. 570-632,,text,
confucius,4.1,Confucius c.551-c.479 B.C.E.,,text,
hijrah,4.1,Hijrah - Journey Mecca to Medina 16 July 622,,text,
moses_escape,4.1,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23",,text,
10plagues,4.1,1513 B.C.E Egypt receives 10 plagues,,text,
joseph_sold,4.1,Joseph sold as slave at the age of 17 – Gen 37:2,,text,
infliction,4.1,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,,text,
Alexander,4.1,Alexander the Great (Daniel 11:3),,text,
persia,4.1,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)",,text,
king_north,4.1,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)",,text,
king_north1,4.1,King of the North,,text,
king_south,4.1,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.",,text,
king_south1,4.1,King of the South,,text,
king_south2,4.1,"British Empire 1870, Anglo-American World Power since 1914",,text,
king_south3,4.1,King of the South,,text,
king_north2,4.1,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",,text,
king_north3,4.1,North,,text,
king_north4,4.1,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)",,text,
king_north5,4.1,Russia since 2017 (w20 May),,text,
time_of_end,4.5,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out,text,
time_of_end2,4.1,Last days,,text,
suryavaman2,4.1,King Suryavarman II builds Angkor Wat 1113-1150,,text,
notre-dame,4.1,Notre-Dame de Paris built 1163-1260,,text,
babel,4.1,Tower of Babel built,,text,
infliction1,4.2,400 year infliction,Acts 7:6,text,
Lots_wife,4.3,Lot’s wife,,text,
Lots_daughters,4.3,Daughters of Lot,,text,
Moab,4.3,Moab (older daughter),Genesis 19:37,text,
rosetta,4.1,Rosetta stone 196 B.C.E.,,text,
Herodotus,4.3,"Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History,text,
Aristotle,4.3,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher",text,
Ptolemy,4.3,Ptolemy c 100 – c. 170 C.E.,,text,
Pythagoras,4.3,Pythagoras c. 570 – c. 495 BC,,text,
Plato,4.3,Plato c. 427 – c. 348 BC,,text,
Socrates,4.3,Socrates c. 470 – c. 399 BC,,text,
Josephus,4.3,Josephus c. 37 – c. 100 C.E.,,text,
Cicero,4.3,Cicero 106–43 BC,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC",text,
lachish_letters,4.3,Lachish letters c. 590 B.C.E.,,text,
lachish_reliefs,4.3,Lachish reliefs c. 681 B.C.E.,,text,
mesha_stele,4.3,Mesha Stele (Moabite stone) c. 840 B.C.E.,w25/12 study article 50 paragraph 6,text,
gilgamesh,4.3,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵,,text,
epic_gilgamesh,4.3,Epic of Gilgamesh (Sîn-lēqi-unninni),,text,
gregorian,4.4,Gregorian calendar 1582,,text,
shang-dynasty,4.4,c. 1600-1046 BC,,text,
western-zhou,4.4,c. 1046-771 BC,,text,
qin-dynasty,4.4,Qin 221-207 BC,,text,
western-han,4.4,207 BC – 9 CE,,text,
three-kingdoms,4.4,Three kingdoms 220-280 CE,,text,
sixteen-kingdoms,4.4,Sixteen kingdoms 304-439 CE,,text,
tang-dynasty2,4.4,"618-690, 705-907",,text,
wu-zhou,4.4,690-705 Wu Zhou,,text,
tang-dynasty1_c,4.4,Tang,,text,
gonghe,4.4,Gonghe Regency 841-828 BC,,text,
Ashoka,4.4,Ashoka (c. 304-232 BC) promotes Buddhism,,text,
siloam-tunnel,4.5,Hezekiah extends Siloam tunnel,c. 742-732 BC,text,
Angloamerica2,4.5,"Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43",,text,
Manetho,4.5,Manetho writes Aegyptiaca,,text,
destruction_babylon,4.5,"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)",beginning of great tribulation (GT),text,
gog_of_magog,4.5,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)",end of GT,text,
sheep_goat,4.5,"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)",end of GT,text,
annointed,4.5,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),end of GT,text,
armageddon,4.5,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)",end of system of things,text,
millenium,4.5,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)",,text,
great_crowd,4.5,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)",,text,
world_population,4.5,World population in billions in the last 2000 years,,text,
khmer_empire_c,4.6,Khmer Empire - Angkor period,,text,
holy_roman_empire_c,4.6,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512,,text,
mongol_empire,4.6,Mongol Empire 1206 – 1294,,text,
maya_classic_c,4.6,Maya civilization – Classic period,,text,
maya_postclassic_c,4.6,Maya civilization – Postclassic period,,text,
Teotihuacan,4.6,"Largest city in the Americas, pyramids build c. 200 C.E.",,text,
Dionysius_Exiguus,4.6,"Dionysius Exiguus, inventor of Anno Domini",,text,
Umayyad_c,4.6,Umayyad,,text,
ur3,4.6,Ur III Dynasty 𒋀𒀕𒆠,,text,
