key,text,version,notes
version,5.9,5.9,5.9
pdf_title,6000 years human history visualized,3.1,2025-09-26
pdf_subject,Timeline of humankind,3.1,5.9
wulfila,Wulfila Bible,5.9,2025-09-26
argenteus,Codex Argenteus c. 505,5.9,written copy of Wulfila Bible
tran_dynasty,1225 – 1400,5.9,
tran_dynasty_c,Trần dynasty,5.9,
le_dynasty,1428 – 1527,5.9,triều Lê sơ or Vietnamese: nhà Lê sơ
le_dynasty_c,Lê dynasty,5.9,
revival_le_dynasty,1533-1789,5.9,
revival_le_dynasty_c,Revival Lê dynasty,5.9,Nhà Lê trung hưng
nguyen_dynasty,1802 – 1883,5.9,
nguyen_dynasty_c,Nguyễn,5.9,2025-09-20
edo,1603 – 1868,5.9,
edo_c,Edo period in Japan,5.9,
meiji,1868 – 1912,5.9,
meiji_c,Meiji,5.9,2025-09-20
Ham,Ham,5.9,Gen 10:1
Canaan,Canaan,5.9,Gen 10:6
Sidon,Sidon,5.9,Gen 10:15
Heth,Heth,5.9,Gen 10:15
Jebusite,Jebusite,5.9,Gen 10:16
Amorite,Amorite,5.9,Gen 10:16
Girgashite,Girgashite,5.9,Gen 10:16
Hivite,Hivite,5.9,Gen 10:17
Arkite,Arkite,5.9,Gen 10:17
Sinite,Sinite,5.9,Gen 10:17
Arvadite,Arvadite,5.9,Gen 10:18
Zemarite,Zemarite,5.9,Gen 10:18
Hamathite,Hamathite,5.9,Gen 10:18
Cush,Cush,5.9,Gen 10:6
Nimrod,Nimrod,5.9,Gen 10:8
Mizraim,Mizraim,5.9,Gen 10:14
Casluh,Casluh,5.9,1 Chronicles 1:12 (Philistines)
Japheth,Japheth,5.9,Gen 10:3
Asshur,Asshur,5.9,Gen 10:22
Lud,Lud,5.9,Gen 10:22
Aram,Aram,5.9,Gen 10:22
Elam,Elam,5.9,Gen 10:22
Joktan,Joktan,5.9,Gen 10:26
Almodad,Almodad,5.9,Gen 10:26
Sheleph,Sheleph,5.9,Gen 10:26
Hazarmareth,Hazarmareth,5.9,Gen 10:26
Jerah,Jerah,5.9,Gen 10:26
Hadoram,Hadoram,5.9,Gen 10:27
Uzal,Uzal,5.9,Gen 10:27
Diklah_Obal,"Diklah, Obal",5.9,Gen 10:27
Abimael,Abimael,5.9,Gen 10:28
Sheba_Ophir,"Sheba, Ophir",5.9,"Gen 10:28, 29"
Havilah,Havilah,5.9,Gen 10:29
Jobab,Jobab,5.9,Gen 10:29
Korah_Gatam,"Korah, Gatam",5.9,303 and 304
Adbeel_Mibsam,"Adbeel, Mibsam",5.9,311 and 312
Dumah_Massa,"Dumah, Massa",5.9,314 and 315
Ham_fn,1) Egyptians: Psalms 105:23,5.9,2025-09-22
Canaan_fn,2) Canaanites: Joshua 13:3,5.9,2025-09-22
Aram_fn,3) Arameans: Hosea 12:12,5.9,2025-09-22
Elam_fn,4) Elamites: Ezra 4:9,5.9,2025-09-22
Asshur_fn,5) Assyrians: Ezekiel 27:23,5.9,2025-09-22
Casluh_fn,6) Philistines: 1 Chronicles 1:12,5.9,2025-09-22
Cush_fn,7) Ethiopian [Cushite]: 2 Kings 19:9,5.9,2025-09-22
Edom_fn,8) Edomites: Numbers 20:14-17,5.9,same as 459
Moab_fn,"9) Moabites: Deuteronomy 23:3, 4",5.9,same as 457
Ammon_fn,10) Ammonites: Joshua 12:2,5.9,same as 458
Midian_fn,"11) Midianites: Numbers 31:2, 3",5.9,same as 456
Amalek_fn,12) Amalekites: 1 Samuel 15:2,5.9,same as 461
Teman_fn,13) Temanites: Job 42:7,5.9,same as 460
Sidon_fn,14) Sidonians: Zechariah 9:2,5.9,2025-09-22
Heth_fn,15) Hittites: Genesis 15:20,5.9,2025-09-22
Jebusite_fn,16) Jebusites: Joshua 15:63,5.9,2025-09-22
Judith,Judith?,5.9,"Genesis 26:34, 35"
Lud_fn,17) Lydians: 1 Chronicles 1:17,5.9,"Jewish Antiquities, I, 143, 144 [vi, 4]"
Ishmael_fn,18) Ishmaelites: Genesis 37:27,5.9,2025-09-22
Amorite_fn,19) Amorites: Judges 6:10,5.9,2025-09-22
Hivite_fn,"20) Hivites [Gibeon]: Joshua 9:3, 7",5.9,Gibeonites
american_civil_war,American Civil War 1861-1865,5.9,2025-09-26
