key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,6000 лет история человечества визуализирована,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , ,6000 лет человеческой истории — хронология,6 000 лет человеческой истории — хронология, ,6 000 лет истории человечества — хронология событий
pdf_subject,Хронология человечества,Timeline of human history from 4000 BCE to present, ,text,False, , , , ,Хронология человеческой истории с 4000 г. до н. э. по настоящее время,Хронология истории человечества с 4000 года до н. э. по настоящее время, ,Хронология истории человечества с 4000 года до н. э. по настоящее время
BCE,до н.э.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,н.э.,C.E., ,B9,True, , , , , , , , 
month,месяц,month, ,text,False, , , , ,месяц,месяц, ,месяц
months,месяца,months, ,text,False, , , , ,месяцы,месяцы, ,месяцев
day,день,day, ,text,False, , , , ,день,день, ,день
days,дней,days, ,text,False, , , , ,дни,дни, ,дней
to,–,to, ,text,False, , , , ,по,до, ,до
Deluge,Потоп,Deluge, ,text,False, , , , ,Всемирный потоп,Потоп, ,Потоп
moses2,1593–1473 гг. до н. э. – 120 лет,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,1593 по 1473 г. до н. э. — 120 лет,С 1593 по 1473 г. до н. э. — 120 лет, ,1593–1473 гг. до н. э. — 120 лет
temple1,Нисан 1513 г. до н.э. до Зива 1034 г. до н. э.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,Нисан 1513 г. до н. э. по Зив 1034 г. до н. э.,С нисана 1513 г. до н. э. по зив 1034 г. до н. э., ,С 1513 года нисана до н. э. по 1034 год зива до н. э.
69weeks,Иисус крестил осень 29 г. н. э.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,Иисус крещён осенью 29 г. н. э.,Иисус крестился осенью 29 года н. э., ,Иисус принял крещение осенью 29 года н. э.
year,год,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,год,год, ,год
years,года,years, ,text,False, , , , ,годы,года, ,годы
years_age,лет,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,лет,лет, ,годы
age_kings,лет, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
