key	text	english
pdf_title	Визуализация 6000-летней истории человечества	6000 years human history visualized 
pdf_subject	Хронология человечества	Timeline of humankind 
BCE	до н.э.	B.C.E.
CE	н.э.	C.E.
year	год	year
years	годы	years
years_age	лет	years
age_kings		 
month	месяц	month
months	месяцы	months
day	день	day
days	дни	days
to	–	to
persons	люди	persons
judges	судьи	judges
prophets	пророки	prophets
kings	короли	kings
periods	периоды	periods
events	события	events
Deluge	Потоп	Deluge
Adam	Адам	Adam
Seth	Си́ф 	Seth
Enosh	Ено́с 	Enosh
Kenan	Каина́н 	Kenan
Mahalalel	Малелеи́л 	Ma·hala·lel
Jared	Яре́д 	Jared
Enoch	Ено́х 	Enoch
Methuselah	Мафуса́л 	Me·thuse·lah
Lamech	Ламе́х 	Lamech
Noah	Ноя 	Noah
Shem	Си́м 	Shem
Arpachshad	Арфакса́д 	Ar·pachshad
Shelah	Шела́х 	Shelah
Eber	Эве́р 	Eber
Peleg	Фале́к	Peleg
Reu	Ре́у 	Reu
Serug	Серу́г 	Serug
Nahor	Нахо́р 	Nahor
Terah	Фа́рр 	Terah
Abraham	Авраам 	Abraham
Isaac	Исаак 	Isaac
Jacob	Иаков 	Jacob
Joseph	Иосиф 	Joseph
Moses	Моисей 	Moses
Othniel	Отниил 	Othniel
Ehud	Эхуд 	Ehud
Shamgar	Шамгар 	Shamgar
Barak	Варак 	Barak
Gideon	Гедеон 	Gideon
Tola	Тола 	Tola
Jair	Яир 	Jair
Jephthah	Иеффай 	Jephthah
Ibzan	Ивцан 	Ibzan
Elon	Элон 	Elon
Abdon	Авдон 	Abdon
Samson	Самсон 	Samson
Samuel	Самуил 	Samuel
Saul	Саул 	Saul
David	Давид 	David
Solomo	Соломон 	Solomo
Rehoboam	Ровоа́м 	Rehoboam
Abijah	Авия (Авиям) 	Abijah (Abijam)
Asa	Аса 	Asa
Jehoshaphat	Иосафа́т 	Jehoshaphat
Jehoram2	Иора́м 	Jehoram
Ahaziah	Охозия 	Ahaziah
Athaliah	Царица Аталия 	Queen Athaliah
Jehoash	Иоас 	Jehoash
Amaziah	Амация 	Amaziah
Uzziah	Уззия (Азария) 	Uzziah (Azariah)
Jotham	Иофа́м 	Jotham
Ahaz	Аха́з 	Ahaz
Hezekiah	Езеки́я 	Hezekiah
Manasseh	Мана́ссия	Manasseh
Amon	Амо́н 	Amon
Josiah	Ио́сия 	Josiah
Jehoahaz	Иоахаз 	Jehoahaz
Jehoiakim	Иоаким 	Jehoiakim
Jehoiachin	Иехония 	Jehoiachin
Zedekia	Седекия 	Zedekia
Jeroboam	Иеровоам 	Jeroboam
Nadab	Надав 	Nadab
Baasha	Вааса 	Baasha
Elah	Эла 	Elah
Zimri	Зимри 	Zimri
OmriTibni	Омри и Тивни 	Omri and Tibni together
Omri	Омри (один) 	Omri (alone)
Ahab	Ахав 	Ahab
Ahaziah	Охозия 	Ahaziah
Jehoram	Иорам 	Jehoram
Jehu	Ииуй 	Jehu
Jeoahaz	Иоахаз 	Jeoahaz
JeoahazJehoash	Иоахаз и Иоас 	Jeoahaz and Jehoash
Jehoash2	Иоас (один) 	Jehoash (alone)
Jeroboam2	Иеровоам II 	Jeroboam II
Zechariah	Захария 	Zechariah
Schallum	Шаллум 	Schallum
Menahem	Менахем 	Menahem
Pekahiah	Пекахия 	Pekahiah
Pekah	Пеках 	Pekah
Hoshea	Осия 	Hoshea
Elijah	Илья	Elijah
Elisha	Елисей	Elisha
Jonah	Иона	Jonah
Amos	Амос	Amos
Joel	Иоиль	Joel
Hosea	Осия	Hosea
Isaiah	Исайя	Isaiah
Micah	Михей	Micah
Zephaniah	Софония	Zephaniah
Nahum	Наум	Nahum
Jeremiah	Иеремия	Jeremiah
Habakuk	Аввакум	Habakuk
Daniel	Даниил	Daniel
Ezekiel	Иезекииль	Ezekiel
Obadiah	Авдий	Obadiah
Malachi	Малахия	Malachi
Ruth	Руфь 	Ruth
Ezra	Ездра 	Ezra
Nehemiah	Неемия 	Nehemiah
Esther	Эсфирь 	Esther
Job	Иов 	Job
moses2	1593–1473 гг. до н. э. – 120 лет	1593 to 1473 B.C.E. – 120 years
moses3	Моисей	Moses
wilderness	Израиль в пустыне, 1513–1473 гг. до н. э. – 40 лет	Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges	1473–1117 гг. до н. э. – 356 лет	1473 to 1117 B.C.E. – 356 years
timespan_judges2	Время судей	Time of the judges
temple1	Нисан 1513 г. до н.э. до Зива 1034 г. до н. э.	Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2	479 лет до строительства храма – 3 Царств 6:1.	479 years until the temple construction – 1 Kings 6:1
69weeks	Иисус крестил осень 29 г. н. э.	Jesus baptized autumn 29 C.E.
69weeks2	69 недель до Мессии – Даниил 9:25.	69 weeks to the Messiah – Daniel 9:25
jesus_service	3,5 года служения Иисусу, казнён 14 нисана 33 года н. э.	3.5 years of Jesus service, executed Nisan 14th, 33 C.E.
jesus_life	Иисус родился во 2 г. до н. э.	Jesus born 2 B.C.E.
exile	607–537 гг. до н. э. – 70 лет (Иеремия 25:11)	607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2	изгнание	exile
7times	Откровение 12:9	Revelation 12:9
