key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,වසර 6000ක මානව ඉතිහාසය දර්ශනය විය,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , , , , , 
pdf_subject,මානව වර්ගයාගේ කාල සටහන,Timeline of human history from 4000 BCE to present, ,text,False, , , , , , , , 
BCE,ක්රි.පූ.,B.C.E., ,B9,True, , , , , , , , 
CE,සී.ඊ.,C.E., ,B9,True, , , , , , , , 
month,මස,month, ,text,False, , , , , , , , 
months,මාස,months, ,text,False, , , , , , , , 
day,දවස,day, ,text,False, , , , , , , , 
days,දින,days, ,text,False, , , , , , , , 
to,දක්වා,to, ,text,False, , , , , , , , 
Deluge,ගංවතුර,Deluge, ,text,False, , , , , , , , 
moses2,1593 සිට 1473 දක්වා ක්‍රි.පූ. - අවුරුදු 120 යි,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , , , , , 
temple1,නීසාන් ක්‍රි.පූ. 1513 Ziv 1034 දක්වා ක්‍රි.පූ.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , , , , , 
69weeks,යේසුස් බව්තීස්ම කළේ ක්‍රිස්තු වර්ෂ 29 සරත් සමයයි.,Jesus baptized autumn 29 C.E., ,text,False, , , , , , , , 
year,අවුරුදු,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , , , , , 
years,අවුරුදු,years, ,text,False, , , , , , , , 
years_age,අවුරුදු,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , , , , , 
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,ඉශ්‍රායෙල් පාළුකරයේ 1513 සිට 1473 දක්වා ක්‍රි.පූ. - අවුරුදු 40 යි,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , , , , , 
timespan_judges,1473 සිට 1117 දක්වා ක්‍රි.පූ. - අවුරුදු 356 යි,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , , , , , 
timespan_judges2,විනිසුරුවරුන්ගේ කාලය,Time of the judges, ,text,False, , , , , , , , 
temple2,දේවමාළිගාව ඉදිකරන තෙක් අවුරුදු 479 - 1 රාජාවලිය 6: 1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , , , , , 
69weeks2,මෙසියස් වෙත සති 69 - දානියෙල් 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , , , , , 
jesus_service,"ක්‍රිස්තු වර්ෂ 33, නීසාන් 14 වැනිදා ක්‍රියාත්මක කරන ලද යේසුස්ගේ වසර 3.5ක සේවය.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , , , , , 
jesus_life,යේසුස් ඉපදුණේ ක්‍රි.පූ. 2දී.,Jesus born 2 B.C.E., ,text,False, , , , , , , , 
exile,607 සිට 537 දක්වා ක්‍රි.පූ. - අවුරුදු 70 (යෙරෙමියා 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , , , , , 
exile2,පිටුවහල් කිරීම,Exile, ,text,False, , , , , , , , 
7times2,7 වතාවක් - මෙසියානු රාජධානියට වසර 2520 ක් 1914 ක්‍රි.ව. (දානියෙල් 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , , , , , 
ww1,පළමු ලෝක යුද්ධය - 1914-1918 ක්රි.ව.,World War I – 1914–1918, ,text,False, , , , , , , , 
ww2,දෙවන ලෝක යුද්ධය - 1939-1945 C.E.,World War II – 1939–1945, ,text,False, , , , , , , , 
30_year_war,1618-1648 යුරෝපයේ තිස් අවුරුදු යුද්ධය,Thirty Years' War in Europe 1618-1648, ,text,False, , , , , , , , 
joshua,අවුරුදු 110 යි,110 years, ,text,False, , , , , , , , 
caleb,අවුරුදු 85 ට වැඩි,more than 85 years, ,text,False, , , , , , , , 
missionary1,"පෝල්ගේ පළමු මිෂනාරි ගමන, ඇ. 47-48 බානබස් සහ ජෝන් මාක් සමඟ","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , , , , , , 
circumcision,"අන්තියෝකියේ චර්මච්ඡේදනය පිළිබඳ ගැටලුව, යෙරුසලමේ සමුළුව c. 49 ක්රි.ව.","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , , , , , , 
missionary2,දෙවන මිෂනාරි ගමන ඇ. 49-52 සීලස් (සිල්වානස්) සමඟ,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , , , , , , 
missionary3,තුන්වන මිෂනාරි ගමන ඇ. 52-56 ක්රි.ව.,Third Missionary Journey c. 52-56 C.E., ,text,False, , , , , , , , 
caesarea,පාවුල් සිසේරියේදී අත්අඩංගුවේ පසුවන ඇ. 56-58 ක්රි.ව.,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , , , , , , 
rome1,පාවුල්ගේ පළමු සිරගත කිරීම රෝමයේ ක්‍රි. 59-61 ක්රි.ව.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , , , , , , 
