key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,False, , , , , , , , 
pdf_title,"6,000 Years of Human History — A Timeline","6,000 Years of Human History — A Timeline",2026-09-04,text,False, , , , ,"6,000 ஆண்டுகால மனித வரலாறு — ஒரு காலவரிசை", , ,"6,000 ஆண்டுகள் மனித வரலாறு — ஒரு காலக்கோடு"
pdf_subject,Timeline of human history from 4000 BCE to present,Timeline of human history from 4000 BCE to present,Timeline of humankind,text,False, , , , ,ஆரம்பம் கி.மு. 4000 முதல் இன்று வரை மனித வரலாற்றின் காலவரிசை, , ,கி.மு. 4000 முதல் இன்று வரையிலான மனித வரலாற்றின் காலக்கோடு
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,month,month, ,text,False, , , , ,மாதம், , ,மாதம்
months,months,months, ,text,False, , , , ,மாதங்கள், , ,மாதங்கள்
day,day,day, ,text,False, , , , ,நாள், , ,நாள்
days,days,days, ,text,False, , , , ,நாட்கள், , ,நாட்கள்
to,to,to, ,text,False, , , , ,முதல், , ,என்று
Deluge,Deluge,Deluge, ,text,False, , , , ,பிரளயம், , ,பெருவெள்ளம்
moses2,1593 to 1473 B.C.E. – 120 years,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,கி.மு. 1593 முதல் 1473 வரை – 120 ஆண்டுகள், , ,கி.மு. 1593 முதல் கி.மு. 1473 வரை – 120 ஆண்டுகள்
temple1,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,கி.மு. 1513 நிசான் முதல் கி.மு. 1034 சீவ் வரை, , ,நிசான் 1513 கி.மு. முதல் ஜிவ் 1034 கி.மு. வரை
69weeks,Jesus baptized autumn 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,இயேசு ஞானஸ்நானம் பெற்றது கி.பி. 29 இலையுதிர் காலம், , ,கிறிஸ்து கி.பி. 29 இலையுதிர்காலத்தில் ஞானஸ்நானம் கொடுத்தார்.
year,year,year,"timespan, age (Adam was 130 years old when Shem was born)",text,False, , , , ,ஆண்டு, , ,ஆண்டு
years,years,years, ,text,False, , , , ,ஆண்டுகள், , ,ஆண்டுகள்
years_age,years,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,ஆண்டுகள், , ,ஆண்டுகள்
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
