key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 taon na paglalarawan na kasaysayan ng tao,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , ,"6,000 Years of Human History — A Timeline","6,000 Taon ng Kasaysayan ng Tao — Isang Timeline", , ,"6,000 Taon ng Kasaysayan ng Tao — Isang Linya ng Panahon"
pdf_subject,Timeline ng sangkatauhan,Timeline of human history from 4000 BCE to present,5.5,text,False, , , ,Timeline of human history from 4000 BCE to present,Timeline ng kasaysayan ng tao mula 4000 BCE hanggang kasalukuyan, , ,Linya ng panahon ng kasaysayan ng tao mula 4000 BCE hanggang sa kasalukuyan
BCE,B.C.E.,B.C.E.,appendix B9,B9,False, , , , , , , , 
CE,C.E.,C.E., ,B9,False, , , , , , , , 
month,buwan,month, ,text,True, , , , ,buwan, , ,buwan
months,buwan,months, ,text,False, , , ,months,mga buwan, , ,buwan
day,araw,day, ,text,False, , , ,day,araw, , ,araw
days,araw,days, ,text,False, , , ,days,mga araw, , ,araw
to,—,to, ,text,False, , , ,to,hanggang, , ,papunta sa
Deluge,Delubyo,Deluge, ,text,False, , , ,Deluge,Delubyo, , ,Pagbaha
moses2,1593 hanggang 1473 B.C.E. – 120 taon,1593 to 1473 B.C.E. – 120 years, ,text,False, , , ,1593 to 1473 B.C.E. – 120 years,1593 hanggang 1473 B.C.E. – 120 taon, , ,1593 hanggang 1473 B.C.E. – 120 taon
temple1,Nisan 1513 B.C.E. hanggang Ziv 1034 B.C.E.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , ,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.,Nisan 1513 B.C.E. hanggang Ziv 1034 B.C.E., , ,Nisan 1513 B.C.E. hanggang Ziv 1034 B.C.E.
69weeks,Binautismuhan si Jesus noong taglagas 29 C.E.,Jesus baptized autumn 29 C.E., ,text,False, , , ,Jesus baptized autumn 29 C.E.,Si Jesus bininyagan taglagas 29 C.E., , ,Si Jesus ay nabinyagan noong taglagas ng 29 C.E.
year,taon,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , ,taon, , ,taon
years,taon,years, ,text,True, , , , ,mga taon, , ,taon
years_age,taon,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True, , , , ,mga taon, , ,taon
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True, , , , , , , , 
wilderness,Israel sa ilang 1513 hanggang 1473 B.C.E. – 40 taon,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , ,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years,Israel sa ilang 1513 hanggang 1473 B.C.E. – 40 taon, , ,Israel sa ilang 1513 hanggang 1473 B.C.E. – 40 taon
timespan_judges,1473 hanggang 1117 B.C.E. – 356 taon,1473 to 1117 B.C.E. – 356 years, ,text,False, , , ,1473 to 1117 B.C.E. – 356 years,1473 hanggang 1117 B.C.E. – 356 na taon, , ,1473 hanggang 1117 B.C.E. – 356 taon
timespan_judges2,Panahon ng mga hukom,Time of the judges, ,text,False, , , ,Time of the judges,Panahon ng mga hukom, , ,Panahon ng mga hukom
temple2,479 taon bago tinayo ang templo – 1 Hari 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , ,479 years until the temple construction – 1 Kings 6:1,479 na taon hanggang sa pagtatayo ng templo – 1 Mga Hari 6:1, , ,479 taon bago ang pagtatayo ng templo – 1 Mga Hari 6:1
69weeks2,69 na linggo bago dumating ang Mesiyas - Daniel 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , ,69 weeks to the Messiah – Daniel 9:25,69 na linggo hanggang sa Mesiyas – Daniel 9:25, , ,69 na linggo patungo sa Mesiyas – Daniel 9:25
jesus_service,"3.5 taon na ministeryo niJesus, pinatay - Nisan 14, 33 C.E.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , ,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.","3.5 taon ng paglilingkod ni Jesus, ipinapatay Nisan 14, 33 C.E.", , ,"3.5 na taon ng paglilingkod ni Jesus, ipinatupad noong ika-14 ng Nisan, 33 C.E."
jesus_life,Ipinanganak si Jesus noong 2 B.C.E.,Jesus born 2 B.C.E., ,text,False, , , ,Jesus born 2 B.C.E.,Isinilang si Jesus 2 B.C.E., , ,Si Hesus ay ipinanganak noong 2 B.C.E.
