key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08,5.9,float,True, , , , , , , , 
pdf_title,6000 років людська історія візуалізована,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , ,6 000 років людської історії — Хронологія, , ,6 000 років історії людства — хронологія
pdf_subject,Графік людства,Timeline of human history from 4000 BCE to present,5.9,text,False, , , , ,Хронологія людської історії від 4000 р. до н. е. до сьогодення, , ,Хронологія історії людства від 4000 р. до н. е. до сьогодення
BCE,до н. е.,B.C.E.,appendix B9,B9,True, , , , , , , , 
CE,н. е.,C.E., ,B9,True, , , , , , , , 
month,місяць,month, ,text,True, , , , ,місяць, , ,місяць
months,місяці,months, ,text,True, , , , ,місяці, , ,місяці
day,день,day, ,text,True, , , , ,день, , ,день
days,дні,days, ,text,True, , , , ,дні, , ,днів
to,до,to, ,text,True, , , , ,до, , ,до
Deluge,Зливати,Deluge, ,text,False, , , , ,Всесвітній потоп, , ,Потоп
moses2,1593 по 1473 р. до н. е. - 120 років,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,1593 по 1473 р. до н. е. – 120 років, , ,1593–1473 рр. до н. е. — 120 років
temple1,Nisan 1513 до н. е.. до ZIV 1034 до н. е.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,Нісан 1513 р. до н. е. по Зів 1034 р. до н. е., , ,Від 1513 року до н. е. (місяць Нісан) до 1034 року до н. е. (місяць Зів)
69weeks,Ісус охрестив осінь 29 н. е.,Jesus baptized autumn 29 C.E., ,text,False, , , , ,Ісус хрещений восени 29 р. н. е., , ,Ісус прийняв хрещення восени 29 року н. е.
year,рік,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , ,рік, , ,рік
years,роки,years, ,text,True, , , , ,роки, , ,роки
years_age,роки,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True, , , , ,роки, , ,роки
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True, , , , , , , , 
wilderness,Ізраїль у пустелі 1513 по 1473 рр. до н. е. - 40 років,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,Ізраїль у пустелі 1513 по 1473 р. до н. е. – 40 років, , ,Ізраїль у пустелі з 1513 до 1473 рр. до н. е. — 40 років
timespan_judges,1473 по 1117 рр. до н. е. - 356 років,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,1473 по 1117 р. до н. е. – 356 років, , ,1473–1117 рр. до н. е. — 356 років
