key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6.000 Năm Lịch Sử Nhân Loại — Dòng Thời Gian,"6,000 Years of Human History — A Timeline",2026-08-26,text,True,Matthias,2026-08-26, ,6000 năm lịch sử loài người được hình dung, 6.000 năm lịch sử loài người - Dòng thời gian,Dòng thời gian 6000 năm lịch sử loài người , 6.000 Năm Lịch Sử Nhân Loại — Dòng Thời Gian, 6.000 năm lịch sử loài người - Dòng thời gian
pdf_subject,Dòng thời gian của loài người,Timeline of human history from 4000 BCE to present, ,text,True,Matthias,2026-08-26, , , , , , 
BCE,TCN,B.C.E.,appendix B9,B9,True,Matthias,2026-08-26, , , , , , 
CE,CN,C.E., ,B9,True,Matthias,2026-08-26, , , , , , 
month,tháng,month, ,text,True,Matthias,2026-08-26, , , , , , 
months,tháng,months, ,text,True,Matthias,2026-08-26, , , , , , 
day,ngày,day, ,text,True,Matthias,2026-08-26, , , , , , 
days,ngày,days, ,text,True,Matthias,2026-08-26, , , , , , 
to,đến,to, ,text,True,Matthias,2026-08-26, , , , , , 
Deluge,Trận Đại Hồng Thủy,Deluge, ,text,True, , , , , , , , 
moses2,1593 đến 1473 TCN – 120 tuổi,1593 to 1473 B.C.E. – 120 years, ,text,True, , , , , , , , 
temple1,Ni-san 1513 TCN đến Xi-u 1034 TCN,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,True, , , , , , , , 
69weeks,Giê-su báp-têm mùa thu 29 CN,Jesus baptized autumn 29 C.E., ,text,True, , , , , , , , 
year,năm,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , , , , , 
years,năm,years, ,text,True, , , , , , , , 
years_age,tuổi,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,True, , , , , , , , 
age_kings,tuổi, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,True, , , , , , , , 
wilderness,Y-sơ-ra-ên trong đồng vắng 1513 đến 1473 TCN - 40 năm,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,True, , , , , , , , 
timespan_judges,1473 đến 1117 TCN – 356 năm,1473 to 1117 B.C.E. – 356 years, ,text,True, , , , , , , , 
timespan_judges2,Thời gian của Quan xét,Time of the judges, ,text,True, , , , , , , , 
temple2,479 năm mới xây dựng đền – 1 Các vua 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,True, , , , , , , , 
69weeks2,69 tuần cho đến lúc Đấng Mê-si – Đa-ni-ên 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,True, , , , , , , , 
jesus_service,"3,5 năm phục vụ Giê-su, được thực hiện 14 Ni-san 33 CN","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,True, , , , , , , , 
jesus_life,Chúa Giê-su sinh năm 2 TCN,Jesus born 2 B.C.E., ,text,True, , , , , , , , 
exile,70 năm Dân Y-sơ-ra-ên bị lưu đày tại Ba-by-lon (607 - 537 TCN) (Giê-rê-mi 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,True, , , , , , , , 
exile2,lưu đày,Exile, ,text,True, , , , , , , , 
7times2,"Bảy kỳ , “các kỳ dân ngoại” (Đa-ni-ên 4:16) – 2520 năm đến khi Nước Trời cai trị (thành lập) năm 1914 CN (Đa-ni-ên 4:23)",7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,True, , , , , , , , 
ww1,Thế chiến thứ nhất – 1914–1918,World War I – 1914–1918, ,text,True, , , , , , , , 
