key	text	english
pdf_title	6000年人类历史可视化	6000 years human history visualized
pdf_subject	人类时间轴	Timeline of humankind
BCE	公元前	B.C.E.
CE	C.E.	C.E.
year	年	year
years	年	years
years_age	年	years
age_kings	 	 
month	月	month
months	月	months
day	天	day
days	天	days
to	到	to
persons	人	persons
judges	法官	judges
prophets	先知	prophets
kings	国王	kings
periods	时期	periods
events	事件	events
Deluge	洪水	Deluge
Adam	亚当	Adam
Seth	赛斯	Seth
Enosh	以挪士	Enosh
Kenan	凯南	Kenan
Mahalalel	玛·哈拉·勒勒	Ma·hala·lel
Jared	贾里德	Jared
Enoch	以诺	Enoch
Methuselah	梅·苏斯·拉	Me·thuse·lah
Lamech	拉麦	Lamech
Noah	诺亚	Noah
Shem	闪	Shem
Arpachshad	阿尔·帕赫沙德	Ar·pachshad
Shelah	谢拉	Shelah
Eber	埃伯	Eber
Peleg	法莱格	Peleg
Reu	雷乌	Reu
Serug	塞鲁格	Serug
Nahor	拿霍尔	Nahor
Terah	他拉	Terah
Abraham	亚伯拉罕	Abraham
Isaac	艾萨克	Isaac
Jacob	雅各布	Jacob
Joseph	约瑟夫	Joseph
Moses	摩西	Moses
Othniel	奥斯尼尔	Othniel
Ehud	埃胡德	Ehud
Shamgar	沙姆加尔	Shamgar
Barak	巴拉克	Barak
Gideon	吉迪恩	Gideon
Tola	托拉	Tola
Jair	贾尔	Jair
Jephthah	耶弗他	Jephthah
Ibzan	伊布赞	Ibzan
Elon	埃隆	Elon
Abdon	押顿	Abdon
Samson	参孙	Samson
Samuel	塞缪尔	Samuel
Saul	扫罗	Saul
David	大卫	David
Solomo	索洛莫	Solomo
Rehoboam	罗波安	Rehoboam
Abijah	亚比雅（亚比雅）	Abijah (Abijam)
Asa	作为一个	Asa
Jehoshaphat	约沙法	Jehoshaphat
Jehoram2	约兰	Jehoram
Ahaziah	亚哈谢	Ahaziah
Athaliah	亚他利雅王后	Queen Athaliah
Jehoash	约阿施	Jehoash
Amaziah	亚玛谢	Amaziah
Uzziah	乌西雅（亚撒利雅）	Uzziah (Azariah)
Jotham	约坦	Jotham
Ahaz	亚哈斯	Ahaz
Hezekiah	希西家	Hezekiah
Manasseh	玛拿西	Manasseh
Amon	阿蒙	Amon
Josiah	约西亚	Josiah
Jehoahaz	约哈斯	Jehoahaz
Jehoiakim	约雅敬	Jehoiakim
Jehoiachin	约雅斤	Jehoiachin
Zedekia	泽德基亚	Zedekia
Jeroboam	耶罗波安	Jeroboam
Nadab	拿达	Nadab
Baasha	巴沙	Baasha
Elah	以拉	Elah
Zimri	齐姆里	Zimri
OmriTibni	奥姆里和提布尼在一起	Omri and Tibni together
Omri	暗利（独自一人）	Omri (alone)
Ahab	亚哈	Ahab
Ahaziah	亚哈谢	Ahaziah
Jehoram	约兰	Jehoram
Jehu	耶户	Jehu
Jeoahaz	约哈斯	Jeoahaz
JeoahazJehoash	约哈斯和约阿施	Jeoahaz and Jehoash
Jehoash2	约阿施（单独）	Jehoash (alone)
Jeroboam2	耶罗波安二世	Jeroboam II
Zechariah	撒迦利亚书	Zechariah
Schallum	沙勒姆	Schallum
Menahem	梅纳赫姆	Menahem
Pekahiah	比加希亚	Pekahiah
Pekah	比加	Pekah
Hoshea	何西阿	Hoshea
Elijah	以利亚	Elijah
Elisha	以利沙	Elisha
Jonah	约拿	Jonah
Amos	阿莫斯	Amos
Joel	乔尔	Joel
Hosea	何西阿	Hosea
Isaiah	以赛亚	Isaiah
Micah	弥迦	Micah
Zephaniah	西番雅	Zephaniah
Nahum	那厄姆	Nahum
Jeremiah	耶利米	Jeremiah
Habakuk	哈巴谷	Habakuk
Daniel	丹尼尔	Daniel
Ezekiel	以西结	Ezekiel
Obadiah	俄巴底亚	Obadiah
Malachi	玛拉基	Malachi
Ruth	露丝	Ruth
Ezra	以斯拉	Ezra
Nehemiah	尼希米记	Nehemiah
Esther	以斯帖	Esther
Job	工作	Job
moses2	公元前 1593 年至 1473 年– 120 年	1593 to 1473 B.C.E. – 120 years
moses3	摩西	Moses
wilderness	以色列人在旷野中，公元前 1513 年至 1473 年– 40 年	Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges	公元前 1473 年至 1117 年– 356 年	1473 to 1117 B.C.E. – 356 years
timespan_judges2	评委时间	Time of the judges
temple1	公元前 1513 年尼散月至公元前 1034 年齐夫	Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2	距离圣殿建造还有 479 年 – 列王记上 6:1	479 years until the temple construction – 1 Kings 6:1
69weeks	耶稣于公元 29 年秋天受洗	Jesus baptized autumn 29 C.E.
69weeks2	弥赛亚到来还有 69 周 – 但以理书 9:25	69 weeks to the Messiah – Daniel 9:25
jesus_service	侍奉耶稣 3.5 年，公元 33 年尼散月 14 日被处决	3.5 years of Jesus service, executed Nisan 14th, 33 C.E.
jesus_life	耶稣诞生于公元前 2 年	Jesus born 2 B.C.E.
exile	公元前 607 至 537 年– 70 年（耶利米书 25:11）	607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2	流亡	exile
7times	启示录 12:9	Revelation 12:9
7times2	7 次 – 公元 1914 年弥赛亚王国 2520 年（但以理书 4:23）	7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1	第一次世界大战 – 公元 1914 年至 1918 年	World War I – 1914–1918 C.E.
ww2	第二次世界大战 – 公元 1939 年至 1945 年	World War II – 1939–1945 C.E.
30_year_war	欧洲三十年战争 1618-1648	Thirty Years' War in Europe 1618-1648
joshua	110年	110 years
joshua2	约书亚	Joshua
caleb	超过85岁	more than 85 years
caleb2	迦勒	Caleb
missionary1	保罗的第一次传教之旅，c。公元 47-48 年与巴拿巴和约翰马可	First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark
