key,date,y_start,y_end,y_text,width,position
gutenberg,1455-12-30,0.08,1.1,1.0,0.5,l
king_james,1611-07-01,0.08,6.1,6.0,0.5,l
gregorian,1582-07-01,0.08,5.1,5.0,0.5,l
rosetta,BCE0196-07-01,14.1,13.3,14.0,0.5,r
mesha_stele,BCE0840-07-01,46.38,37.4,38.0,0.5,l
lachish_letters,BCE0590-07-01,46.38,39.4,40.0,0.5,l
lachish_reliefs,BCE0681-07-01,46.38,40.5,41.1,0.5,l
al-azhar,0980-07-01,10.4,11.4,11.0,0.4,l
maya_calendar,BCE3114-07-01,18.3,19.1,19.0,0.4,r
wulfila,0350-07-01,0.08,2.1,2.0,0.5,r
argenteus,0505-07-01,0.08,3.1,3.0,0.5,l
vulgate,0405-07-01,0.08,1.1,1.0,0.5,r
