key,start,end,row_y,notes,start_fade,end_fade,member,group
Charles Taze Russel,1852,1916,1.3,president,1852,1916,,0
Joseph Franklin Rutherford,1869,1942,2.4,president,1869,1942,,1
Nathan Homer Knorr,1905,1977,3.5,president,1905,1977,1971,1
Frederick William Franz,1893,1992,4.6,president,1893,1992,1971,1
Milton George Henschel,1920,2003,5.7,president,1920,2003,1971,2
Don Aiden Adams,1925,2019,6.8,president,1925,2019,,
Robert Ciranko,1947,2024,7.9,president,1947,2030,,
Thomas James Sullivan,1888,1974,10,w74 9/15 p. 554,1888,1974,1971,1
John Otto Groth,1906,1975,11.1,w75 3/15 p. 190,1906,1975,1971,1
Nathan Homer Knorr,1905,1977,12.2,p3,1905,1977,1971,1
Grant George Sulter,1908,1983,13.3,w83 9/1 pp. 8-15,1908,1983,1971,2
Frederick William Franz,1893,1992,14.4,p4,1893,1992,1971,1
Lyman Alexander Swingle,1910,2001,15.5,w01 7/1 p. 31,1930,2001,1971,2
Milton George Henschel,1920,2003,16.6,p5,1920,2003,1971,2
William Kirk Jackson,1901,1981,17.7,w82 2/15 p. 15,1901,1981,1971,1
George Demetrius Gangas,1896,1994,18.8,w94 12/1 p. 31,1896,1994,1971,1
Raymond Victor Franz,1922,1980,19.9,disfellowshipped,1922,1980,1971,2
Leo Kincaid Greenlees,1911,1984,21,yb79 pp. 76-172,1911,1984,1971,2
Charles John Fekel,1897,1977,22.1,w77 7/1 p. 399,1897,1977,1974,1
Ewart Charles Chitty,1898,1979,23.2,w63 2/15 p. 119,1898,1979,1974,1
John Charles Booth,1903,1996,24.3,w96 6/15 p. 32,1903,1996,1974,1
William Lloyd Barry,1916,1999,25.4,w99 10/1 pp. 16-17,1916,1999,1974,2
Karl Frederick Klein,1906,2001,26.5,w01 5/1 p. 31,1906,2001,1974,2
Albert Darger Schroeder,1911,2006,27.6,w06 9/15 p. 31,1911,2006,1974,2
Daniel Sydlik,1919,2006,28.7,w07 1/1 p. 8,1919,2006,1974,2
Theodore Jaracz,1925,2010,29.8,w10 11/15 p. 23,1925,2010,1974,2
Martin Pötzinger,1904,1988,30.9,w88 9/15 p. 31,1904,1988,1977,2
Carey Walter Barber,1905,2007,32,w07 10/15 p. 31,1905,2007,1977,2
John Edwin Barr,1913,2010,33.1,w11 5/15 p. 6,1913,2010,1977,2
Gerrit Lösch,1941,2024,34.2,w14 7/15 pp. 17-22,1941,2030,1994,2
Guy Hollis Pierce,1934,2014,35.3,w14 12/15 p. 3,1934,2014,1999,2
David Howard Splane,1950,2024,36.4,w00 1/1 p. 29,1945,2030,1999,2
Mark Stephen Lett,1950,2024,37.5,w00 1/1 p. 29,1945,2030,1999,2
Samuel Frederick Herd,1935,2024,38.6,w18 May pp. 3-8,1935,2030,1999,2
Anthony Morris III,1950,2023,39.7,w15 5/15 pp. 3-8,1950,2023,2005,2
Geoffrey William Jackson,1955,2024,40.8,w15 8/15 pp. 3-8,1955,2030,2005,2
Douglas Mark Sanderson,1965,2024,41.9,"w13 7/15 p. 26, jwb.201805-2.v 13:30",1965,2030,2012,2
"Kenneth Eugene Cook, Jr.",1970,2024,43,w19 January p. 31,1965,2030,2018,3
Gage Fleegle,1975,2024,44.1,w24 February pp. 28-29,1970,2030,2023,3
Jeffrey Winder,1975,2024,45.2,w24 February pp. 28-29,1970,2030,2023,3
