key	text	english
Medopersia	Daniel 2:32, 39; 7:5	Daniel 2:32, 39; 7:5
Greece	Daniel 2:32, 39; 7:6	Daniel 2:32, 39; 7:6
Rome	Daniel 2:33, 40; 7:7	Daniel 2:33, 40; 7:7
Angloamerica	Daniel 2:33, 41-43	Daniel 2:33, 41-43
Babylon_c	Babylon	Babylon
Medopersia_c	Medo-Persien	Medo-Persia
Greece_c	Griechenland	Greece
Rome_c	Rom	Rome
Angloamerica_c	Anglo-Amerika	Anglo-America
infliction1	400-jährige Zufügung	400 year infliction
infliction2	Apostelgeschichte 7:6	Acts 7:6
Jacob2	Jakob/Israel	Jacob/Israel
Sarah	Sarah	Sarah
Hagar	Hagar	Hagar
Haran	Haran	Haran
Nahor	Nahor	Nahor
Reumah	Reumah	Reumah
Milcah	Milkah	Milcah
Lot	Viel	Lot
Lots_wife	Lots Frau	Lot’s wife
Lots_daughters	Töchter Lots	Daughters of Lot
Moab	Moab (ältere Tochter)	Moab (older daughter)
Ammon	Ben-ammi (Ammon)	Ben-ammi (Ammon)
Bethuel	Bethuel	Be·thuel
Rebekah	Rebekka	Rebekah
Laban	Laban	Laban
Leah	Leah	Leah
Rachel	Rachel	Rachel
Bilhah	Bilhah	Bilhah
Zilpah	Silpa	Zilpah
Reuben	Ruben	Reuben
Simeon	Sime·on	Sime·on
Levi	Levi	Levi
Judah	Juda	Judah
Issachar	Issa·char	Issa·char
Zebulun	Zebu·lun	Zebu·lun
Dinah	Dina	Dinah
Esau	Esau	Esau
Ishmael	Ismael	Ishmael
Manasseh2	(Manasse	(Manasseh
Ephraim	und Ephraim)	and Ephraim)
Benjamin	Benjamin	Benjamin
Dan	Dan	Dan
Naphtali	Naphta·li	Naphta·li
Gad 	Gad	Gad 
Asher	Asher	Asher
Milcah1	Uz, Buz, Kemuel, Hazo,	Uz, Buz, Kemuel, Hazo,
Milcah2	Chesed, Pildash, Jidlaph	Chesed, Pildash, Jidlaph
Tebah	Tebah	Tebah
Gaham	Gaham	Gaham
Tahash	Tahash	Tahash
Maacah	Maacha	Maacah
Mahalath	Mahalath/	Mahalath/
Basemath	Basismathematik	Base·math
Reuel	Reuel	Reuel
Nahath	Nahath	Nahath
Zerah	Zerah	Zerah
Schammah	Schammah	Schammah
Mizzah	Mizzah	Mizzah
Adah	Adah	Adah
Eliphaz	Eliphas	Eliphaz
Teman	Teman	Teman
Omar	Omar	Omar
Zepho	Zepho	Zepho
Kenaz	Kenaz	Kenaz
Korah	Korah	Korah
Gatam	Gatam	Gatam
Amalek	Amalek	Amalek
Oholibamah	Oholibama	O·hol·i·bamah
Jeush	Jeusch	Jeush
Jalam	Jalam	Jalam
Korah	Korah	Korah
Nebaioth	Nebajoth	Nebaioth
Kedar	Kedar	Kedar
Adbeel	Adbeel	Adbeel
Mibsam	Mibsam	Mibsam
Mishma	Mischma	Mishma
Dumah	Dumah	Dumah
Massa	Massa	Massa
Hadad	Hadad	Hadad
Tema	Thema	Tema
Jetur	Jetur	Jetur
Naphish	Naphisch	Naphish
Kedemah	Kedemah	Kedemah
