key	text	alternative	notes
rosetta	Rosetta stone 196 B.C.E.		
Herodotus	Herodotus c. 484 – c. 425 B.C.E.		
Aristotle	Aristotle 384 – 322 BC		
Ptolemy	Ptolemy c 100 – c. 170 C.E.		
Pythagoras	Pythagoras c. 570 – c. 495 BC		
Plato	Plato c. 427 – c. 348 BC		
Socrates	Socrates c. 470 – c. 399 BC		
Josephus	Josephus c. 37 – c. 100 C.E.		
Cicero	Cicero 106–43 BC		
lachish_letters	Lachish letters c. 590 B.C.E.		
lachish_reliefs	Lachish reliefs c. 681 B.C.E.		
mesha_stele	Mesha Stele (Moabite stone) c. 840 B.C.E.		
gilgamesh	Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵		
epic_gilgamesh	Epic of Gilgamesh (Sîn-lēqi-unninni)		
oxyrhynchus	Oxyrhynchus Papyri		
p52	Rylands Library Papyrus P52		
