key,lang,dict,shaping_engine,script,language,direction,fontname,fontsize,fontsize_AM,y_offset,replace_numerals,language_str,nr,test
en,English,TRUE,,,,ltr,,10,15,0,FALSE,English,49,1
ab,Abkhaz,FALSE,,,,ltr,,10,15,0,FALSE,Abkhaz(*** no dictionary yet ***),1,2
ace,Acehnese,FALSE,,,,ltr,,10,15,0,FALSE,Acehnese(*** no dictionary yet ***),2,3
ach,Acholi,FALSE,,,,ltr,,10,15,0,FALSE,Acholi(*** no dictionary yet ***),3,4
af,Afrikaans,FALSE,,,,ltr,,10,15,0,FALSE,Afrikaans(*** no dictionary yet ***),4,5
sq,Albanian,FALSE,,,,ltr,,10,15,0,FALSE,Albanian(*** no dictionary yet ***),5,6
alz,Alur,FALSE,,,,ltr,,10,15,0,FALSE,Alur(*** no dictionary yet ***),6,7
am,Amharic,FALSE,,,,ltr,,10,15,0,FALSE,Amharic(*** no dictionary yet ***),7,8
ar,Arabic,TRUE,TRUE,arab,ara,RTL,NotoArabic,9.2,12,1,TRUE,Arabic (العربية) ,8,9
hy,Armenian,TRUE,TRUE,armn,hye,ltr,NotoArmenian,10,15,0,FALSE,Armenian (Հայերեն),9,10
as,Assamese,FALSE,,,,ltr,,10,15,0,FALSE,Assamese(*** no dictionary yet ***),10,11
awa,Awadhi,FALSE,,,,ltr,,10,15,0,FALSE,Awadhi(*** no dictionary yet ***),11,12
ay,Aymara,FALSE,,,,ltr,,10,15,0,FALSE,Aymara(*** no dictionary yet ***),12,13
az,Azerbaijani,FALSE,,,,RTL,,10,15,0,FALSE,Azerbaijani(*** no dictionary yet ***),13,14
ban,Balinese,FALSE,,,,ltr,,10,15,0,FALSE,Balinese(*** no dictionary yet ***),14,15
bm,Bambara,FALSE,,,,ltr,,10,15,0,FALSE,Bambara(*** no dictionary yet ***),15,16
ba,Bashkir,FALSE,,,,ltr,,10,15,0,FALSE,Bashkir(*** no dictionary yet ***),16,17
eu,Basque,FALSE,,,,ltr,,10,15,0,FALSE,Basque(*** no dictionary yet ***),17,18
btx,Batak Karo,FALSE,,,,ltr,,10,15,0,FALSE,Batak Karo(*** no dictionary yet ***),18,19
bts,Batak Simalungun,FALSE,,,,ltr,,10,15,0,FALSE,Batak Simalungun(*** no dictionary yet ***),19,20
bbc,Batak Toba,FALSE,,,,ltr,,10,15,0,FALSE,Batak Toba(*** no dictionary yet ***),20,21
be,Belarusian,TRUE,,,,ltr,,10,15,0,FALSE,Belarusian (беларуская),21,22
bem,Bemba,FALSE,,,,ltr,,10,15,0,FALSE,Bemba(*** no dictionary yet ***),22,23
bn,Bengali,FALSE,,,,ltr,,10,15,0,FALSE,Bengali(*** no dictionary yet ***),23,24
bew,Betawi,FALSE,,,,ltr,,10,15,0,FALSE,Betawi(*** no dictionary yet ***),24,25
bho,Bhojpuri,FALSE,,,,ltr,,10,15,0,FALSE,Bhojpuri(*** no dictionary yet ***),25,26
bik,Bikol,FALSE,,,,ltr,,10,15,0,FALSE,Bikol(*** no dictionary yet ***),26,27
bs,Bosnian,FALSE,,,,ltr,,10,15,0,FALSE,Bosnian(*** no dictionary yet ***),27,28
br,Breton,FALSE,,,,ltr,,10,15,0,FALSE,Breton(*** no dictionary yet ***),28,29
bg,Bulgarian,FALSE,,,,ltr,,10,15,0,FALSE,Bulgarian(*** no dictionary yet ***),29,30
bua,Buryat,FALSE,,,,ltr,,10,15,0,FALSE,Buryat(*** no dictionary yet ***),30,31
yue,Cantonese,TRUE,FALSE,,,ltr,NotoSimplifiedChinese,10,15,0,FALSE,Chinese Cantonese (Simplified) [中文简体（广东话)] ,31,32
ca,Catalan,FALSE,,,,ltr,,10,15,0,FALSE,Catalan(*** no dictionary yet ***),32,33
ceb,Cebuano,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Cebuano (Bisayâ),33,34
ny,Chichewa (Nyanja),FALSE,,,,ltr,,10,15,0,FALSE,Chichewa (Nyanja)(*** no dictionary yet ***),34,35
zh,Mandarin,TRUE,FALSE,,,ltr,NotoSimplifiedChinese,10,15,0,FALSE,Chinese Mandarin (Simplified) [中文简体（普通话)] ,35,36
Zh-TW,Chinese (Traditional),FALSE,,,,ltr,,10,15,0,FALSE,Chinese (Traditional)(*** no dictionary yet ***),36,37
cv,Chuvash,FALSE,,,,ltr,,10,15,0,FALSE,Chuvash(*** no dictionary yet ***),37,38
co,Corsican,FALSE,,,,ltr,,10,15,0,FALSE,Corsican(*** no dictionary yet ***),38,39
crh,Crimean Tatar,FALSE,,,,ltr,,10,15,0,FALSE,Crimean Tatar(*** no dictionary yet ***),39,40
hr,Croatian,FALSE,,,,ltr,,10,15,0,FALSE,Croatian(*** no dictionary yet ***),40,41
cs,Czech,FALSE,,,,ltr,,10,15,0,FALSE,Czech(*** no dictionary yet ***),41,42
da,Danish,FALSE,,,,ltr,,10,15,0,FALSE,Danish(*** no dictionary yet ***),42,43
din,Dinka,FALSE,,,,ltr,,10,15,0,FALSE,Dinka(*** no dictionary yet ***),43,44
dv,Divehi,FALSE,,,,ltr,,10,15,0,FALSE,Divehi(*** no dictionary yet ***),44,45
doi,Dogri,FALSE,,,,ltr,,10,15,0,FALSE,Dogri(*** no dictionary yet ***),45,46
dov,Dombe,FALSE,,,,ltr,,10,15,0,FALSE,Dombe(*** no dictionary yet ***),46,47
nl,Dutch,TRUE,,,,ltr,NotoSans,10,15,0,FALSE,Dutch (Nederlands),47,48
dz,Dzongkha,FALSE,,,,ltr,,10,15,0,FALSE,Dzongkha(*** no dictionary yet ***),48,49
eo,Esperanto,FALSE,,,,ltr,,10,15,0,FALSE,Esperanto(*** no dictionary yet ***),50,50
et,Estonian,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Estonian (eesti keel),51,51
ee,Ewe,FALSE,,,,ltr,,10,15,0,FALSE,Ewe(*** no dictionary yet ***),52,52
fj,Fijian,TRUE,,,,ltr,,10,15,0,FALSE,Fijian (Vosa Vaka-Viti),53,53
tl,Tagalog,TRUE,FALSE,tglg,,ltr,,10,15,0,FALSE,Tagalog (Filipino) ,54,54
fi,Finnish,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Finnish (Suomi) ,55,55
fr,French,TRUE,FALSE,,,ltr,,10,15,0,FALSE,French (Français) ,56,56
fr-CA,French (Canadian),FALSE,,,,ltr,,10,15,0,FALSE,French (Canadian)(*** no dictionary yet ***),57,57
fr-FR,French (French),FALSE,,,,ltr,,10,15,0,FALSE,French (French)(*** no dictionary yet ***),58,58
fy,Frisian,FALSE,,,,ltr,,10,15,0,FALSE,Frisian(*** no dictionary yet ***),59,59
ff,Fulfulde,FALSE,,,,ltr,,10,15,0,FALSE,Fulfulde(*** no dictionary yet ***),60,60
gaa,Ga,FALSE,,,,ltr,,10,15,0,FALSE,Ga(*** no dictionary yet ***),61,61
gl,Galician,FALSE,,,,ltr,,10,15,0,FALSE,Galician(*** no dictionary yet ***),62,62
lg,Ganda (Luganda),FALSE,,,,ltr,,10,15,0,FALSE,Ganda (Luganda)(*** no dictionary yet ***),63,63
ka,Georgian,FALSE,,,,ltr,,10,15,0,FALSE,Georgian(*** no dictionary yet ***),64,64
de,German,TRUE,FALSE,,,ltr,,10,15,0,FALSE,German (Deutsch) ,65,65
el,Greek,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Greek (Ελληνικά),66,66
gn,Guarani,FALSE,,,,ltr,,10,15,0,FALSE,Guarani(*** no dictionary yet ***),67,67
gu,Gujarati,FALSE,,,,ltr,,10,15,0,FALSE,Gujarati(*** no dictionary yet ***),68,68
ht,Haitian Creole,FALSE,,,,ltr,,10,15,0,FALSE,Haitian Creole(*** no dictionary yet ***),69,69
cnh,Hakha Chin,FALSE,,,,ltr,,10,15,0,FALSE,Hakha Chin(*** no dictionary yet ***),70,70
ha,Hausa,FALSE,,,,ltr,,10,15,0,FALSE,Hausa(*** no dictionary yet ***),71,71
haw,Hawaiian,FALSE,,,,ltr,,10,15,0,FALSE,Hawaiian(*** no dictionary yet ***),72,72
he,Hebrew,TRUE,TRUE,hebr,heb,RTL,NotoHebrew,10,15,0,FALSE,Hebrew (עִבְרִית),73,73
hil,Hiligaynon,FALSE,,,,ltr,,10,15,0,FALSE,Hiligaynon(*** no dictionary yet ***),74,74
hi,Hindi,TRUE,TRUE,deva,hin,ltr,NotoDevanagari,10,15,0,FALSE,Hindi (हिन्दी),75,75
hmn,Hmong,FALSE,,,,ltr,,10,15,0,FALSE,Hmong(*** no dictionary yet ***),76,76
hu,Hungarian,TRUE,,,,ltr,,10,15,0,FALSE,Hungarian (Magyar),77,77
hrx,Hunsrik,FALSE,,,,ltr,,10,15,0,FALSE,Hunsrik(*** no dictionary yet ***),78,78
is,Icelandic,FALSE,,,,ltr,,10,15,0,FALSE,Icelandic(*** no dictionary yet ***),79,79
ig,Igbo,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Igbo (Ásụ̀sụ́ Ìgbò) ,80,80
ilo,Iloko,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Iloko (Illocano) ,81,81
id,Indonesian,TRUE,,,,ltr,,10,15,0,FALSE,Indonesian (Indonesia),82,82
ga,Irish,FALSE,,,,ltr,,10,15,0,FALSE,Irish(*** no dictionary yet ***),83,83
it,Italian,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Italian (Italiano),84,84
ja,Japanese,TRUE,FALSE,,,ltr,NotoJapanese,10,15,0,FALSE,Japanese (日本語) ,85,85
jv,Javanese,FALSE,,,,ltr,,10,15,0,FALSE,Javanese(*** no dictionary yet ***),86,86
kne,Kankana-ey ,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Kankana-ey ,,87
kn,Kannada,FALSE,,,,ltr,,10,15,0,FALSE,Kannada(*** no dictionary yet ***),87,88
pam,Kapampangan,FALSE,,,,ltr,,10,15,0,FALSE,Kapampangan(*** no dictionary yet ***),88,89
kk,Kazakh,FALSE,,,,ltr,,10,15,0,FALSE,Kazakh(*** no dictionary yet ***),89,90
km,Khmer,TRUE,TRUE,khmr,khm,ltr,NotoKhmer,9,15,0,TRUE,Khmer (ខ្មែរ) ,90,91
kman,Khmer ar24,TRUE,TRUE,khmr,khm,ltr,NotoKhmer,10,15,0,FALSE,Khmer (ខ្មែរ) with arabic numerals,,92
cgg,Kiga,FALSE,,,,ltr,,10,15,0,FALSE,Kiga(*** no dictionary yet ***),91,93
kg,Kikongo,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Kikongo,,94
rw,Kinyarwanda,FALSE,,,,ltr,,10,15,0,FALSE,Kinyarwanda(*** no dictionary yet ***),92,95
ktu,Kituba,FALSE,,,,ltr,,10,15,0,FALSE,Kituba(*** no dictionary yet ***),93,96
gom,Konkani,FALSE,,,,ltr,,10,15,0,FALSE,Konkani(*** no dictionary yet ***),94,97
