key,row,left,color,notes,list,sup,v3,fix
Terah,21,2925,blue,2148-1943 BCE – 205 years,1,0,x,2900
Abraham,23,3125,blue,,2,0,x,3100
Isaac,31,3000,blue,,3,0,,
Jacob2,33,2900,blue,Jacob/Israel 1858-1711 – 147 years,4,0,,
Israel,34,2900,blue,,5,0,,
Joseph,35,2700,blue,sons Manasse and Ephraim,6,0,,
Sarah,23,3000,red,2008-1881 BCE – 127 years,7,0,,
Keturah,23,3250,red,,8,0,x,3325
Hagar,23,3387,red,,8,0,x,3325
Haran,23,2700,blue,,9,0,,
Nahor,25,2850,blue,,10,0,,
Reumah,25,2950,red,Concubine – 4 sons,11,0,,
Milcah,25,2750,red,8 sons (Bethuel and 7 more),12,0,,
Lot,25,2650,blue,,13,0,,
Lots_wife,25,2500,red,,14,0,,
Lots_daughters,27,2550,red,,15,0,,
Moab,30,2575,white,,16,2,x,2550
Ammon,31,2575,white,,17,3,x,2550
Bethuel,29,2850,blue,,18,0,,
Rebekah,31,2900,red,,19,0,,
Laban,31,2750,blue,,20,0,,
Leah,33,2800,red,,21,0,,
Rachel,33,2700,red,,22,0,,
Bilhah,33,2600,red,,23,0,,
Zilpah,33,2500,red,,24,0,,
Reuben,35,2800,blue,Sons of Leah,25,0,,
Simeon,36,2800,blue,,26,0,,
Levi,37,2800,blue,,27,0,,
Judah,38,2800,blue,,28,0,,
Issachar,39,2800,blue,,29,0,,
Zebulun,40,2800,blue,,30,0,,
Dinah,42,2800,red,,31,0,,
Esau,33,3000,blue,,32,0,,
Edom,34,3000,blue,,33,4,,
Ishmael,31,3387,blue,,34,0,x,3325
Manasseh2,36,2700,blue,,35,0,,
Ephraim,37,2700,blue,,36,0,,
Benjamin,38,2700,blue,,37,0,,
Dan,35,2600,blue,Sons of Bilhah,38,0,,
Naphtali,36,2600,blue,,39,0,,
Gad,35,2500,blue,Sons of Zilpah,40,0,,
Asher,36,2500,blue,,41,0,,
Zimran,25,3250,blue,Ge 25:1-4 sons of Keturah,42,0,x,3225
Jokshan,26,3250,blue,,43,0,x,3225
Medan,27,3250,blue,,44,0,x,3225
Midian,28,3250,blue,,45,1,x,3225
Ishbak,29,3250,blue,,46,0,x,3225
Shuah,30,3250,blue,,47,0,x,3225
Milcah1,27,2725,blue,7 sons of Milcah and Nahor,48,0,,
Milcah2,28,2725,blue,,49,0,,
Milcah3,29,2725,blue,,50,0,,
Tebah,26.5,2950,blue,4 sons of Reumah,51,0,,
Gaham,27.5,2950,blue,,52,0,,
Tahash,28.5,2950,blue,,53,0,,
Maacah,29.5,2950,blue,,54,0,,
Mahalath,33,3325,red,"Genesis 28:8, 9",55,0,x,3200
Basemath,34,3325,red,"Genesis36:3, 4",56,0,x,3200
Reuel,36,3325,blue,"36:13, 17",57,0,x,3200
Nahath,38,3325,blue,,58,0,x,3200
Zerah,39,3325,blue,,59,0,x,3200
Schammah,40,3325,blue,,60,0,x,3200
Mizzah,41,3325,blue,,61,0,x,3200
Adah,33,3100,red,"36:11, 12, 15, 16",62,0,,
Eliphaz,36,3100,blue,,63,0,,
Timna,36,3000,red,,63,0,,
Teman,38,3100,blue,,64,5,,
Omar,39,3100,blue,,65,0,,
Zepho,40,3100,blue,,66,0,,
Kenaz,41,3100,blue,,67,0,,
Korah,42,3100,blue,,68,0,,
Gatam,43,3100,blue,,69,0,,
Amalek,38,3000,blue,,70,6,,
Oholibamah,33,3200,red,"36:14, 18",71,0,x,3325
Jeush,35,3200,blue,,72,0,x,3325
Jalam,36,3200,blue,,73,0,x,3325
Korah,37,3200,blue,,74,0,x,3325
Nebaioth,33,3450,blue,Genesis 25:13,75,0,,
Kedar,34,3450,blue,,76,0,,
Adbeel,35,3450,blue,,77,0,,
Mibsam,36,3450,blue,,78,0,,
Mishma,37,3450,blue,,79,0,,
Dumah,38,3450,blue,,80,0,,
Massa,39,3450,blue,,81,0,,
Hadad,40,3450,blue,,82,0,,
Tema,41,3450,blue,,83,0,,
Jetur,42,3450,blue,,84,0,,
Naphish,43,3450,blue,,85,0,,
Kedemah,44,3450,blue,,86,0,,
