language,year,notes,link
English,2013-10-05,https://www.jw.org/en/library/magazines/w20151215/nwt-bible-2013/,https://www.jw.org/en/jehovahs-witnesses/activities/events/annual-meeting-report-2013/
Vietnamese,2017-02-04,"Chi Thu Lan, Watchtower Number 4 2017, page 11",https://www.jw.org/vi/thu-vien/tap-chi/thap-canh-4-2017-thang-7/ra-ban-the-gioi-moi-tieng-viet/
Kongo,2015-08-28,w16 no2 p9,https://www.jw.org/kg/biblioteke/bazulunalu/nzozulu-ya-nkengi-no2-2016-marsi/kubasika-mbalula-ya-nsi-ntoto-ya-mpa-na-KIKONGO/
Thai,2015-11-06,w16 no2 p8,https://www.jw.org/th/%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B7%E0%B8%AD%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%95%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%86/%E0%B8%A7%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%A3/%E0%B8%AB%E0%B8%AD%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%95%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%89%E0%B8%9A%E0%B8%B1%E0%B8%9A%E0%B8%97%E0%B8%B5%E0%B9%882-2016-%E0%B8%A1%E0%B8%B5%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%A1/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%89%E0%B8%9A%E0%B8%B1%E0%B8%9A%E0%B9%81%E0%B8%9B%E0%B8%A5%E0%B9%82%E0%B8%A5%E0%B8%81%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B9%83%E0%B8%99%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2/
Ukraine,2014-07-04,w15 April page 11,https://www.jw.org/uk/%D0%B1%D1%96%D0%B1%D0%BB%D1%96%D0%BE%D1%82%D0%B5%D0%BA%D0%B0/%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB%D0%B8/wp20150601/%D0%B2%D0%B8%D0%BF%D1%83%D1%81%D0%BA-%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%B4%D1%83-%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D1%81%D0%B2%D1%96%D1%82%D1%83-%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%8E/
German,2019-02-02,What’s new 2019-02-04,https://www.jw.org/en/whats-new/New-World-Translation-Released-in-German/
Spanish,2019-07-19,Opening day of ‘Love never Fails’!,https://www.jw.org/en/news/region/spain/A-Historic-Event-Jehovahs-Witnesses-Release-Revised-New-World-Translation-in-Spanish/
Zapotec,2019-09-27,"Zapotec (Isthmus) – regional convention held in San Blas Atempa, Oaxaca, Mexico ",https://www.jw.org/en/news/region/mexico/The-New-World-Translation-of-the-Christian-Greek-Scriptures-Released-in-Zapotec-Isthmus/
Yoruba,2019-01-12,special meeting at the Benin City Assembly Hall in Nigeria ,https://www.jw.org/en/news/region/nigeria/An-Explosion-of-Delight-Revised-New-World-Translation-Released-in-Two-Nigerian-Languages/
Isoko,2019-01-12,special meeting at the Benin City Assembly Hall in Nigeria ,https://www.jw.org/en/news/region/nigeria/An-Explosion-of-Delight-Revised-New-World-Translation-Released-in-Two-Nigerian-Languages/
Chinese,2019-07-05,"National Taiwan Sport University Stadium, 12610 people, Mandarin, 3 editions",https://www.jw.org/en/news/region/taiwan/Revised-New-World-Translation-Released-in-Chinese/
Czech,2019-09-07,"special meeting held in Ostrava, Czech Republic – 200 locations and 25284 attendance",https://www.jw.org/en/news/region/czech-republic/Jehovahs-Witnesses-Release-Revised-New-World-Translation-in-Czech-and-Slovak/
Slovak,2019-09-07,"special meeting held in Ostrava, Czech Republic – 200 locations and 25284 attendance",https://www.jw.org/en/news/region/czech-republic/Jehovahs-Witnesses-Release-Revised-New-World-Translation-in-Czech-and-Slovak/
Icelandic,2019-07-19,"international convention in Copenhagen, Denmark ",https://www.jw.org/en/news/region/denmark/Theocratic-Milestone-Release-of-the-Christian-Greek-Scriptures-in-Icelandic/
Mashallese,2019-05-19,"event held at The University of the South Pacific in Majuro, Marshall Islands- 339 attendance",https://www.jw.org/en/news/region/micronesia/Release-of-the-Christian-Greek-Scriptures-in-Marshallese/
