person,born,died,notes
Adam,-4026,-3096,from Genesis 5
Seth,-3896,-2984,
Eʹnosh,-3791,-2886,
Keʹnan,-3701,-2791,
Ma·halʹa·lel,-3631,-2736,
Jaʹred,-3566,-2604,
Eʹnoch,-3404,-3039,
Me·thuʹse·lah,-3339,-2370,
Laʹmech,-3152,-2377,
Noah,-2970,-2020,flood 2370 BCE
Shem,-2468,-1868,from Genesis 11
Ar·pachʹshad,-2368,-1930,
Sheʹlah,-2333,-1900,
Eʹber,-2303,-1839,
Peʹleg,-2269,-2030,
Reʹu,-2239,-2000,
Seʹrug,-2207,-1977,
Naʹhor,-2177,-2029,
Teʹrah,-2148,-1943,
Abraham,-2018,-1843,
Isaac,-1918,-1738,
Jacob,-1858,-1711,
Joseph,-1767,-1657,
Moses,-1593,-1473,
